order,DESIG,DESIG_ENG,IUCN_CAT,IUCN_CAT_THREAT
377,Aire Protégée de Ressources Naturelles Gérées,Managed Natural Resources Protected Area,VI,VI
444,ANP de interes estatal,Protected Area,Not Reported,
453,ANP Estatal,Protected Area,Not Reported,
396,ANP sujeta a Conservacion Ambiental,Area Subject to Ecological Conservation,Not Reported,NA
405,ANP y Reserva Ecologica,Natural protected area and ecological reserve,Not Reported,
205,Aquatic Preserve,Aquatic Preserve,IV,IV
8,Archaeological Reserve,Archaeological Reserve,VI,VI
173,Archaeological Site,Archaeological Site,Not Reported,VI
140,Archaeological State Park,Archaeological State Park,IV,IV
427,Are Dest a la Preser d los Eco y su Biod d Ini Vol,Protected Area,Not Reported,
452,Área Comunitaria de Conservación Ecológica,Protected Area,Not Reported,
497,Area de Conservación,Conservation Area,VI,VI
446,Área de Conservación Ecológica,Ecological Conservation Area,Not Reported,NA
367,Área de Conservación Privada,Private Conservation Area,VI,VI
366,Área de Conservación Regional,Regional Conservation Area,VI,VI
113,Area de Manejo de Habitat,Habitat Management Area,Not Reported,V
115,Area de Manejo de Hábitat/Especies,Habitat/Species Management Area,Not Reported,IV
464,Área de Proteção Ambiental,Environmental Protection Area,V,V
516,Área de Proteção Ambiental,Park,II,II
34,Área de Protección Ambiental,Environmental Protection Area,Not Reported,V
32,Area de Protección de Cuencas,Watershed Protection Area,Not Reported,III
383,Área de Protección de Flora y Fauna,Flora and Fauna Protection Area,VI,VI
384,Área de Protección de los Recursos Naturales,Natural Resources Protection Area,VI,VI
246,Area De Proteccion Especial,Special Protection Area,III,III
465,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,IV,IV
435,Área de Restauración Ecológica,Ecological Restoration Area,Not Reported,VI
498,Area de Uso Científico Bajo Protección Especial,Scientific Use Area Under Special Protection,VI,VI
325,Área de Uso Limitado Bajo Protección Especial,Limited Use Area Under Special Protection,VI,VI
249,Area de Uso Múltiple,Multiple Use Area,III,VI
433,Área de Uso Sostenible,Sustainable Use Area,Not Reported,VI
426,Área Destinada a la Preservación de los Ecosistemas,Protected Area,Not Reported,NA
381,Área Destinada Voluntariamente a la Conservación,Voluntary Conservation Area,VI,VI
488,Area Ecologica de Conservacion,Ecological Area of Conservation,Not Reported,NA
428,Área Ecológica Protegida,Protected Area,Not Reported,
438,Área Estatal de Protección Hidrológica,Protected Area,Not Reported,
293,Área Experimental,Experimental Area,VI,VI
356,Área Marina Costera Protegida,Marine and Coastal Protected Area,IV,IV
393,Área Municipal de Protección Hidrológica,Municipal Park,Not Reported,IV
242,Area Nacional De Recreo,National Recreation Area,V,V
62,Area Natural de Manejo Integado Nacional,National Natural Integrated Management Area,Not Reported,VI
33,Área Natural de Manejo Integrado,Natural Integrated Management Area,Not Reported,VI
77,Área Natural de Manejo Integrado y Parque Departamental,Natural Integrated Management Area and Departmental Parkl,Not Reported,VI
78,Area Natural de Manejo Integrado y Parque Nacional,Natural Integrated Management Area and National Park,Not Reported,VI
112,Área Natural Protegida,Protected Area,Not Reported,
298,Área Natural Protegida,Protected Nature Area,VI,VI
321,Área Natural Protegida - Paisaje Protegido,Protected Nature Area - Protected Landscape,V,V
418,Área Natural Típica,Protected Area,Not Reported,
484,Area Natural Unica,Unique Natural Area,III,III
469,Área Productora de Agua,Water Production Reserve,VI,VI
489,Area Protegida Comunitaria,Community Protected Area,Not Reported,VI
114,Área Protegida de Recursos Manejados,Protected Area of Managed Resources,Not Reported,VI
31,Área Protegida Municipal,Municipal Protected Area,Not Reported,IV
490,Área Protegida Privada,Private Protected Area,Not Reported,IV
108,Area Recreativa,Recreation Area,V,V
445,Área Verde Reserva para la Educación Ecológica,Protected Area,Not Reported,
447,Área Verde Reserva para la Recreacción y la Educación Ecológica,Protected Area,Not Reported,
480,Areas de Recreacion,Recreation Area,V,V
141,Audubon Society Preserve or Sanctuary,Audubon Society Preserve or Sanctuary,V,V
18,Bacalar Chico Marine Reserve,Marine Reserve,IV,IV
151,Beach,Beach,V,V
183,Beach Park,Beach Park,III,III
142,Biological Station,Biological Station,V,Ia
46,Bioparque,Biopark,Not Reported,V
240,Biosphere Reserve,Biosphere Reserve,VI,VI
254,Biotopo Protegido,Protected Biotope,II,II
143,Bird Refuge,Bird Refuge,V,V
200,Bird Sanctuary,Bird Sanctuary,V,V
217,Bombing Range,Bombing Range,V,V
360,Bosque de Protección,Protection Forest,VI,VI
111,Bosque Protector,Protected Forest,VI,VI
144,Botanical State Park,Botanical State Park,V,V
172,Buffer,Buffer,V,V
19,Burdon Canal Nature Reserve,Nature Reserve,Ia,Ia
397,Centro Ecológico Recreativo y Zona de Amortiguamiento,Protected Area,Not Reported,
145,City Beach,City Beach,III,III
147,City Managed Area,City Managed Area,Not Reported,III
168,City Park,City Park,III,III
193,Coastal Preserve,Coastal Preserve,V,V
20,Cockscomb Basin Wildlife Sanctuary,Wildlife Sanctuary,IV,IV
154,Conservation Area,Conservation Area,V,V
228,Conservation Bank,Conservation Bank,V,V
149,Conservation Easement,Conservation Easement,V,V
155,Conservation Land,Conservation Land,V,V
156,Conservation Park,Conservation Park,V,II
244,Corredor Ecologico,Ecological Corridor,VI,VI
364,Coto de Caza,Hunting Preserve,VI,VI
158,County Managed Area,County Managed Area,Not Reported,III
176,County Park,County Park,III,III
491,Critical Priority Area,Critical Priority Area,Not Reported,
21,Crooked Tree Wildlife Sanctuary,Wildlife Sanctuary,IV,IV
89,Designated Protected Area,Designated Protected Area,Not Reported,
450,Destinado a Reserva Ecologica,Protected Area,Not Reported,
479,Distritos de Conservacion de Suelos,Soil Conservation Districts,V,V
482,Distritos Nacionales de Manejo Integrado,Integrated Management National Districts,Not Reported,VI
473,Distritos Regionales de Manejo Integrado,Integrated Management Regional Districts,VI,VI
188,Easement,Easement,V,V
133,Ecological & Historic Preserve,Ecological & Historic Preserve,V,V
3,Ecological Reserve,Ecological Reserve,Not Reported,Ia
380,Elément Naturel Exceptionnel,Exceptional Natural Element,III,III
456,Elemento Natural Destacado,Natural Outstanding Element,III,III
177,Environmental Center,Environmental Center,Not Reported,V
201,Environmental Education Center,Environmental Education Center,V,V
99,Environmental Protection Area,Environmental Protection Area,V,V
148,Environmental System,Environmental System,V,V
462,Estação Ecológica,Ecological Station,Ia,Ia
225,Federal Other or Unknown,Federal Other or Unknown,V,V
164,Field,Field,Not Reported,
92,Fish Sanctuary,Fish Sanctuary,IV,IV
2,Fishery Reserve,Fishery Reserve,Not Reported,VI
461,Floresta,Forest,VI,VI
170,Forest,Forest,VI,VI
495,Forest Area under Protection,Forest Area under Protection,VI,VI
239,Forest Plot,Forest Plot,Not Reported,VI
9,Forest Reserve,Forest Reserve,VI,VI
93,Game Reserve,Game Reserve,Not Reported,VI
224,Garden Park,Garden Park,V,V
169,Gardens,Gardens,III,III
178,Greenway,Greenway,V,V
86,Historic Site and Private Reserve,Historic Site,III,III
209,Historic State Park,Historic State Park,IV,IV
369,Humedal,Wetland,Not Reported,V
109,Humedal de Importancia Internacional,Wetland of International Importance,Not Reported,V
492,Hydrological Reserve,Hydrological Reserve,Not Reported,VI
82,Indigenous Area,Indigenous Area,Not Reported,TI
30,Indigenous Territory,Indigenous Territory,Not Reported,TI
29,Integrated Management Natural Area,Integrated Management Natural Area,IV,IV
471,Jardín Botánico y Centro de Investigación,Botanical Garden and Research Center,II,II
422,Jardín de Regeneración y Recuperación de Especies,Municipal Park,Not Reported,
22,Labouring Creek Jaguar Corridor Wildlife Sanctuary,Wildlife Sanctuary,IV,IV
216,Landfill,Landfill,V,V
496,Littoral Park,Littoral Park,Not Reported,II
138,Local Conservation Area,Local Conservation Area,V,V
160,Local Other or Unknown,Local Other or Unknown,Not Reported,
152,Local Park,Local Park,III,III
