order,code,description,threat,definition,examples,exposition
1,1,Land/water protection,no,"Actions to identify, establish or expand parks and other legally protected areas",,"This class contains all actions designed to directly protect biodiversity through parks, reserves, easements, or other similar means."
2,1.1,Site/area protection,depend (if threatened),"Establishing or expanding public or private parks, reserves, and other protected areas roughly equivalent to IUCN Categories I-VI (includes marine protected areas)","national parks, nature reserves, marine protected areas (MPAs), town wildlife sanctuaries, private reserves, tribally owned hunting grounds, communal protected areas, etc.","For many years, this was the primary action used by conservationists. The actual management of protected areas fall into 2.1 Site/Area Management."
3,1.2,Resource & habitat protection,depend (if CR or CR PE),Establishing protection or easements of some specific aspect of the resource on public or private lands outside of IUCN Categories I-VI,"easements, development rights, water rights, instream flow rights, wild & scenic river designation, etc.",This category is for efforts to legally protect some part of the overall resource rather than the entire entity.
4,2,Land/water management,no,"Actions directed at conserving or restoring sites, habitats and the wider environment",,This class contains all actions involved in directly managing habitats.
5,2.1,Site/area management,no,Management of protected areas and other resource lands for conservation,"maintenenance of habitat, site design, demarcating borders, erecting fences, training park staff, control of poachers, etc.",The establishment of protected areas goes into the appropriate category in 1. Land/Water Protection – this category covers the actual management of the land or water. Of particular concern are the many 'paper' parks or reserves which have been designated but lack proper implementation and management.
6,2.2,Invasive/problematic species control,no,"Controlling and/or preventing invasive and/or other problematic plants, animals, and pathogens","cutting vines off trees, preventing ballast water discharge, etc.","This could arguably fit into 2.1 Site/Area Management and others, but it is such a vital action it gets its own category."
7,2.3,Habitat & natural process restoration,depend (if CR or CR PE),Enhancing degraded or restoring missing habitats and ecosystem functions; dealing with pollution,"creating forest corridors, prairie re-creation, riparian tree plantings, coral reef restoration, mangrove replanting, prescribed burns, breaching levees, dam removal, installing fish ladders, liming acid lakes, cleaning up oil spills , modifying land use policy (to reduce or stop logging and sedimentation), etc.",This category involves the restoration of degraded lands and natural processes as opposed to the protection of existing ones.
8,3,Species management,no,"Actions directed at managing or restoring species, focused on the species of concern itself",,"This class contains all actions involved in directly managing species. The difference between land/water management and species management is defined as follows: If the action targets two or fewer specific species, it is Species Management; if it targets three or more, it’s Land/Water Management. For example fish ladders aimed at one salmon species fit in species recovery; fish ladders aimed at several different species fit in natural process restoration."
9,3.1,Species management,no,Managing specific plant and animal populations of concern,,Note that culling deer to save a rare plant that they are eating is 2.2 Invasive/Problematic Species Control whereas culling deer to manage the deer population itself fits here.
10,3.1.1,Harvest management,depend (if threatened wood),,"harvest management of wild mushrooms, setting fishing quotas, seting catch-size limits, etc.",Applies to any species that would benefit from harvest management or fishing effort controls.
11,3.1.2,Trade management,depend (if traded),,"setting harvest quotas, trade regulations for specific populations, non CITES trade regulations, aquarium trade regulation, regulation of trade in non-timber forest products, etc.",
12,3.1.3,Limiting population growth,no,,"culling buffalo to keep population size within park carrying capacity, sterilization of animals, etc.",
13,3.2,Species recovery,no,"Manipulating, enhancing or restoring specific plant and animal populations, vaccination programs","manual pollination of trees, artificial nesting boxes/platforms, clutch manipulation, supplementary feeding, disease/pathogen/parasite management, etc.",
14,3.3,Species re-introduction,no,Re-introducing species to places where they formally occurred or benign introductions,,
15,3.3.1,Reintroduction,depend (if overharvested),,,Re-introductions are to areas where the species formerly occurred preferably following the IUCN Re-introduction Guidelines.
16,3.3.2,Benign introduction,no,,,"Benign introductions are to areas outside of the species' historic range, but within an appropriate habitat and done deliberately for conservation reasons."
17,3.4,Ex-situ conservation,depend (if CR or CR PE),Protecting biodiversity out of its native habitats,,"This is one of the key strategies practiced by zoos, aquaria and botanical gardens interested in conservation."
18,3.4.1,Captive breeding/artificial propagation,no,,"captive breeding of animals, propagation of plants from seeds or cuttings, artificial propagation of plants, etc.",
19,3.4.2,Genome resource bank,no,,"gene-banking, cryopreservation, etc.",
20,4,Education & awareness,no,"Actions directed at people to improve understanding and skills, and influence behavior",,This class obviously overlaps a bit with 7. External Capacity Building; actions in this class tend to target individuals rather than organizations.
21,4.1,Formal education,no,Enhancing knowledge and skills of students in a formal degree programme,"public schools, colleges & universities, continuing education, etc.",
22,4.2,Training,depend (if CR or CR PE),"Enhancing knowledge, skills and information exchange for practitioners, stakeholders, and other relevant individuals in structured settings outside of degree programmes","monitoring workshops or training courses in reserve design for park managers, learning networks or writing how-to manuals for project managers, stakeholder education on specific issues, improving species identification skills (especially of animal or plant parts in trade), training on how to set shark nets for beach protection to minimize bycatch of sharks and cetaceans, etc.",This category refers to training outside of formal degree programmes.
23,4.3,Awareness & communications,depend (if CR or CR PE),Raising environmental awareness and providing information through various media or through civil disobedience,"radio soap operas, environmental publishing, web blogs, puppet shows, door-to-door canvassing, tree sitting, protest marches, etc.",This is a large category that involves many different efforts to raise awareness about conservation issues in specific stakeholder groups and the general public. There is a grey area between general awareness campaigns which belong in this category versus campaigns to enact specific legislation which belong in 5. Law & Policy. Many mainstream conservation organizations do not use the more disruptive and illegal forms of moral confrontation -- inclusion of them in an effort to make this taxonomy comprehensive should by no means constitute an endorsement of them.
24,5,Law & policy,no,"Actions to develop, change, influence, and help implement formal legislation, regulations, and voluntary standards",,"This class contains a series of strategies aimed at using government powers at all levels to protect biodiversity. There is a sequence embedded in this class that involves enacting or changing the legislation, policy, or standard and then promoting compliance or enforcement of it. Some organizations do both, others only one or the other."
