order,code,description,threat,definition,examples,exposition
1,1,Residential & commercial development,yes,Threats from human settlements or other non-agricultural land uses with a substantial footprint,,
2,1.1,Housing & urban areas,yes,"Human cities, towns, and settlements including non-housing development typically integrated with housing","urban areas, suburbs, villages, ranchettes, vacation homes, shopping areas, offices, schools, hospitals, birds flying into windows, land reclamation or expanding human habitation that causes habitat degradation in riverine, estuary and coastal areas, etc.","This category obviously dovetails somewhat arbitrarily with 1.2 Commercial and Industrial Areas. As a general rule, however, if people live in the development, it should fall into this category."
3,1.2,Commercial & industrial areas,yes,Factories and other commercial centres,"military bases, factories, stand-alone shopping centres, office parks, power plants, train yards, ship yards, airports, landfills, etc.","Shipyards and airports fall into this category, whereas shipping lanes and flight paths fall under 4. Transportation & Service Corridors. Dams are NOT included here, rather they are in 7.2 Dams & Water Management/Use."
4,1.3,Tourism & recreation areas,yes?,Tourism and recreation sites with a substantial footprint,"ski areas, golf courses, resorts, cricket fields, county parks, afghan goat polo fields, campgrounds, coastal and estuarine tourist resorts, etc.","There is a fine line between housing and vacation housing/resorts. Be careful not to confuse this category, which focuses on the habitat effects of recreation areas, with those in 6.1 Recreational Activities, which focuses on the disturbance effects posed by recreation."
5,2,Agriculture & aquaculture,yes,"Threats from farming and ranching as a result of agricultural expansion and intensification, including silviculture, mariculture and aquaculture (includes the impacts of any fencing around farmed areas)",,"Threats resulting from the use of agrochemicals, rather than the direct conversion of land to agricultural use, should be included under 9.3 Agricultural & Forestry Effluents. Likewise in cases where conversion to agriculture causes increased run-off and hence sedimentation of rivers and lakes, that is also best treated under 9.3 Agricultural & Forestry Effluents."
6,2.1,Annual & perennial non-timber crops,yes,"Crops planted for food, fodder, fibre, fuel, or other uses",,"Select the appropriate scale of the farming activity and list the specific crop(s) e.g., wheat farms, sugar cane plantations, rice paddies, hillside rice production, household swidden plots, banana or pineapple plantations, mango or apple orchards, olive or date groves, vineyards, oil palm plantations, tea or coffee plantations, mixed agroforestry systems, coca plantations, etc."
7,2.1.1,Shifting agriculture,no,,,
8,2.1.2,Small-holder farming,yes,,,
9,2.1.3,Agro-industry farming,yes,,,
10,2.1.4,Scale Unknown/Unrecorded,yes?,,,
11,2.2,Wood & pulp plantations,yes?,"Stands of trees planted for timber or fibre outside of natural forests, often with non-native species",,"If it is one or a couple timber species that are planted on a rotation cycle, it belongs here. If it is multiple species or enrichment plantings in a quasi-natural system, it belongs in 5.3 Logging & Wood Harvesting"
12,2.2.1,Small-holder plantations,no,,,
13,2.2.2,Agro-industry plantations,yes,,,
14,2.2.3,Scale Unknown/Unrecorded,no,,,
