order,locality1,UC
1,"""""""""Anangu, NW corner of the """"""""""""""""Parque Nacional Yasuni"""""""""""""""". Undisturbed rain forest in the area of the terra firma SEF-line. """"""""",PI
2,"""""""""Bom Futuro"""""""". Reserva Extrativista Chico Mendes, Km 52 of Brasileia-Assis road, 18 Km on Ramal (side road) """"""""Tocandeira""""""""",US
3,"""""""""Campus"""""""" CEUC",US
4,"""""""""Cerro Amboro (Rio Isama)""""""""--During this trip I climbed up the Rio Isama to the summit of Cerro Amboro in Parque Nacional de Amboro. As the trail is not established and winds over ridges and dense forest I have little idea of the exact locality. Nevertheless today I collected along the Rio Isama where the trail begins to the summit, near a sort of tunnel like canyon along the river. 60 km W. of Santa Cruz. Riverine forest in deep canyon",PI
5,"""""""""Cerro Amboro""""""""--During this trip I climbed up the Rio Isama to the summit of Cerro Amboro in Parque Nacional de Amboro. As the trail is not established and winds over ridges and dense forest I have little idea of the exact locality. Nevertheless today I collected between 1150-1300 m between the camp used to reach the summit and the grasslands about 2 km N. of the summit. 60 km W. of Santa Cruz. A number of habitats collected: Tangled Clusia woodlands 1050-1200 m, Ericaceous-Clusia scrub 1150-1200 m, grasslands 1150-1300 m",PI
6,"""""""""Cerro Amboro""""""""--During this trip I climbed up the Rio Isama to the summit of Cerro Amboro in Parque Nacional de Amboro. As the trail is not established and winds over ridges and dense forest I have little idea of the exact locality. Nevertheless today I collected between 1170 m and the summit at 1510 m. 60 km W. of Santa Cruz. A number of habitats collected: Tangled Clusia woodlands 1050-1200 m, Ericaceous-Clusia scrub 1170-1510 m, upper riverine woodlands 1250 m, grasslands cliffs 1300-1510 m. First botanical expedition to the actual summit",PI
7,"""""""""Cerro Amboro""""""""--During this trip I climbed up the Rio Isama to the summit of Cerro Amboro in Parque Nacional de Amboro. As the trail is not established and winds over ridges and dense forest I have little idea of the exact locality. Nevertheless today I collected between 900-1150 m between the camp used to reach the summit and the edge of the grasslands about 3 km E. of the summit. 60 km W of Santa Cruz. A number of habitats collected: Loma forest at 900-950 m, Woodland tangled with bamboo 950-1050 m, tangled Clusia woodland 1050-1200 m, Ericaceous-Clusia scrub 1150-1200 m, upper riverine woodlands 1150 m",PI
8,"""""""""Cordillera de la Costa, Parque Nacional Guacharo,12 km al NNE de Caripe, distancia aerea, Alto El Silencio""""""""",PI
9,"""""""""Corregimiento La Encarnacion, vereda Calles, Parque Nacional Natural Las Orquideas, camino Calles-La Encarnacion, despues de la confluencia del rio Polo y el rio Calle y antes del rio San Pedro, sitio La Quiebra""""""""",PI
10,"""""""""Corregimiento San Jose del Nus, vereda Marbella, Granja Experimental Corpoica del Nus, reserva ecologica""""""""",PI
