"CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup","CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName","CountryOccurrence.CountryOccurrenceSubfield.formerlyBred","CountryOccurrence.CountryOccurrenceSubfield.origin","CountryOccurrence.CountryOccurrenceSubfield.presence","CountryOccurrence.CountryOccurrenceSubfield.seasonality","internal_taxon_id"
"BZN-AZ",NA,NA,"Native","Extant","Resident","sp1"
"BZN-PA",NA,NA,"Native","Extant","Resident","sp1"
"PE",NA,NA,"Native","Extant","Resident","sp1"
"BZE-PE",NA,NA,"Native","Extant","Resident","sp1"
"BZN-AC",NA,NA,"Native","Extant","Resident","sp1"
"CO",NA,NA,"Native","Extant","Resident","sp1"
"CO",NA,NA,"Native","Extant","Resident","sp1"
"CO",NA,NA,"Native","Extant","Resident","sp1"
"BZN-RM",NA,NA,"Native","Extant","Resident","sp1"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp2"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp3"
"BZL-SP",NA,NA,"Native","Extant","Resident","sp3"
"BZS-PR",NA,NA,"Native","Extant","Resident","sp3"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp3"
"BZN-PA",NA,NA,"Native","Extant","Resident","sp3"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp3"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp3"
"BZS-SC",NA,NA,"Native","Extant","Resident","sp3"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp4"
"BZN-TO",NA,NA,"Native","Extant","Resident","sp4"
"BZN-PA",NA,NA,"Native","Extant","Resident","sp4"
"BZE-MA",NA,NA,"Native","Extant","Resident","sp4"
"BZN-AZ",NA,NA,"Native","Extant","Resident","sp4"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp4"
"BR",NA,NA,"Native","Extant","Resident","sp4"
"BZC-MT",NA,NA,"Native","Extant","Resident","sp4"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp5"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp5"
"BZE-PB",NA,NA,"Native","Extant","Resident","sp5"
"BZE-SE",NA,NA,"Native","Extant","Resident","sp5"
"BZE-PE",NA,NA,"Native","Extant","Resident","sp5"
"BZE-CE",NA,NA,"Native","Extant","Resident","sp5"
"BZL-SP",NA,NA,"Native","Extant","Resident","sp5"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp5"
"BZE-AL",NA,NA,"Native","Extant","Resident","sp5"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp5"
"BZN-PA",NA,NA,"Native","Extant","Resident","sp5"
"BZC-GO",NA,NA,"Native","Extant","Resident","sp5"
"BZE-RN",NA,NA,"Native","Extant","Resident","sp5"
"BZC-DF",NA,NA,"Native","Extant","Resident","sp5"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp6"
"BZE-PB",NA,NA,"Native","Extant","Resident","sp6"
"BZE-PE",NA,NA,"Native","Extant","Resident","sp6"
"BZE-AL",NA,NA,"Native","Extant","Resident","sp6"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp6"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp6"
"BZL-SP",NA,NA,"Native","Extant","Resident","sp6"
"BZE-RN",NA,NA,"Native","Extant","Resident","sp6"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp6"
"BZE-SE",NA,NA,"Native","Extant","Resident","sp6"
"BR",NA,NA,"Native","Extant","Resident","sp6"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp7"
"BZC-MT",NA,NA,"Native","Extant","Resident","sp7"
"BZE-CE",NA,NA,"Native","Extant","Resident","sp7"
"BZE-PB",NA,NA,"Native","Extant","Resident","sp7"
"BZL-SP",NA,NA,"Native","Extant","Resident","sp7"
"BZE-SE",NA,NA,"Native","Extant","Resident","sp7"
"BZE-MA",NA,NA,"Native","Extant","Resident","sp7"
"BZN-PA",NA,NA,"Native","Extant","Resident","sp7"
"BZN-AZ",NA,NA,"Native","Extant","Resident","sp7"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp7"
"BZN-RO",NA,NA,"Native","Extant","Resident","sp7"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"BZN-AP",NA,NA,"Native","Extant","Resident","sp7"
"GY",NA,NA,"Native","Extant","Resident","sp7"
"BR",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"VE",NA,NA,"Native","Extant","Resident","sp7"
"BZN-TO",NA,NA,"Native","Extant","Resident","sp7"
"BZN-RM",NA,NA,"Native","Extant","Resident","sp7"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp7"
"VE",NA,NA,"Native","Extant","Resident","sp7"
"BZN-AC",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"EC",NA,NA,"Native","Extant","Resident","sp7"
"EC",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"BO",NA,NA,"Native","Extant","Resident","sp7"
"PE",NA,NA,"Native","Extant","Resident","sp7"
"BO",NA,NA,"Native","Extant","Resident","sp7"
"PE",NA,NA,"Native","Extant","Resident","sp7"
"PE",NA,NA,"Native","Extant","Resident","sp7"
"EC",NA,NA,"Native","Extant","Resident","sp7"
"PE",NA,NA,"Native","Extant","Resident","sp7"
"PE",NA,NA,"Native","Extant","Resident","sp7"
"BO",NA,NA,"Native","Extant","Resident","sp7"
"EC",NA,NA,"Native","Extant","Resident","sp7"
"EC",NA,NA,"Native","Extant","Resident","sp7"
"JM",NA,NA,"Native","Extant","Resident","sp7"
"VE",NA,NA,"Native","Extant","Resident","sp7"
"EC",NA,NA,"Native","Extant","Resident","sp7"
"PE",NA,NA,"Native","Extant","Resident","sp7"
"CO",NA,NA,"Native","Extant","Resident","sp7"
"EC",NA,NA,"Native","Extant","Resident","sp7"
"BO",NA,NA,"Native","Extant","Resident","sp7"
"GF",NA,NA,"Native","Extant","Resident","sp7"
"VE",NA,NA,"Native","Extant","Resident","sp7"
"VE",NA,NA,"Native","Extant","Resident","sp7"
"BO",NA,NA,"Native","Extant","Resident","sp7"
"SR",NA,NA,"Native","Extant","Resident","sp7"
"BZN-AZ",NA,NA,"Native","Extant","Resident","sp8"
"BZN-AC",NA,NA,"Native","Extant","Resident","sp8"
"EC",NA,NA,"Native","Extant","Resident","sp8"
"BZN-RO",NA,NA,"Native","Extant","Resident","sp8"
"PE",NA,NA,"Native","Extant","Resident","sp8"
"EC",NA,NA,"Native","Extant","Resident","sp8"
"CO",NA,NA,"Native","Extant","Resident","sp8"
"CO",NA,NA,"Native","Extant","Resident","sp8"
"CO",NA,NA,"Native","Extant","Resident","sp8"
"PE",NA,NA,"Native","Extant","Resident","sp8"
"EC",NA,NA,"Native","Extant","Resident","sp8"
"EC",NA,NA,"Native","Extant","Resident","sp8"
"EC",NA,NA,"Native","Extant","Resident","sp8"
"EC",NA,NA,"Native","Extant","Resident","sp8"
"PE",NA,NA,"Native","Extant","Resident","sp8"
"GF",NA,NA,"Native","Extant","Resident","sp8"
"PE",NA,NA,"Native","Extant","Resident","sp8"
"CO",NA,NA,"Native","Extant","Resident","sp8"
"BZN-PA",NA,NA,"Native","Extant","Resident","sp8"
"BR",NA,NA,"Native","Extant","Resident","sp8"
"PE",NA,NA,"Native","Extant","Resident","sp8"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp8"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp9"
"BZS-SC",NA,NA,"Native","Extant","Resident","sp9"
"BZS-PR",NA,NA,"Native","Extant","Resident","sp9"
"BZS-RS",NA,NA,"Native","Extant","Resident","sp9"
"BZL-SP",NA,NA,"Native","Extant","Resident","sp9"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp9"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp9"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp9"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp10"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp10"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp11"
"BZE-PE",NA,NA,"Native","Extant","Resident","sp11"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp12"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp12"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp12"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp13"
"BZL-SP",NA,NA,"Native","Extant","Resident","sp13"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp13"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp13"
"BZS-PR",NA,NA,"Native","Extant","Resident","sp13"
"BZS-RS",NA,NA,"Native","Extant","Resident","sp14"
"BZL-SP",NA,NA,"Native","Extant","Resident","sp14"
"AGE-FO",NA,NA,"Native","Extant","Resident","sp14"
"BZS-SC",NA,NA,"Native","Extant","Resident","sp14"
"AGW-SA",NA,NA,"Native","Extant","Resident","sp14"
"AGE-CO",NA,NA,"Native","Extant","Resident","sp14"
"AGW-SL",NA,NA,"Native","Extant","Resident","sp14"
"AGE-BA",NA,NA,"Native","Extant","Resident","sp14"
"AGE-CN",NA,NA,"Native","Extant","Resident","sp14"
"AGE-ER",NA,NA,"Native","Extant","Resident","sp14"
"AGW-JU",NA,NA,"Native","Extant","Resident","sp14"
"BO",NA,NA,"Native","Extant","Resident","sp14"
"AGW-SJ",NA,NA,"Native","Extant","Resident","sp14"
"AGW-TU",NA,NA,"Native","Extant","Resident","sp14"
"AGE-MI",NA,NA,"Native","Extant","Resident","sp14"
"AGE-CH",NA,NA,"Native","Extant","Resident","sp14"
"PY",NA,NA,"Native","Extant","Resident","sp14"
"AGE-LP",NA,NA,"Native","Extant","Resident","sp14"
"ZA",NA,NA,"Native","Extant","Resident","sp14"
"ES",NA,NA,"Native","Extant","Resident","sp14"
"NZ",NA,NA,"Native","Extant","Resident","sp14"
"US",NA,NA,"Native","Extant","Resident","sp14"
"BZS-PR",NA,NA,"Native","Extant","Resident","sp14"
"BZC-MS",NA,NA,"Native","Extant","Resident","sp14"
"UY",NA,NA,"Native","Extant","Resident","sp14"
