family,scientific.name,life.form,status,taxa of low taxonomic complexity (TBC),commonly cultivated/ornamental,number of records,vouchers
Acanthaceae,Anisacanthus trilobus Lindau,shrub,new to AF,NA,NA,55,"Araujo, F.S., 1272 (UEC 96521); Barros, R., 2759 (TEPB 24747, TEPB 25010); Davidse, G., 17878 (MO 1839747); Gonzaga, D.R., 1127 (RB 758384); Harley, R.M., 16761 (NY 484072); Hatschbach, G., 55125 (MBM 141293, MO 3070390, NY 484075, US 3238639); Lima, V.C., 392 (IPA 49215, SPF 73475); Luetzelburg, P., 1301 (RB 5791); Souza, V.C., 28778 (ESA 78363, HPL 6671, RB 627257, UFRN 15816); Ule, E.H.G., 7480 (B 8762, G 236111, HBG 522692); Ule, E.H.G., s.n. (G 185479/1)"
Acanthaceae,Aphelandra longiflora (Lindl.) Profice,shrub,confirmed,NA,NA,428,"Ackermann, s.n. (BR 13222505); Dawson, E.Y., 14531 (US 2271252, US 2271253); Ferreira, J.A., s.n. (EAFM 11151); Gardner, 586 (BM 28857, K 14514, SP 32817); Gardner, G., 3952 (BM 28858); Karwinski von Karwin W.F., s.n. (BR 6942953, BR 6944537); Lima, B., s.n. (CGMS 63815); Lima, B., s.n. (DVPR 1530); Luschnath B., s.n. (BR 6944490, BR 6944803, BR 6945138); Macedo, A., 1852 (NY 842226, RB 78980, S 7-3726, US 2196723); Magalhaes, M., s.n. (RB 76821); Martius, C.F.P(no. Herb. Fl. Bras. ), s.n. (MSB 186244/ 595794 / 265186, TUB 9960/ 719349 / 368519, TUB 9961/ 719350 / 368520, MSB 186247/ 595797 / 265189); Raben F.C., 848 (BR 13222499); Raben, F.C., s.n. (B 8729); Schuch, G., s.n. (F 47352); Sellow, F., s.n. (B 8725); Sellow, F., s.n. (B 8727); Anonymous, s.n. (BR 13222482); Wied-Neuwied, (.S.N.)., s.n. (GOET 740/ 751519 / 394946); Wied M., s.n. (BR 5849666, BR 5849994); Wied, s.n. (GOET 9537)"
Acanthaceae,Avicennia germinans (L.) L.,tree,confirmed,NA,NA,328,"Bonpland, A.J.A., s.n. (P 670136); Martius, C.F.P., s.n. (MSB 111768/ 32953 / 23745); Vasconcelos Sobrinho, J., 287 (NY 542270, NY 542271, NY 542275); Westin, s.n. (UPS 125614)"
Acanthaceae,Avicennia schaueriana Stapf & Leechm. ex Moldenke,tree,confirmed,NA,NA,125,"Araujo, D.S.D., 2221 (NY 571895); Araujo, D.S.D., 4786 (NY 571896); Ataide, M., 109 (IPA 44755); Costa-Lima, J.L., 13 (UFRN 7811); Drouet, F.E., 2548 (MO 2888909, NY 573619, US 1594887); Froes, R.L., 1812 (K 1046342, NY 955665, US 1660151); Glaziou, A.F.M., 11317 (NY 571894); Hatschbach, G., 43007 (MBM 66459, MBM 66549, NY 571892, UEC 24902, UPCB 11317); Loiola, M.I.B., 1254 (MOSS 11193, UFRN 7344); Moldenke, A.L., 19606 (MO 2888162, NY 337280); Prance, G.T., 21149 (INPA 45126, K 1046343, MG 049211, MO 2888668, US 2833040); Reitz, R., 683 (NY 573611, PACA 64920, US 2123175, US 2281838); Revilla, J., 12755 (INPA 276949); Rocha, E.A., 1176 (JPB 34693, UESC 10516); Rocha, E.A., 1382 (IPA 81581, JPB 36876); Rocha, F.D., 108 (NY 955664); Salino, A., 3887 (CESJ 34688); Sellow, F., 304 (NY 571898); Udulutsch, R.G., 2396 (ESA 88446, RB 627258, SAMES 21); Vasconcelos Sobrinho, J., 251 (NY 571897)"
Acanthaceae,Justicia aequilabris (Nees) Lindau,shrub,new to AF,NA,NA,198,"Blanchet, J.S., 2575 (B 8870, BM 629550, BM 629562, G 236351, NY 278878); Blanchet, J.S., s.n. (G 186839/1); Blanchet, J.S., s.n. (P 719835); Blanchet, J.S., s.n. (P 719836); Fernandes, A., s.n. (EAC 10309); Fernandes, A., s.n. (EAC 5959); Fernandes, A., s.n. (EAC 6030); Fernandes, A., s.n. (EAC 8435); Glaziou, A., s.n. (P 719940); Glaziou, A., s.n. (P 719941); Glaziou, A., s.n. (P 719942); Glaziou, A.F.M., 13076 (B 8918); Glaziou, A.F.M., 13076 (G 236313); Glaziou, A.F.M., 13076 (R 11230); Glaziou, A.F.M., s.n. (G 186715/1); Kuntze, O., s.n. (B 8906); Kuntze, O., s.n. (MO 3154081); Martins, P., s.n. (EAC 10172); Martius, C.F.P(no. Obs. ), s.n. (MSB 186601/ 595986 / 265378); Nunes, E., s.n. (EAC 6221); Nunes, E., s.n. (EAC 7174); Pohl J.B.E., s.n. (BR 6944780); Santana, W., s.n. (ALCB 15401); Sellow, F., s.n. (B 8902); Anonymous, s.n. (MSB 186591/ 595978 / 265370); Anonymous, s.n. (MSB 186603/ 595988 / 265380); Ule, E.H.G., s.n. (G 186721/1)"
Acanthaceae,Thyrsacanthus ramosissimus Moric.,shrub,new to AF,NA,NA,131,"Bastos, M.N.C., 740 (HAMAB 15774, RB 35257); Blanchet, J.S., 2893 (BM 949844, F 47236F, G 236114, G 236115, G 236116); Blanchet, J.S., s.n. (P 719954); Gadelha Neto, P.C., 3071 (JPB 49091, NY 1738186); Glaziou, A., s.n. (P 719948); Glaziou, A., s.n. (P 719949); Glaziou, A., s.n. (P 719950); Glaziou, A.F.M., 15288 (BR 13222727, G 236113, R 11247, R 11247A); Glaziou, A.F.M., s.n. (G 185586/1); Irwin, H.S., 30727 (NY 484065, UB 135433, US 2629580); Paula, J.E., 1481 (IBGE 7515, MO 3073095, US 2900626); Pereira, R., 354 (IPA 52039, SPF 73486); Rapini, A., 1797 (HUEFS 151499); Ribas, O.S., 7668 (MBM 330162); Rodrigues, M.N., 1497 (ALCB 76642); Sellow, F., s.n. (B 8757); Siqueira Filho, J.A., 416 (HVASF 1257, UFP 22239)"
Achariaceae,Carpotroche brasiliensis (Raddi) A Gray,tree,confirmed,NA,NA,130,"Belem, R.P., 1590 (CEPEC 889); Belem, R.P., 3524 (NY 374714, NY 374729); Braga, B., 6454 (UEC 51832); Jardim, J.G., 469 (ASE 5764, CEPEC 61715, NY 476271); Landim, M., 1213 (ASE 7781); Monteiro, M.T., 23582 (HST 3817, HUEFS 177115, IPA 74787, RB 538541, RB 994666); Ribeiro, M., 201 (SAMES 69, VIES 23102); Santos, M.C.F., 1664 (RB 549898, RFFP 5829); Santos, M.F., 421 (IAC 53197, SPF 198164)"
Achariaceae,Kuhlmanniodendron apterocarpum (Kuhlm.) Fiaschi & Groppo,tree,confirmed,NA,NA,25,"Costa, I.G., 918 (RB 1399906); Demnuer, V., 866 (CEPEC 98938); Demuner, V., 1414 (CEPEC 98937, MBML 13504); Demuner, V., 866 (MBML 12216); Fiaschi, P., 2000 (CEPEC 102364, ESA 115971, HUEFS 173725, K 370326, MBML 42140, MO 100499172, NY 1523004, SPF 201607, SPFR 15544, UB 214762); Fiaschi, P., 2734 (RB 820638, SPF 201608); Folli, D.A., 3725 (CVRD 6660); Folli, D.A., 3749 (CVRD 6684); Folli, D.A., 4422 (CVRD 8008); Kollmann, L., 2692 (CEPEC 98949, MBML 11720); Kollmann, L., 4295 (CEPEC 98916, MBML 14891); Kollmann, L., 4396 (CEPEC 98917, MBML 15015); Kollmann, L., 8354 (CEPEC 119188, MBML 25260); Kuhlmann, J.G., 231 (K 471387, RB 538539, RB 570287, RB 570288); Kuhlmann, J.G., 24490 (US 1740201); Kuhlmann, J.G., 375 (RB 538540, RB 570290); Magnago, L.F.S., 884 (MBML 27753); Menezes, L.F.T., 2104 (SAMES 1808); Pereira, O.J., 6769 (VIES 16469); Santos, T.S., 1464 (CEPEC 6711, NY 477253); Santos, T.S., 1467 (CEPEC 6708, MBML 1176); Santos, T.S., 1497 (CEPEC 6678); Souza, V.C., 311 (CEPEC 94684, CVRD 3814, RB 175375); Thomas, W.W., 13980 (CEPEC 103168); Vervloet, R.R., 2196 (CEPEC 98918, MBML 20367)"
Achariaceae,"Kuhlmanniodendron macrocarpum Groppo, Favaretto & Fiaschi",tree,confirmed,NA,NA,6,"Guedes, M.L., 16361 (ALCB 92490); Jardim, J.G., 1117 (CEPEC 76594, NY 810622, SPF 161846); Lopes, M.M.M., 1512 (CEPEC 117574); Ramos, C.H.A., 104 (ALCB 85322A, US 3698311); Ramos, C.H.A., 194 (ALCB 85436); Santos, T.S., 1182 (CEPEC 6189)"
Achariaceae,Lindackeria ovata (Benth.) Gilg,tree,new to AF,NA,NA,26,"Araujo, F.S., 131 (EAC 19257); Araujo, F.S., 158 (EAC 19284, IPA 53441); Araujo, F.S., 230 (EAC 19356); Araujo, F.S., EAC19356 (JPB 43085); Capanema, s.n. (RB 175197); Fernandes, A., EAC3521 (JPB 43114); Fernandes, A., s.n. (EAC 11069); Fernandes, A., s.n. (EAC 14877); Fernandes, A., s.n. (EAC 16810); Fernandes, A., s.n. (EAC 26683); Fernandes, A., s.n. (EAC 3018); Fernandes, A., s.n. (EAC 3177); Fernandes, A., s.n. (EAC 3521); Fernandes, A., s.n. (EAC 9679); Fernandes, A., s.n. (MAC 48662); Fernandes, A., UFRN368 (UFRN 368); Fernandez, A., s.n. (INPA 92404); Gardner, G., 2396 (B 13618); Gardner, G., 2396 (BM 624018); Martinelli, G., 16178 (CEPEC 148002, RB 517552); Martinelli, G., 17908 (CEPEC 148572, RB 806918, TEPB 30644); Martins, P., s.n. (EAC 7530); Martins, P., s.n. (EAC 9512); Sucre, D., 9340 (RB 175306); Taylor, E.L., 1322 (MO 3138084); Taylor, E.L., s.n. (NY 897392)"
