family,scientific.name,life.form,status,number of records,vouchers
Acanthaceae,Harpochilus neesianus Mart. ex Nees,shrub,probable occurrence in the AF,69,"Alencar, M.E., 2323 (HUEFS 217719); Blanchet, J.S., 2884 (BM 992522); Blanchet, J.S., s.n. (F 47374); Blanchet, J.S., s.n. (P 719947); Gonzaga, L.A P., 19 (RB 232636, RB 35725); Martius, C.F.P(no. Obs. ), s.n. (MSB 186237/ 595787 / 265179); Sales, M.F., 358 (NY 484265, PEUFR 17111, US 3341402)"
Achatocarpaceae,Achatocarpus praecox Griseb.,tree,no records found but cited in BF.2020,89,"Alves, J., s.n. (SP 350047); Balansa, B. (no. a), s.n. (GOET 8759/ 759730 / 403132); Balansa, B., s.n. (GOET 10757); Balansa, B., s.n. (P 1817764); Balansa, B., s.n. (P 743980); Balansa, B., s.n. (P 743981); Balansa, B., s.n. (P 743982); Balansa, B., s.n. (P 743986); Balansa, B., s.n. (P 743987); Bueno, R.M., s.n. (ICN 051621); Cavalheiro, A.L., s.n. (MBM 239737); Fortunato, R.H., s.n. (SI 120782); Francisco, E.M., s.n. (MBM 230766); Francisco, E.M., s.n. (MBM 270082); Francisco, E.M., s.n. (UEC 103708); Hieronymus, G., s.n. (GOET 8763/ 759715 / 403117); Hieronymus, G., s.n. (GOET 8764/ 759716 / 403118); Hieronymus, G., s.n. (GOET 8765/ 759713 / 403115); Hieronymus, G., s.n. (GOET 8766/ 759714 / 403116); Krapovickas, A., s.n. (SI 83679); Lorentz, P.G. (no. ), s.n. (GOET 8758/ 759733 / 403135); Lorentz, P.G. (no. ), s.n. (GOET 8760/ 759717 / 403119); Lorentz, P.G., 43 (US 280988); Lorentz, P.G., s.n. (B 5734); Morrone, O., s.n. (SI 39740); Mulgura, M.E., s.n. (SI 42738); Pedersen, T.M., s.n. (UPS 529100); Rojas, T., s.n. (SI 48605); Sellow, F., 5 (B 5732); Tur, N.M., s.n. (SI 295770)"
Adoxaceae,Sambucus australis Cham. & Schltdl.,tree,no records found but cited in BF.2020,103,"Amorozo, M.C.M., 349 (HRCB 30760); Arbo, M.M., 5901 (MBM 162600, MO 3256564, NY 424044, SPF 84025, UPCB 22445); Beltreschi, L., 41 (JPB 61864); Biral, L., 644 (HRCB 56363, IAC 55592, VIES 26541); Burkart, A., 28899 (SP 252106); Burkart, A., 29534 (SP 252107); Casas, F.J.F., 3715 (MO 3254604); Dunaiski Junior, A., 83 (NY 424043, UPCB 20515); Hunziker, A.T., 7902 (MA 1-00798465); Irwin, H.S., 27 (HUEG 4403); Isobe, H.M., 13 (HUCP 6159); Melo, E., 390 (CEN 15910); Palhano, P.C., 31 (CGMS 8189, SPF 80779); Sacco, J.C., 175 (MA 1-00185984); Silva, R.M., 40 (UFG 48030); Thomas, M.B., 617 (CEPEC 80703); Zachia, R.A., 5136 (INPA 241258)"
Anacardiaceae,Apterokarpos gardneri (Engl.) Rizzini,tree,probable occurrence in the AF,43,"Carvalho-Sobrinho, J.G., 2096 (HVASF 3391, SPF 226364); Carvalho-Sobrinho, J.G., 2266 (HVASF 5002); Flores, A.S., 966 (TEPB 19840, UEC 124790); Gardner, G., 2087 (BM 884744); Mendes, M.R.A., 317 (SPF 151341, TEPB 16939); Pirani, J.R., 2586 (NY 437865, SP 245548, SPF 68211); Ramalho, F.B., 183 (HST 4099, PEUFR 23921, RB 170548, SPF 224622); Ramalho, F.B., 319 (RB 203152)"
Annonaceae,Annona exsucca DC.,tree,probable occurrence in the AF,407,"Anderson, A., s.n. (G 196907/1); Anderson, A., s.n. (UM 12435); Andersson, A., s.n. (B 100243127); Anonymous, s.n. (G 196883/1); B.W., 6507 (BR 6956318); Bezerra, P., s.n. (EAC 419); Ducke, A., 19645 (K 486416, S 6917, US 1615923); Ducke, A., s.n. (RB 19645); Fernandes, A., s.n. (EAC 11801); Fernandes, A., s.n. (EAC 5077); Gardner, G., 1914 (BM 554008); Gardner, G., 1914 (F 47908F, F 47909F); Gardner, G., 1914 (G 226073); Gardner, G., 1914 (G 226074); Gardner, G., 1914 (G 226075); Gardner, G., 1914 (NY 26265); Gardner, G., 1914 (NY 26266); Gardner, G., s.n. (G 196886/1); Gardner, G., s.n. (G 196886/2); Gardner, G., s.n. (G 196886/3); Krukoff, B.A., 6881 (BM 554010, BR 6956301, F 47920F, K 486408, MO 1802878, NY 26285, S 6938, US 1660929, US 2655111, US 8011, US W8011); Krukoff, B.A., 6881 (G 226076); Krukoff, B.A., s.n. (G 196885/1); Moore, S., 522 (B 14269, BM 554009); Moore, S., s.n. (B 100243128); Moore, S.L.M., 522 (NY 26268); Anonymous, s.n. (F 47921); Spruce, R., s.n. (B 14281); Spruce, R., s.n. (LD 1821650); W, B., 6507 (BM 554006)"
Annonaceae,Annona monticola Mart.,shrub,probable occurrence in the AF,100,"Clausen, P.C.D., s.n. (G 281515/1); Clausen, P.C.D., s.n. (G 386847); Dias, A.A., 6 (HRB 3045); Dias, AA., 06 (RB 227732, RB 40913); Irwin, H.S., 28084 (UB 1920, UB 4980); Irwin, H.S., 9687 (UB 23324, US 2541081); Macedo, M., 986 (UEC 30515); Pereira-Silva, G., 2282 (CEN 20239)"
Annonaceae,Duguetia dicholepidota Mart.,tree,probable occurrence in the AF,12,"Blanchet, 2828 (K 487403); Blanchet, 2828 (K 487404); Blanchet, 2828 (K 487405); Blanchet, J.S., 2828 (B 100242349); Blanchet, J.S., 2828 (BM 547011); Blanchet, J.S., 2828 (BM 547012); Blanchet, J.S., 2828 (F 47766F, F 47767F, G 237264, G 237265, G 237266); Blanchet, J.S., 2828 (NY 25902); Blanchet, J.S., s.n. (P 751074); Blanchet, J.S., s.n. (W 1889-0121576); Harley, R.M., 18917 (CEPEC 18991, IPA 24660, NY 378883, NY 395957, RB 344005, US 2863984); Queiroz, L.P., 3982 (CEN 48057, HUEFS 17665)"
Annonaceae,Guatteria scandens Diels,tree,probable occurrence in the AF,40,"Balee, W.L., 793 (MG 118500, NY 194447, NY 836923); Clarke, H.D., 1335 (MO 3400246, US 3378795); Clarke, H.D., 401 (US 3349857); Ducke, A., 17874 (B 100243230); Ducke, A., 17874 (MO 3400333, S 2618); Ducke, A., s.n. (B 14177); Ducke, A., s.n. (RB 534134); Ducke, A., s.n. (RB 534198); Ducke, A., s.n. (RB 534201); M.J.Jansen-Jacobs, R.Lilwah, U.Raghoenandan, F.Scheplitz, 5494 (US 3392851); Martius, C.F.P(no. Obs. ), s.n. (MSB 111021/ 32206 / 23000); Moraes, J.C., 680 (IPA 8679); Mutchnick, P., 742 (US 3553554); P.Acevedo-Rodriguez, P.G.Delprete, R.Cortes, 16088 (US 3729085); Prance, G.T., 1872 (NY 1134882, US 2514809); Rodrigues, W.A., 974 (INPA 7210)"
Apocynaceae,Aspidosperma brasiliense A.S.S. Pereira & A.C.D. Castello,tree,probable occurrence in the AF,45,"Arantes, A.A., 87 (HUFU 50380); Araujo, G.M., 644 (HUFU 2513, UEC 59505); Bear, M.F., 361 (UEC 54931); Castello, A.C.D., 166 (MG 228895, RB 1378788, UEC 192544); Castello, A.C.D., 218 (BOTU 33442); Duarte, A.P., 8179 (RB 46095, UEC 28362); Fagg, C.W., 1962 (HST 21384, HUTO 5530, IBGE 78071, UEC 187311); Garcia, F.C.P., 642 (HRCB 14402, MBM 365803, RB 1404648, UEC 158780); Ivanauskas, N.M., 1616 (ESA 48223, MBM 250389, UEC 128647, UFMT 33938); Mizushima, M., 137 (HUEFS 235609); Muniz, F.H., 413 (HRCB 16612, UEC 85307); Pereira, B.A.S., 2519 (IBGE 31817, RB 312024, UEC 71333, US 3275513); Pires, T.P., 97 (UEC 197965); Violatti, L.G., 13 (UEC 52383)"
Apocynaceae,Aspidosperma ulei Markgr.,tree,probable occurrence in the AF,29,"Cavalcanti, F.S., 946 (EAC 34796); Coradin, L., 914 (CEN 2924, INPA 76244, NY 1921487); Duarte, A.P., 9550 (RB 129743); Ducke, A., 2498 (IPA 8102, MO 1001273, NY 970672, R 76656, SP 55415, SPF 71717); Ducke, A., s.n. (K 988414); Ducke, A., s.n. (RB 34947); Forero, E., 4608 (K 988413); Jansen-Jacobs, M.J., 2698 (MO 100439485, US 3359994); Jansen-Jacobs, M.J., 3362 (F 421485F, MO 100439495); Lima-Verde, L.W., s.n. (EAC 23093); Lowrie, S.R., 447 (INPA 109587); M.J.Jansen-Jacobs, B.Welle, A.S.Chanderbali, U.Raghoenandan, 3545 (US 3359983); Milliken, W., 745 (K 988411, MIRR 2444, NY 1921507); Mutis, 5216 (MA 1-00660355); Pires, J.M., 16800 (INPA 119060, INPA 84921, IPA 53566, MG 066307, RB 203164, UEC 20136); Prance, G.T., 4608 (COL 127697, INPA 20239, NY 1921484); Prance, G.T., 9308 (MG 039781, NY 1921486); Prance, G.T., 9494 (NY 1921485); Ramos, J.F., 9308 (K 988412); Sanaiotti, T.M., 225 (INPA 174551, UEC 186169); Silveira, E., s.n. (EAC 30823); Silveira, E., s.n. (EAC 32630); Silveira, E., s.n. (EAC 34813); Ule, E., 8451 (K 979026); Ule, E., 8453 (RB 451987); Ule, E.H.G., 8453 (B 4432); Ule, E.H.G., 8453 (G 169349); Ule, E.H.G., s.n. (G 154834/1); Wurdack, J.J., s.n. (RB 98766)"
