family,species,records outside the AF,records out.in transition,records in.out transition,records inside the AF,endemism level (validated taxonomy only),group of species (validated taxonomy only),endemism level (validated and probably validated taxonomy),group of species (validated and probably validated taxonomy),endemism accepted by the BF-2020
Acanthaceae,Anisacanthus trilobus,35,4,1,2,7.462687,occasional,6.329114,occasional,Not in the AF
Acanthaceae,Aphelandra longiflora,116,5,8,232,65.935919,widespread,66.572638,widespread,Not endemic
Acanthaceae,Avicennia germinans,192,2,0,13,16.666667,widespread,6.31068,occasional,Not endemic
Acanthaceae,Avicennia schaueriana,6,0,1,103,93.650794,near_endemic,94.520548,near_endemic,Not endemic
Acanthaceae,Justicia aequilabris,117,15,16,12,18.994413,widespread,13.84083,widespread,Not in the AF
Acanthaceae,Thyrsacanthus ramosissimus,18,35,35,22,54.347826,widespread,52.666667,widespread,Not in the AF
Achariaceae,Carpotroche brasiliensis,0,1,1,118,100,pure_endemic,99.579832,near_endemic,Not endemic
Achariaceae,Kuhlmanniodendron apterocarpum,0,0,0,25,100,pure_endemic,100,pure_endemic,Endemic
Achariaceae,Kuhlmanniodendron macrocarpum,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Achariaceae,Lindackeria ovata,11,6,0,1,33.333333,widespread,6.666667,occasional,Not in the AF
Achatocarpaceae,Achatocarpus hasslerianus,0,0,0,1,100,pure_endemic,100,pure_endemic,NA
Amaranthaceae,Hebanthe eriantha,34,20,11,247,85.507246,widespread,85.160202,widespread,Not endemic
Anacardiaceae,Anacardium humile,294,31,13,37,14.744802,widespread,12.322946,widespread,Not endemic
Anacardiaceae,Anacardium occidentale,521,29,8,206,28.093023,widespread,28.169014,widespread,Not endemic
Anacardiaceae,Astronium concinnum,4,8,3,37,81.081081,widespread,82.795699,widespread,Not endemic
Anacardiaceae,Astronium fraxinifolium,144,12,4,12,6.043956,occasional,8.536585,occasional,Not endemic
Anacardiaceae,Astronium glaziovii,0,0,0,10,100,pure_endemic,100,pure_endemic,Not endemic
Anacardiaceae,Astronium graveolens,173,6,2,68,24.381625,widespread,28.163265,widespread,Not endemic
Anacardiaceae,Astronium nelson-rosae,10,0,0,1,9.090909,occasional,9.090909,widespread,Not endemic
Anacardiaceae,Cyrtocarpa caatingae,24,2,6,1,17.073171,widespread,13.793103,widespread,Not in the AF
Anacardiaceae,Lithraea brasiliensis,100,81,31,436,65.972222,widespread,76.266892,widespread,Not endemic
