Binomial	Presence	Origin	Seasonal	Compiler	Year	Citation	Dec_Lat	Dec_Long	SpatialRef	BasisOfRec	Event_Year	Source	Dist_comm	Island	Subspecies	Subpop	Tax_comm	Data_Sens	Sens_Comm	ID_No	collectID	recordNo	recordedBy	day	month	countryCode	locality	minElev	maxElev	verbaElev	verbatLat	verbatLong	verbatCoord	verbatSRS	coordUncert	georefVeri	georefVeri	identCert	typeStatus	subgenus	obsYrQual	obsCompNot	adminError	adminFixed	adminSrcFix	adminChang	id
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-9.3396244717551'	'-37.879045651328'	WGS84	PreservedSpecimen	2009	R.P.Lyra-Lemos;E.C.O.Chagas,M.C.S.Mota 11642	Alagoas Água Branca Morro do Craunã					N	N		MAC0036116	11642	R.P.Lyra-Lemos;E.C.O.Chagas,M.C.S.Mota	1	2	BRA	Alagoas Água Branca Morro do Craunã														1	GC					urn:occurrence:14203e5b-b73a-4d68-b671-1c1aca635ec9
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-9.7333333333333'	'-36.95'	WGS84	PreservedSpecimen	2010	A.Costa; 379	Alagoas Traipu Serra-da-Mão.					N	N		MAC0055488	379	A.Costa;	20	7	BRA	Alagoas Traipu Serra-da-Mão.														1	GC					urn:occurrence:11c3f703-0cd7-4587-9468-ace3ca114bb3
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.344417'	'-40.459652'	WGS84	PreservedSpecimen	2011	Melo, E. 10656	Bahia Maracás Fazenda Canabrava.					N	N		HUEFS178195	10656	Melo, E.	4	11	BRA	Bahia Maracás Fazenda Canabrava.														1	GC					urn:occurrence:79b8b152-0a0f-4706-89fa-24321c941c48
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-12.235278'	'-39.073611'	WGS84	PreservedSpecimen	2013	Melo, E. 11936	Bahia Feira de Santana Distrito Governador João Durval ou Ipuaçu. Inselbergue Monte Alto.					N	N		HUEFS197893	11936	Melo, E.	26	1	BRA	Bahia Feira de Santana Distrito Governador João Durval ou Ipuaçu. Inselbergue Monte Alto.														1	GC					urn:occurrence:894d941c-93d3-4852-ba48-872dae76b9db
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-12.716667'	'-40.116667'	WGS84	PreservedSpecimen	1980	Pinto, GCP 202	Bahia Iaçu Paraguaçu					N	N		ALCB19078	202	Pinto, GCP		12	BRA	Bahia Iaçu Paraguaçu														1	GC					urn:occurrence:cc244b4c-2215-428d-84eb-c1272d2d1d95
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.383333333333'	'-44.0775'	WGS84	PreservedSpecimen	2006	Pereira, BAS; 3752	Bahia São Félix do Coribe Folha Cartográfica SD-23-X-C Coordenada Coletada.					N	N		IBGE00079044	3752	Pereira, BAS;	21	10	BRA	Bahia São Félix do Coribe Folha Cartográfica SD-23-X-C Coordenada Coletada.														1	GC					urn:occurrence:0a2f17be-2cdc-44cd-b146-4ee521265907
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-14.069399833679'	'-42.474998474121'	WGS84	PreservedSpecimen	1993	M.L. Guedes; et al. 2789						N	N		CGMS5821	2789	M.L. Guedes; et al.	15	1	BRA															1	GC					urn:occurrence:ab870f64-1333-48b2-b73a-d608d09a7861
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-14.298333333333'	'-46.445555555556'	WGS84	PreservedSpecimen	2015	Aparecida da Silva, M;Alvarenga, D,Silva, GD 8431	Goiás Posse BR-020, km 183, distante 20 Km de Simolândia-GO. Folha Cartográfica SD-23-T-B Coordenada Coletada.					N	N		IBGE00080446	8431	Aparecida da Silva, M;Alvarenga, D,Silva, GD	25	10	BRA	Goiás Posse BR-020, km 183, distante 20 Km de Simolândia-GO. Folha Cartográfica SD-23-T-B Coordenada Coletada.														1	GC					urn:occurrence:72e97401-c8ca-441b-911f-689e3d271e6c
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.803333333333'	'-46.53'	WGS84	PreservedSpecimen	2001	Fonseca, ML;Oliveira, FCA,Mendonça, RC,Cardoso, E 2949	Goiás Guarani de Goiás Fazenda Forquilha. Poprietário Sr. Virgilato Francisco Neto. (Mata 3). Solo argiloso com afloramento de calcáreo. Relevo ondulado.					N	N		IBGE00053382	2949	Fonseca, ML;Oliveira, FCA,Mendonça, RC,Cardoso, E	18	10	BRA	Goiás Guarani de Goiás Fazenda Forquilha. Poprietário Sr. Virgilato Francisco Neto. (Mata 3). Solo argiloso com afloramento de calcáreo. Relevo ondulado.														1	GC					urn:occurrence:5f9e9f88-3f72-4ba6-aa00-b5fd785ec1c3
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.301944444444'	'-46.428055555556'	WGS84	PreservedSpecimen	2009	Pereira, BAS; 3658	Goiás Divinópolis de Goiás Vale do rio Paranã, tributário da bacia do Tocantins. Margim direita da estrada que liga Divinópolis ao povoado de Vazante.					N	N		SPF00203674	3658	Pereira, BAS;	30	11	BRA	Goiás Divinópolis de Goiás Vale do rio Paranã, tributário da bacia do Tocantins. Margim direita da estrada que liga Divinópolis ao povoado de Vazante.														1	GC					urn:occurrence:03c0c31d-8f6a-4c2d-8b09-1d01c4fbc39c
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.316111'	'-40.522778'	WGS84	PreservedSpecimen	2011	Melo, E. 10561	Bahia Maracás Estrada para Marcionílio Souza, ca. 12,6 km da cidade.					N	N		HUEFS178100	10561	Melo, E.	3	11	BRA	Bahia Maracás Estrada para Marcionílio Souza, ca. 12,6 km da cidade.														1	GC					urn:occurrence:6499ba9a-e910-4361-871b-2b8bcd9d0b6e
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-9.007242939'	'-43.68523563'	WGS84	PreservedSpecimen	2009	G. Martinelli 16255	Piauí Guaribas Parque Nacional da Serra das Confusões. Baixo do Canto verde.					N	N		NYBG1184151	16255	G. Martinelli	8	4	BRA	Piauí Guaribas Parque Nacional da Serra das Confusões. Baixo do Canto verde.														1	GC					urn:occurrence:69bfbbf8-bc7a-4469-ad9c-b6bbef0696fe
