hotspot.region,area_km2,n.pixel,BareAreas,Cropland,ForestCover,Grassland,Grassland_CampoLimpo,LichensMosses,Mosaic_Cropland_NaturalVeg,Mosaic_ForestCover_GrassLand,Mosaic_GrassLand_ForestCover,Mosaic_NaturalVeg_Cropland,OpenForestCover,Pastagem,Plantation,ShrubLand,ShrubLand_Caatinga?,ShrubLand_Cerrado,Shrubland_Restinga,SnowIce,Urban,Water
Atlantic Forest,1228964.289,13993855,0.062406,5.593498,25.169883,0.016636,14.165854,0,7.741741,7.986606,1.044266,6.378585,0.349818,19.19689,0,0,0,9.095356,0.421499,0,1.188057,1.588905
Caribbean Islands,228619.1186,2568426,0.013354,16.134317,39.383615,0.083826,12.373298,0,8.33125,2.150617,0.567585,6.730542,0,2.991988,0.022154,0,7.80E-05,0.136893,4.248945,0,1.790474,5.041064
Coastal Forests of Eastern Africa,290003.0658,3145575,0.397193,12.655174,22.530983,0.041233,2.980059,0,5.938088,1.641544,0.183591,1.662844,23.500378,7.576612,0.548103,0,0.021904,12.833266,5.884711,0,0.282937,1.32138
East Melanesian Islands,98974.63812,1053703,0.034545,0.057512,91.666531,0.018506,0.00019,0,1.359586,0.009395,0,0.852897,0,0.143019,0.357786,0,0,0.013192,0,0,0.118819,5.368021
Eastern Afromontane,1005650.603,10732484,2.103613,16.993698,20.028318,3.733423,2.250616,0,6.575412,2.587779,0.471904,7.570344,13.654332,7.650624,0.334638,0,0.205367,14.212143,0.334499,0,0.16614,1.127148
Guinean Forests of West Africa,617577.6915,6548164,0.006765,38.494561,24.413912,4.60E-05,0.025564,0,10.526966,0.440459,0.179256,5.593232,10.548025,6.346924,0,0,0.12993,1.324356,0.02813,0,1.164296,0.777577
Indo-Burma,2363248.759,26350327,0.009575,28.338274,31.351323,0.015286,0.502058,0,4.381092,11.871902,0.02156,7.019993,0.000262,3.50256,0.028493,6.86089,0.00088,2.949747,0.397061,0,0.97913,1.769914
Madagascar and the Indian Ocean Islands,598022.8432,6681910,0.576871,1.765677,21.997183,0.09858,0.031787,0,0.440982,18.508256,39.243614,8.205034,3.548357,3.753822,0,0,0.000644,0.148446,0.557909,0,0.125503,0.997335
Mesoamerica,1125307.174,12411002,0.129893,7.204326,59.079655,0.005253,2.72331,0,3.88021,1.990476,0.436927,10.623759,0,7.636603,0.001893,0,0,2.384151,0.132729,0,0.806583,2.964233
New Caledonia,18897.42128,213471,0,2.721213,64.232612,5.56188,0.002811,0,8.162233,0.111959,0.345246,7.126026,0,3.047721,0.113364,0.001874,0,3.319889,0,0,0.207991,5.045182
Philippines,295884.3336,3188174,0,7.368638,34.757199,0.528735,0.000157,0,25.00516,0.000502,0.002823,13.967525,0,14.488356,0.37476,0,0,0.001035,0,0,0.796569,2.708541
Sundaland,1494381.225,15764888,0,3.919951,52.422821,0.84222,0.003476,0,16.404094,0.005271,0.010682,16.986622,0,3.983676,2.458089,0.000127,0,0.099766,0,0,1.238797,1.624407
Tropical Andes,1536117.636,16782199,12.686401,1.889323,38.889874,10.266479,13.84489,0,2.010601,2.196554,0.850657,2.514557,0.124495,0.893512,0.000941,0,0,12.196453,0.118471,0.316693,0.318945,0.881154
Tumbes-Choco-Magdalena,273364.3854,2893899,4.014964,8.910712,47.100953,1.745569,5.14199,0,4.801792,1.214901,0.933343,6.293136,0.122499,5.098554,0.002453,0.000104,3.50E-05,9.01659,1.786517,0,0.397008,3.418882
Wallacea,336992.9375,3562822,0,3.864802,57.962396,1.782548,0.035056,0,13.55841,0.002217,0.022763,9.16501,0,6.153633,3.36472,0,0,0.000253,0,0,0.775481,3.312711
Western Ghats and Sri Lanka,188790.1285,2038999,0.000441,22.485249,26.146408,0.015105,0.695635,0,9.261211,17.579263,0.02256,9.566998,0,2.809859,2.358854,5.069939,0,0.81643,0.059833,0,0.837421,2.274793
Amazon,6477226.706,68673487,0.006841,0.182565,84.009405,0.005606,1.576292,0,4.992851,1.614875,0.363488,1.194142,0.029677,0.732125,0.000773,0,0,2.162227,1.366211,0,0.066666,1.696253
Central Africa,3366973.96,35553525,0.002726,2.311444,58.499071,0,0.768205,0,2.637227,2.263601,2.007635,0.950859,23.667842,2.812756,0.004121,0,0.016333,2.591709,0.579636,0,0.086444,0.80039
New Guinea,870378.472,9210574,0,0.826658,86.340775,0.811122,0.035687,0,4.303608,0.452589,0.831143,3.530898,0,0.632349,0.066109,0,0,9.80E-05,0,0,0.055501,2.113462
