order,species,autorship,categoria,obs
1,Astronium urundeuva ,(Allen) Engl.,Indeterminada (maybe Vulnerable),Urunday del noroeste. Arbol de gran porte del bosque de transici6n de Jujuy y Salta. Tal vez vulnerable.
2,Schinopsis balansae ,Engler,Endangered,Arbol caracteristico del Chaco Oriental de Corrientes. Las poblaciones de las dos ultimas regiones mencionadas se pueden considerar como vulnerables.
3,Schinopsis haenkeana ,Engler,Indeterminada (maybe Vulnerable),Quebracho del cerro. Arbol caracterfstico del Chaco Serrano desde el noroeste hasta San Juan San Luis y Cordoba. Podna tratarse de una especie vulnerable con activa regresion en Cordoba.
4,Schinopsis lorentzii ,Hieron.,Indeterminada (maybe LC),(= Schinopsis quebracho-colorado (Schletch. et Meryer) Bark.) Arbol caracterfstico del Chaco Occidental desde Salta y Formosa hasta el este de Catamarca norte de Cordoba y noroeste de Santa Fe. Tal vez fuera de peligro y solo local mente En regresion. En Cordoba se 10 considera en activa regresion
5,Schinus patagonicus ,(Phil.) Johnst.,Indeterminada,Laura. Arbusto de los bosques andinopatagonicos en la Argentina des de Neuquen hasta Chubut.
6,Aspidosperma australe ,Muell.,Indeterminada,Guatambti saiyu Arbol de las selvas de Corrientes y Misiones.
7,Aspidosperma polyneuron ,Mull. Arg.,Endangered,Ibira-ro-rru Peroba rosa. Arbol alto escaso solo presente en la Argentina en el norte de Misiones.
8,Araucaria angustifolia ,Bert.,Endangered,Pino Brasil Curiy. Arbol de gran porte cuyas poblaciones silvestres han sido drasticamente reducidas en el pais en las ultimas decadas Quedan pequefios relictos en el nordeste de Misiones. En 1960 los bosques espontaneos cubrfan 2lO.000 hectareas en la provincia hoy los rescatables no alcanzan las lOOO ha.
9,Araucaria araucana ,(Mol.) Koch.,Vulnerable,Araucaria. Arbol de gran porte restringido al oeste de Neuquen. A pesar de que la especie tiene un alto poder de recuperaci6n su distribuci6n en la Argentina esta solo parcial mente protegida en el Parque Nacional Lanfn y las Reservas Provinciales Copahue-Caviahue Buta-Mahuida y Chafiy 10 que hace aconsejable su permanencia en este listado
10,Alnus acuminata ,H.B. & K.,Endangered,Aliso. Arbol que forma bosques montanos puros en el noroeste. Seguramente vulnerable.
