order,family,species,categoria
1,ANNONACEAE,Annona amambayensis,amenazada
2,ARECACEAE,Acrocomia hassleri,amenazada
3,ARECACEAE,Butia paraguayensis,amenazada
4,ASTERACEAE,Achyrocline alata,amenazada
5,ASTERACEAE,Baccharis cylindrica,amenazada
6,ASTERACEAE,Baccharis microcephala,amenazada
7,ASTERACEAE,Baccharis trimera,amenazada
8,ASTERACEAE,Cyclolepis genistoides,amenazada
9,BIGNONIACEAE,Tabebuia alba,amenazada
10,BROMELIACEAE,Acanthostachys strobilacea,amenazada
11,BROMELIACEAE,Tillandsia diaguitensis,amenazada
12,BROMELIACEAE,Vrisea friburgensis,amenazada
13,BROMELIACEAE,Vrisea psittacina,amenazada
14,CACTACEAE,Frailea grahliana,amenazada
15,CACTACEAE,Gymnocalyctium anisitsii,amenazada
16,CACTACEAE,Gymnocalycium denudatum,amenazada
17,CACTACEAE,Gymnocalycium marsoneri,amenazada
18,CACTACEAE,Gumnocalycium megatae,amenazada
19,CACTACEAE,Parodia ottonis,amenazada
20,CACTACEAE,Parodia shumanniana,amenazada
21,CACTACEAE,Pilosocereus machrisii,amenazada
22,COCHLOSPERMACEAE,Cochlospermum tetraporum,amenazada
23,EUPHORBIACEAE,Jatropha dissecta,amenazada
24,FABACEAE,Apuleia leiocarpa,amenazada
25,FABACEAE,Arachis batizocoi,amenazada
26,FABACEAE,Arachis cardenasii,amenazada
27,FABACEAE,Arachis duranensis,amenazada
28,FABACEAE,Prosopis alba,amenazada
29,FABACEAE,Prosopis nigra,amenazada
30,MELIACEAE,Trichilia stellato-tomentosa,amenazada
31,MYRTACEAE,Eugenia puriflora,amenazada
32,NYMPHAEAECEAE,Victoria cruziana,amenazada
33,ORCHIDACEAE,Erythrodes kuczynskii,amenazada
34,ORCHIDACEAE,Malaxis parthonii,amenazada
35,ORCHIDACEAE,Oncidium paranaense,amenazada
36,ORCHIDACEAE,Pleurothallis saundersiana,amenazada
37,ORCHIDACEAE,Stenorrhynchos argentinus,amenazada
38,ORCHIDACEAE,Vanilla rojasiana,amenazada
39,ORCHIDACEAE,Warningia eugeni,amenazada
40,ORCHIDACEAE,Warrea warreana,amenazada
41,ANACARDIACEA,Astronium balansae,en_peligro
42,APOCYNACEA,Aspidosperma polyneuron,en_peligro
43,APOCYNACEA,Peltastes stemmadeniiflorus,en_peligro
44,APOCYNACEA,Rhodocalyx rotundifolius,en_peligro
45,APOCYNACEA,Rauvolfia sellowii,en_peligro
46,ARAUCARIACEAE,Araucaria angustifolia,en_peligro
47,ARECACEAE,Attalea guaranitica,en_peligro
48,ARECACEAE,Bactris glaucescens,en_peligro
49,ARECACEAE,Butia compicola,en_peligro
50,ARECACEAE,Butia campylospatha,en_peligro
51,ARECACEAE,Butia exertispadix,en_peligro
52,ARECACEAE,Butia marmorii,en_peligro
53,ARECACEAE,Euterpe edulis,en_peligro
54,ARECACEAE,Trithrinax brasiliensis,en_peligro
55,ASTERACEAE,Baccharis isabelae,en_peligro
56,ASTERACEAE,Stevia rebaudiana,en_peligro
57,BEGONIACEAE,Begonia halansea,en_peligro
58,BEGONIACEAE,Begonia fiebrigii,en_peligro
59,BEGONIACEAE,Begonia obovatistipulata,en_peligro
60,BEGONIACEAE,Begonia subvillosa,en_peligro
