order,hotspot/region,continent,climate_zone,domain,biome,main_vegetation_Sloan_etal_2014,main_vegetation_perc_Sloan_etal_2014,secondary_vegetation_Sloan_etal_2014,secondary_vegetation_perc_Sloan_etal_2014,terciary_vegetation_Sloan_etal_2014,terciary_vegetation_perc_Sloan_etal_2014,tree_species,plant_species_Myers_etal_2000,Endemic_plants_Myers_etal_2000,Endemic_plants_perc_Myers_etal_2000,number_of_endemic_plants_Habel_etal_2019,number_of_endemic_plants_perc_Habel_etal_2019,Endemic_plants_perc_of_global_plants_Myers_etal_2000,area_protected_Myers_etal_2000,perc_protected_area_Habel_etal_2019,area_protected_Myers_etal_2000,total_area_km2_Sloan_etal_2014,total_area_km2_Habel_etal_2019,original_extent_of_primary_vegetation_km2_Myers_etal_2000,Primary_Vegetation_Mittermeier_etal_1999_Myers_etal_2000,Primary_Vegetation_perc_Mittermeier_etal_1999_Myers_etal_2000,Primary_Habitat_Mittermeier_etal_2004,Primary_Habitat_perc_Mittermeier_etal_2004,Undisturbed_Areas_Hannah_etal_1995,Undisturbed_Areas_perc_Hannah_etal_1995,Frontier_Forests_Byrant_etal_1997,Frontier_Forests_perc_Byrant_etal_1997,Wild_Areas_Sanderson_etal_2002,Wild_Areas_perc_Sanderson_etal_2002,Undisturbed_Habitat_Hoekstra_etal_2005,Undisturbed_Habitat_perc_Hoekstra_etal_2005,Relatively_Natural_Forest_Cover_Schmitt_etal_2009,Relatively_Natural_Forest_Cover_Schmitt_etal_2009,Natural_Intact_Vegetation_Sloan_etal_2014,Natural_Intact_Vegetation_perc_Sloan_etal_2014,current_remaining_vegetation_perc_Habel_etal_2019,observed_threatened_or_extinct_endemics_Brooks_etal_2002,estimated_threatened_or_extinct_endemic_plants_Brooks_etal_2002,observed_percentage_threat_all_criteria,observed_percentage_threat_endemic_all_criteria,observed_percentage_threat_criteria_A,observed_percentage_threat_endemic_criteria_A,observed_percentage_threat_criteria_B,observed_percentage_threat_endemic_criteria_B,threat_paper
1,Atlantic Forest,South America,Subtropics,tropical forest,forest,Tropical and Subtropical Moist Broadleaf Forests,96.9,,,,,4900 (Lima et al. 2020),20000,"8,000",40,8000,40,2.7,"33,084",8.93,35.9,"1,236,664",1440960,"1,227,600","91,930",7.5,"99,944",8,"245,520",20,"19,672",1.6,"5,192",0.42,"489,848",39.6,"246,000",19.9,"42,674",3.5,3.5,200,3813.5,66.7,84.5,60.2,59.4,15.6,24.9,yes
2,California Floristic Province,North America,Temperate,temperate forest,forest/woodland,"Mediterranean Forests, Woodlands, and Scrub",41,Temperate Coniferous Forests,39.6,"Temperate Grasslands, Savannas and Srublands",18.7,,4426,"2,125",48,2124,48,0.7,"31,443",14.15,39.3,"294,463",471100,"324,000","80,000",24.7,"73,451",25,"61,560",19,0,NA,"57,068",19.4,"237,206",80.5,"155,000",52.6,"102,572",34.8,34.8,1031,626.9,,,,,,,
3,Cape Floristic Region,Africa,Temperate,temperate woodland,woodland,"Mediterranean Forests, Woodlands, and Scrub",100,,,,,,8200,"5,682",75.7,6210,76,1.9,"14,060",47.74,78.1,"78,731",112450,"74,000","18,000",24.3,"15,711",20,"13,495",17.1,0,NA,"18,495",23.5,"67,252",85.4,"15,000",19.1,"25,901",32.9,32.9,1062,1692.6,,,,,,,
4,Caribbean Islands,South America,Tropics,tropical forest,forest,Tropical and Subtropical Moist Broadleaf/Coniferous Forests,48.3,Tropical and Subtropical Dry Broadleaf Forests,37.2,,,,12000,"7,000",54.6,6550,55,2.3,"29,840",18.02,100,"230,073",260671,"263,500","29,840",11.3,"22,995",10,"31,624",12,0,NA,"4,567",2,"114,692",49.8,"45,000",19.6,"13,295",5.8,5.8,2017,2941.5,,,,,,,yes
5,Caucasus,Asia,Temperate,temperate forest/temperate shrublands,forest/shrubland,Temperate Broadleaf and Mixed Forests,49.9,"Temperate Grasslands, Savannas and Srublands",35.9,Deserts and Xeric Shrublands,11.9,,6300,"1,600",25.4,1600,25,0.5,"14,050",8.08,28.1,"533,852",983006,"500,000","50,000",10,"143,818",27,NA,NA,0,NA,"6,335",1.2,"281,170",52.7,"90,000",16.7,"43,852",8.2,8.2,115,700.3,,,,,,,
6,Cerrado,South America,Tropics,tropical shrubland,shrubland,"Tropical and Subtropical Grasslands, Savannas and Srublands",94.3,,,,,,10000,"4,400",44,4400,44,1.5,"22,000",11.28,6.2,"2,036,548",2180700,"1,783,200","356,630",20,"432,814",21.3,NA,NA,2675,0.1,"415,348",20.4,"982,172",48.2,"366,000",18,"403,182",19.8,19.8,15,1457.5,,,,,,,
7,Chilean Winter Rainfall-Valdivian Forests,South America,Temperate,temperate forest,forest/woodland,Temperate Broadleaf and Mixed Forests,62.3,"Mediterranean Forests, Woodlands, and Scrub",37.4,,,,3429,"1,605",57.1,1957,57,0.5,"9,167",20.39,10.2,"398,035",641913,"300,000","90,000",30,"119,143",30,NA,NA,"63,088",15.8,"101,036",25.4,"348,134",87.5,"134,000",33.7,"136,185",34.2,34.2,173,417.2,,,,,,,
8,Coastal Forests of Eastern Africa,Africa,Tropics,tropical forest,forest,Tropical and Subtropical Moist Broadleaf Forests,87.7,Flooded Grasslands and Savannas,6.7,,,,4000,"1,500",43.8,1750,44,0.5,"2,000",20.53,100,"291,905",308220,"30,000",2000,6.7,"29,125",10,NA,NA,0,NA,"26,614",9.1,"256,345",87.8,"188,000",64.4,"11,142",3.8,3.8,193,736.8,,,,,,,yes
9,East Melanesian Islands,Asia,Tropics,tropical forest,forest,Tropical and Subtropical Moist Broadleaf Forests,100,,,,,,NA,NA,NA,3000,NA,NA,NA,1.2,NA,"99,630",101227,NA,NA,NA,"29,815",30,NA,NA,"20,507",20.6,"1,505",1.5,"91,231",91.6,"72,000",72.3,"10,665",10.7,10.7,NA,NA,,,,,,,
10,Eastern Afromontane,Africa,Subtropics,tropical forest/montane shrublands,forest/shrubland,Tropical and Subtropical Moist Broadleaf Forests,49.1,Montane Grasslands and Shrublands,31.2,"Tropical and Subtropical Grasslands, Savannas and Srublands",10.9,,NA,NA,NA,2356,NA,NA,NA,16.31,NA,"1,020,095",1043190,NA,2000,6.7,"106,870",10.5,NA,NA,"32,726",3.2,"28,710",2.8,"569,417",55.8,"295,000",28.9,"92,406",9,9,NA,NA,,,,,,,yes
11,Forests of Eastern Australia,Oceania,Subtropics,temperate forest/tropical forest,forest,Temperate Broadleaf and Mixed Forests,87.1,Tropical and Subtropical Moist Broadleaf Forests,12.8,,,,NA,NA,NA,2144,NA,NA,NA,23.01,NA,"255,328",330154,NA,NA,NA,NA,NA,NA,NA,"10,573",4.1,"63,469",24.9,"241,065",94.4,NA,NA,"89,020",34.8,34.8,NA,NA,,,,,,,
12,Guinean Forests of West Africa,Africa,Tropics,tropical forest,forest,Tropical and Subtropical Moist Broadleaf Forests,100,,,,,,9000,"2,250",20,1800,20,0.8,"20,324",13.44,16.1,"621,706",626398,"1,265,000","126,500",10,"93,047",15,"75,900",6,"9,299",1.5,"4,040",0.6,"236,106",40,"233,000",37.5,"65,971",10.6,10.6,224,984.7,,,,,,,yes
13,Himalaya,Asia,Temperate,montane shrublands/temperate forest,forest/shrubland,Montane Grasslands and Shrublands,32.5,Temperate Broadleaf and Mixed Forests,20.2,Temperate Coniferous Forests,15.3,,NA,NA,NA,3160,NA,NA,NA,14.02,NA,"743,371",980399,NA,See Indo-Burmab♦,NA,"185,427",25,See Indo-Burmab♦,NA,"21,293",2.9,"153,219",20.6,"516,295",69.4,"211,000",28.4,"130,846",17.6,17.6,NA,NA,,,,,,,
14,Horn of Africa,Africa,Subtropics,tropical shrubland,shrubland,"Tropical and Subtropical Grasslands, Savannas and Srublands",63.4,Deserts and Xeric Shrublands,36.5,,,,NA,NA,NA,2750,NA,NA,NA,8.41,NA,"1,663,112",1712970,NA,NA,NA,"82,968",5,"572,017",34.4,0,NA,"321,266",19.3,"1,538,976",92.5,"2,000",0.12,"395,181",23.8,23.8,NA,NA,,,,,,,
15,Indo-Burma,Asia,Tropics,tropical forest,forest,Tropical and Subtropical Moist Broadleaf Forests,75.6,Tropical and Subtropical Dry Broadleaf Forests,21.7,,,,13500,"7,000",51.9,7000,52,2.3,"100,000",9.36,100,"2,378,318",2655060,"2,060,000","100,000",4.9,"118,653",5,"144,200",7,"91,255",3.8,"85,365",3.6,"891,062",37.5,"742,000",31.2,"207,312",8.7,8.7,837,3706.6,,,,,,,yes
16,Irano-Anatolian,Asia,Temperate,temperate forest/temperate shrublands,forest/shrubland,Temperate Broadleaf and Mixed Forests,64.5,"Temperate Grasslands, Savannas and Srublands",21.5,Temperate Coniferous Forests,7,,NA,NA,NA,2500,NA,NA,NA,4.48,NA,"901,790",1384930,NA,NA,NA,"134,966",15,NA,NA,0,NA,"11,911",1.3,"643,509",71.4,2000,0.22,"32,369",3.6,3.6,NA,NA,,,,,,,
17,Japan,Asia,Subtropics,temperate forest,forest,Temperate Broadleaf and Mixed Forests,81.7,Temperate Coniferous Forests,15.2,,,577 (Global Tree Search 1.5),NA,NA,NA,1950,NA,NA,NA,20.79,NA,"374,328",597278,NA,NA,NA,"74,698",20,NA,NA,0,NA,674,0.2,"258,859",69.1,"244,000",65.2,"30,688",8.2,8.2,NA,NA,,,,,,,
18,Madagascar and the Indian Ocean Islands,Africa,Tropics,tropical forest,forest,Tropical and Subtropical Moist Broadleaf Forests,53,Tropical and Subtropical Dry Broadleaf Forests,25.3,Deserts and Xeric Shrublands,20.5,3138 (Global Tree Search 1.5),12000,"9,704",96.7,11600,97,3.2,"11,548",10.49,19.6,"601,830",674509,"594,150","59,038",9.9,"60,046",10,"89,133",15,0,NA,"60,701",10.1,"465,811",77.4,"129,000",21.4,"26,464",4.4,4.4,705,4260.7,,,,,,,yes
19,Madrean Pine-Oak Woodlands,North America,Temperate,temperate forest,forest,Tropical and Subtropical Coniferous Forests,98.5,,,,,,NA,NA,NA,3975,NA,NA,NA,15.3,NA,"462,300",551819,NA,NAc,NA,"92,253",20,NA,NA,"34,541",7.5,"37,975",8.2,"405,906",87.8,"281,000",60.8,"83,600",18.1,18.1,NA,NA,,,,,,,
20,Maputaland-Pondoland-Albany,Africa,Subtropics,tropical shrubland,shrubland,Montane Grasslands and Shrublands,53.5,Tropical and Subtropical Moist Broadleaf Forests,17.8,"Tropical and Subtropical Grasslands, Savannas and Srublands",14.7,,NA,NA,NA,1900,NA,NA,NA,10.48,NA,"273,018",360369,NA,NA,NA,"67,163",24.6,NA,NA,0,NA,"33,859",12.4,"234,514",85.9,"124,000",45.4,"17,586",6.4,6.4,NA,NA,,,,,,,
21,Mediterranean Basin,Europe,Subtropics,temperate woodland,woodland,"Mediterranean Forests, Woodlands, and Scrub",97.6,,,,,,25000,"13,000",46.8,11700,47,4.3,"42,123",19.35,38.3,"2,089,974",3319280,"2,362,000","110,000",4.7,"98,009",4.7,"118,100",5,0,NA,"59,777",2.9,"1,261,198",60.3,"265,000",12.7,"92,283",4.4,4.4,1932,6947,,,,,,,
22,Mesoamerica,North America,Subtropics,tropical forest,forest,Tropical and Subtropical Moist Broadleaf Forests,49.4,Tropical and Subtropical Dry Broadleaf Forests,34.3,Tropical and Subtropical Coniferous Forests,11.9,,24000,"5,000",12.3,2941,12,1.7,"138,437",17.71,59.9,"1,132,551",1236450,"1,155,000","231,000",20,"226,004",20,"67,341",50.8,"126,488",11.2,"40,367",3.6,"609,657",53.8,"595,000",52.4,"159,980",14.1,14.1,951,1656.3,,,,,,,yes
23,Mountains of Central Asia,Asia,Temperate,temperate shrubland,shrubland,"Temperate Grasslands, Savannas and Srublands",49.1,Montane Grasslands and Shrublands,46,,,,NA,NA,NA,1500,NA,NA,NA,8.42,NA,"865,299",1538860,NA,NA,NA,"172,672",20,"370,595",42.8,0,NA,"91,952",10.6,"716,234",82.8,"11,000",1.3,"50,560",5.8,5.8,NA,NA,,,,,,,
24,Mountains of Southwest China,Asia,Temperate,temperate forest,forest,Temperate Coniferous Forests,100,,,,,,12000,"3,500",29.2,3500,29,1.2,"16,562",10.32,25.9,"263,034",346608,"800,000","64,000",8,"20,996",8,NA,NA,"26,859",10.2,"38,929",14.8,"246,809",93.8,"125,000",47.5,"55,920",21.3,21.3,30,1638.8,,,,,,,
25,New Caledonia,Oceania,Tropics,tropical forest,forest,Tropical and Subtropical Moist Broadleaf Forests,73.5,Tropical and Subtropical Dry Broadleaf Forests,22.7,,,1431 (Global Tree Search 1.5),3332,"2,551",73,2432,73,0.9,526.7,4.33,10.1,"19,015",21779,"18,600",5200,28,5122,27,0,NA,0,NA,74,0.4,"18,354",96.5,6000,31.5,"3,333",17.5,17.5,486,695.3,,,,,,,yes
26,New Zealand,Oceania,Temperate,temperate forest/temperate shrublands,forest/shrubland,Temperate Broadleaf and Mixed Forests,62,"Temperate Grasslands, Savannas and Srublands",19.3,Montane Grasslands and Shrublands,14.8,217 (Global Tree Search 1.5),2300,"1,865",81.1,1865,81,0.6,"52,068",33.38,87.7,"270,803",488327,"270,500","59,400",22,"59,443",22,"73,044",27,"20,790",7.7,"77,465",28.6,"189,902",70.1,"76,000",28.1,"81,803",30.2,30.2,203,587.7,,,,,,,
27,Philippines,Oceania,Tropics,tropical forest,forest,Tropical and Subtropical Moist Broadleaf Forests,96.4,,,,,2420 (Global Tree Search 1.5),7620,"5,832",79.9,6091,80,1.9,"3,910",14.92,43.3,"297,846",310103,"300,800",9023,3,"20,803",7,"9,023",3,0,NA,"1,750",0.6,"94,079",31.6,"83,000",27.9,"23,730",8,8,327,3404.8,,,,,,,yes
28,Polynesia-Micronesia,Oceania,Tropics,tropical forest,forest,Tropical and Subtropical Moist Broadleaf Forests,58.9,Tropical and Subtropical Dry Broadleaf Forests,30.9,"Tropical and Subtropical Grasslands, Savannas and Srublands",7.1,,6557,"3,334",46.9,3074,47,1.1,"4,913",10.03,49,"47,361",51969,"46,000","10,024",21.8,"10,015",21,NA,NA,0,NA,"3,101",6.6,"43,118",91,6000,12.7,"2,481",5.2,5.2,926,1055.9,,,,,,,
29,Southwest Australia,Oceania,Subtropics,temperate woodland,woodland,"Mediterranean Forests, Woodlands, and Scrub",100,,,,,,5469,"4,331",53.9,2948,54,1.4,"33,336",17,100,"357,516",492455,"309,850","33,336",10.8,"107,015",30,"180,302",50.4,0,NA,"126,692",35.4,"215,034",60.1,"73,000",20.4,"109,451",30.6,30.6,450,1848.2,,,,,,,
30,Succulent Karoo,Africa,Temperate,temperate shrubland,shrubland,Deserts and Xeric Shrublands,100,,,,,,4849,"1,940",50.3,2439,50,0.6,"2,352",30.36,7.8,"102,922",138266,"112,000","30,000",26.8,"29,780",29,NA,NA,0,NA,"48,792",47.4,"102,708",99.8,100,0.1,"6,690",6.5,6.5,674,544.4,,,,,,,
