status,original.search,search.str,notes,family,taxon.status
replace,Myracrodruon balansae,Astronium balansae,replaced synonym,Anacardiaceae,accepted
replace,Myracrodruon macrocalyx,Astronium concinnum,replaced synonym,Anacardiaceae,accepted
replace,Myracrodruon urundeuva,Astronium urundeuva,replaced synonym,Anacardiaceae,accepted
replace,Annona neosericea,Annona dolabripetala,replaced synonym,Annonaceae,accepted
replace,Annona ubatubensis,Annona dolabripetala,replaced synonym,Annonaceae,accepted
replace,Annona maritima,Annona emarginata,replaced synonym,Annonaceae,accepted
replace,Annona neosalicifolia,Annona emarginata,replaced synonym,Annonaceae,accepted
replace,Annona rugulosa,Annona emarginata,replaced synonym,Annonaceae,accepted
replace,Malouetia mexiae,Malouetia lata,replaced synonym,Apocynaceae,synonym
replace,Ilex congonhinha,Ilex buxifolia,replaced synonym,Aquifoliaceae,accepted
replace,Ilex pseudovaccinium,Ilex scutiiformis,replaced synonym,Aquifoliaceae,accepted
replace,Philodendron brasiliense,Thaumatophyllum brasiliense,replaced synonym,Araceae,accepted
replace,Schefflera varisiana,Crepinella varisiana,replaced synonym,Araliaceae,accepted
replace,Schefflera succinea,Didymopanax acuminatus,replaced synonym,Araliaceae,accepted
replace,Schefflera angustissima,Didymopanax angustissimus,replaced synonym,Araliaceae,accepted
replace,Schefflera aurata,Didymopanax auratus,replaced synonym,Araliaceae,accepted
replace,Schefflera calva,Didymopanax calvus,replaced synonym,Araliaceae,accepted
replace,Schefflera capixaba,Didymopanax capixabus,replaced synonym,Araliaceae,accepted
replace,Schefflera grandigemma,Didymopanax grandigemmus,replaced synonym,Araliaceae,accepted
replace,Schefflera kollmannii,Didymopanax kollmannii,replaced synonym,Araliaceae,accepted
replace,Schefflera longipetiolata,Didymopanax longipetiolatus,replaced synonym,Araliaceae,accepted
replace,Schefflera macrocarpa,Didymopanax macrocarpus,replaced synonym,Araliaceae,accepted
replace,Schefflera morototoni,Didymopanax morototoni,replaced synonym,Araliaceae,accepted
replace,Schefflera racemifera,Didymopanax racemiferus,replaced synonym,Araliaceae,accepted
replace,Schefflera ruschiana,Didymopanax ruschianus,replaced synonym,Araliaceae,accepted
replace,Schefflera selloi,Didymopanax selloi,replaced synonym,Araliaceae,accepted
replace,Schefflera villosissima,Didymopanax villosissimus,replaced synonym,Araliaceae,accepted
replace,Schefflera vinosa,Didymopanax vinosus,replaced synonym,Araliaceae,accepted
replace,Attalea apoda,Attalea exigua,replaced synonym,Arecaceae,accepted
replace,Geonoma weddelliana,Geonoma brevispatha,replaced synonym,Arecaceae,accepted
replace,Pseudobaccharis inamoena,Baccharis rufidula,replaced synonym,Asteraceae,synonym
replace,Lychnophora reticulata,Eremanthus reticulatus,replaced synonym,Asteraceae,accepted
replace,Lychnophora syncephala,Eremanthus syncephalus,replaced synonym,Asteraceae,accepted
replace,Lychnophora sellovii,Lychnocephalus sellovii,replaced synonym,Asteraceae,accepted
replace,Lychnophora sellowii,Lychnocephalus sellovii,was misspelled|replaced synonym,Asteraceae,accepted
replace,Lychnophora tomentosa,Lychnocephalus tomentosus,replaced synonym,Asteraceae,accepted
replace,Piptocarpha regnelii,Piptocarpha regnellii,was misspelled,Asteraceae,accepted
replace,Wedelia villosa,Wedelia goyazensis,replaced synonym,Asteraceae,accepted
replace,Handroanthus pedicellatus,Handroanthus chrysotrichus,replaced synonym,Bignoniaceae,accepted
replace,Tournefortia bicolor,Heliotropium funkiae,replaced synonym,Boraginaceae,accepted
replace,Brasiliopuntia schulzii,Brasiliopuntia brasiliensis,replaced synonym,Cactaceae,accepted
