"species.correct","N","dbh.crit","p","p.est","str.match"
"Abarema brachystachya",6,NA,NA,"0.5122","unknown_small_tree"
"Abarema cochliacarpos",1,12.5,1,"0.4498","early_secondary_large_tree"
"Abarema filamentosa",5,12.5,0.4,"0.4498","early_secondary_large_tree"
"Abarema langsdorffii",127,12.5,0.464566929133858,"0.4498","early_secondary_large_tree"
"Acnistus arborescens",2,7,0.5,"0.5998","early_secondary_small_tree"
"Actinostemon appendiculatus",7,NA,NA,"0.5122","unknown_small_tree"
"Actinostemon concepcionis",535,8,0.0261682242990654,"0.4927","late_secondary_small_tree"
"Actinostemon concolor",383,8,0.16710182767624,"0.4927","late_secondary_small_tree"
"Actinostemon klotzschii",4,8,0,"0.4927","late_secondary_small_tree"
"Actinostemon verticillatus",45,15,0,"0.3047","late_secondary_large_tree"
"Adenocalymma hirtum",1,NA,NA,NA,"NA_NA"
"Adenocalymma salmoneum",1,NA,NA,NA,"NA_NA"
"Adenocalymma validum",1,NA,NA,NA,"NA_NA"
"Aegiphila brachiata",6,7,0.666666666666667,"0.5998","early_secondary_small_tree"
"Aegiphila integrifolia",29,10,0.413793103448276,"0.5842","pioneer_large_tree"
"Agonandra excelsa",49,15,0.326530612244898,"0.3047","late_secondary_large_tree"
"Aiouea acarodomatifera",44,15,0.477272727272727,"0.3047","late_secondary_large_tree"
"Aiouea hirsuta",1,8,1,"0.4927","late_secondary_small_tree"
"Aiouea saligna",51,15,0.490196078431373,"0.3047","late_secondary_large_tree"
"Albizia niopoides",19,12.5,0.842105263157895,"0.4498","early_secondary_large_tree"
"Albizia pedicellaris",179,15,0.70391061452514,"0.3047","late_secondary_large_tree"
"Albizia polycephala",19,12.5,0.736842105263158,"0.4498","early_secondary_large_tree"
"Alchornea glandulosa",179,10,0.675977653631285,"0.5842","pioneer_large_tree"
"Alchornea triplinervia",785,12.5,0.656050955414013,"0.4498","early_secondary_large_tree"
"Algernonia leandrii",2,8,1,"0.4927","late_secondary_small_tree"
"Allagoptera caudescens",2,7,1,"0.5998","early_secondary_small_tree"
"Allophylus edulis",18,12.5,0.166666666666667,"0.4498","early_secondary_large_tree"
"Allophylus membranifolius",1,7,1,"0.5998","early_secondary_small_tree"
"Allophylus petiolulatus",49,15,0.0408163265306122,"0.3047","late_secondary_large_tree"
"Allophylus puberulus",1,12.5,0,"0.4498","early_secondary_large_tree"
"Aloysia virgata",5,6,1,"0.7213","pioneer_small_tree"
"Alseis floribunda",162,12.5,0.45679012345679,"0.4498","early_secondary_large_tree"
"Alsophila setosa",28,20,0,"0.2533","climax_large_tree"
"Alsophila sternbergii",445,15,0.049438202247191,"0.3047","late_secondary_large_tree"
"Amaioua guianensis",282,12.5,0.333333333333333,"0.4498","early_secondary_large_tree"
"Amaioua intermedia",1098,12.5,0.309653916211293,"0.4498","early_secondary_large_tree"
"Amanoa guianensis",17,12.5,0.411764705882353,"0.4498","early_secondary_large_tree"
"Amanoa oblongifolia",1,NA,NA,NA,"NA_NA"
"Ampelocera glabra",86,12.5,0.430232558139535,"0.4498","early_secondary_large_tree"
"Amphilophium bauhinioides",2,NA,NA,NA,"NA_NA"
"Amphirrhox longifolia",1,8,1,"0.4927","late_secondary_small_tree"
"Anaxagorea dolichocarpa",177,8,0.395480225988701,"0.4927","late_secondary_small_tree"
"Andira anthelmia",688,12.5,0.303779069767442,"0.4498","early_secondary_large_tree"
"Andira fraxinifolia",50,12.5,0.14,"0.4498","early_secondary_large_tree"
"Andira legalis",2,12.5,0.5,"0.4498","early_secondary_large_tree"
"Andira lewisii",2,NA,NA,NA,"NA_NA"
"Andira nitida",4,12.5,0.5,"0.4498","early_secondary_large_tree"
"Andradea floribunda",2,12.5,1,"0.4498","early_secondary_large_tree"
"Aniba firmula",119,15,0.378151260504202,"0.3047","late_secondary_large_tree"
