"internal_taxon_id","language","name","primary","source.info"
"sp5","Portuguese","Barbatimão","false","Brazilian_Flora_Online_v.393.285"
"sp5","Portuguese","Bordão-De-Velho","false","Brazilian_Flora_Online_v.393.285"
"sp6","Portuguese","Ingá","false","IUCN_Red_List_v.2022-2"
"sp6","Portuguese","Ingá-silvestre","false","IUCN_Red_List_v.2022-2"
"sp6","Portuguese","Olho-de-pombo","false","IUCN_Red_List_v.2022-2"
"sp6","Portuguese","Angelim-arruda","false","IUCN_Red_List_v.2022-2"
"sp8","South American Indian (Other)","Shimbillo","false","IUCN_Red_List_v.2022-2"
"sp9","Portuguese","Farinha-seca","false","IUCN_Red_List_v.2022-2"
"sp9","Portuguese","Pau-gambá","false","IUCN_Red_List_v.2022-2"
"sp9","Portuguese","Olho-de-pombo","false","IUCN_Red_List_v.2022-2"
"sp13","Portuguese","Marmeleiro","false","Brazilian_Flora_Online_v.393.285"
"sp16","Portuguese","Tapa-Buraco","false","Brazilian_Flora_Online_v.393.285"
"sp19","Portuguese","Maria Preta","false","Brazilian_Flora_Online_v.393.285"
"sp28","Portuguese","Mata-Cacau","false","Brazilian_Flora_Online_v.393.285"
"sp29","Portuguese","Sombra-De-Touro","false","Brazilian_Flora_Online_v.393.285"
"sp31","Portuguese","Cabo De Lança","false","Brazilian_Flora_Online_v.393.285"
"sp32","Portuguese","Lombo-Preto","false","Brazilian_Flora_Online_v.393.285"
"sp33","Portuguese","Murta","false","Brazilian_Flora_Online_v.393.285"
"sp33","Portuguese","Osso-De-Burro","false","Brazilian_Flora_Online_v.393.285"
"sp38","Portuguese","Macaúba","false","Brazilian_Flora_Online_v.393.285"
"sp38","Portuguese","Mucajá","false","Brazilian_Flora_Online_v.393.285"
"sp38","Portuguese","Coco-Babão","false","Brazilian_Flora_Online_v.393.285"
"sp38","Spanish; Castilian","Corozo","false","IUCN_Red_List_v.2022-2"
"sp38","Spanish; Castilian","Coyol","false","IUCN_Red_List_v.2022-2"
"sp38","Spanish; Castilian","Tamaco","false","IUCN_Red_List_v.2022-2"
"sp38","Spanish; Castilian","Corojo","false","IUCN_Red_List_v.2022-2"
"sp39","Portuguese","Macaíba","false","Brazilian_Flora_Online_v.393.285"
"sp40","Portuguese","Marfim Branco","false","Brazilian_Flora_Online_v.393.285"
"sp40","Portuguese","Pau De Teiu","false","Brazilian_Flora_Online_v.393.285"
"sp42","Portuguese","Barreiro, Branquinho E Laranjeira-Do-Mato","false","Brazilian_Flora_Online_v.393.285"
"sp42","Portuguese","Guamirim, Laranjeira-Brava, Laranjeira-Do-Mato","false","Brazilian_Flora_Online_v.393.285"
"sp42","Portuguese","Limoeiro, Pau-Rainha","false","Brazilian_Flora_Online_v.393.285"
"sp42","Portuguese","Canela-De-Veado, Feicassé, Laranjeira-Brava","false","Brazilian_Flora_Online_v.393.285"
"sp44","Portuguese","Canela-De-Veado-Comum","false","Brazilian_Flora_Online_v.393.285"
"sp45","Portuguese","Branquilho","false","Brazilian_Flora_Online_v.393.285"
"sp46","Portuguese","Marfim","false","Brazilian_Flora_Online_v.393.285"
"sp46","Portuguese","Marfim-Branco","false","Brazilian_Flora_Online_v.393.285"
"sp46","Portuguese","Caranguinha-Do-Mato","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Amarelão","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Cervejinha","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Imbu D'anta","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Kangwaruhumyra","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Marfim","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Marfim De Veado","false","Brazilian_Flora_Online_v.393.285"
"sp78"," Pau ","Páo ","false","Brazilian_Flora_Online_v.393.285"
"sp78"," Pau D'alho Do Campo","Páo ","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Perobinha","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Quina De Veado","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Quina Dôce","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Pau-Marfim-Do-Pará","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Pau-Marfim-Do-Cerrado","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Pau-D’alho-Do-Cerrado","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Cagaita","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Marfim-De-Espinho","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Pau-Marfim-Do-Campo","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Cerveja-De-Pobre","false","Brazilian_Flora_Online_v.393.285"
"sp78","Portuguese","Pau-Marfim-Da-Mata","false","Brazilian_Flora_Online_v.393.285"
"sp86","Spanish; Castilian","Aguacatillo","false","IUCN_Red_List_v.2022-2"
"sp92","Portuguese","Baratinha","false","Brazilian_Flora_Online_v.393.285"
"sp92","Portuguese","Pitomba-Do-Rio-Doce","false","Brazilian_Flora_Online_v.393.285"
"sp94","Portuguese","Angico-Branco","false","Brazilian_Flora_Online_v.393.285"
"sp99","Portuguese","Jueirana-Branca","false","Brazilian_Flora_Online_v.393.285"
"sp100","Portuguese","Manjolo","false","Brazilian_Flora_Online_v.393.285"
"sp100","Portuguese","Monzê","false","Brazilian_Flora_Online_v.393.285"
"sp101","Portuguese","Mangue","false","Brazilian_Flora_Online_v.393.285"
"sp101","Portuguese","Oeirana","false","Brazilian_Flora_Online_v.393.285"
"sp101","Portuguese","Ourana","false","Brazilian_Flora_Online_v.393.285"
"sp101","Portuguese","Pau-Mole","false","Brazilian_Flora_Online_v.393.285"
"sp101","Portuguese","Sarão","false","Brazilian_Flora_Online_v.393.285"
"sp101","Portuguese","Mangue","false","Brazilian_Flora_Online_v.393.285"
"sp102","Portuguese","Supiarana","false","Brazilian_Flora_Online_v.393.285"
"sp102","Portuguese","Taquari","false","Brazilian_Flora_Online_v.393.285"
"sp104","Portuguese","Tamanqueiro, Tanheiro","false","Brazilian_Flora_Online_v.393.285"
"sp104","Portuguese","Ubicurana, Urmurana, Tamanqueiro, Tanheiro","false","Brazilian_Flora_Online_v.393.285"
"sp104","Portuguese","Urucurana","false","Brazilian_Flora_Online_v.393.285"
"sp104","Portuguese","Tapiá-Guatu","false","Brazilian_Flora_Online_v.393.285"
"sp104","Portuguese","Tapiá","false","Brazilian_Flora_Online_v.393.285"
"sp105","Portuguese","Tapiá, Tapiá-Guaçu","false","Brazilian_Flora_Online_v.393.285"
"sp105","Portuguese","Tinteiro","false","Brazilian_Flora_Online_v.393.285"
