"CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup","CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName","CountryOccurrence.CountryOccurrenceSubfield.formerlyBred","CountryOccurrence.CountryOccurrenceSubfield.origin","CountryOccurrence.CountryOccurrenceSubfield.presence","CountryOccurrence.CountryOccurrenceSubfield.seasonality","internal_taxon_id"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp1"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp1"
"PE","Peru",NA,"Native","Extant","Resident","sp1"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp1"
"BZN-AC","Brazil",NA,"Native","Extant","Resident","sp1"
"CO","Colombia",NA,"Native","Extant","Resident","sp1"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp1"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp2"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp3"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp3"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp3"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp3"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp3"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp3"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp3"
"BZS-SC","Brazil",NA,"Native","Extant","Resident","sp3"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp4"
"BZN-TO","Brazil",NA,"Native","Extant","Resident","sp4"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp4"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp4"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp4"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp4"
"BR","Brazil",NA,"Native","Extant","Resident","sp4"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp4"
