"GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup","GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName","GeneralHabitats.GeneralHabitatsSubfield.majorImportance","GeneralHabitats.GeneralHabitatsSubfield.season","GeneralHabitats.GeneralHabitatsSubfield.suitability","internal_taxon_id","source.info"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp1","Brazilian_Flora_Online_v.393.285"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp1","Brazilian_Flora_Online_v.393.285"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp2","Brazilian_Flora_Online_v.393.285"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp2","Brazilian_Flora_Online_v.393.285"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp3","Brazilian_Flora_Online_v.393.285"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp3","Brazilian_Flora_Online_v.393.285"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp4","Brazilian_Flora_Online_v.393.285"
"2.2","Savanna - Moist","","Resident","Suitable","sp4","Brazilian_Flora_Online_v.393.285"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp4","Brazilian_Flora_Online_v.393.285"
"14","Artificial - Terrestrial","No","Resident","Marginal","sp4","Brazilian_Flora_Online_v.393.285"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp5","Brazilian_Flora_Online_v.393.285"
"2.1","Savanna - Dry","","Resident","Suitable","sp5","Brazilian_Flora_Online_v.393.285"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp5","Brazilian_Flora_Online_v.393.285"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp6","Brazilian_Flora_Online_v.393.285"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp6","Brazilian_Flora_Online_v.393.285"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp7","Brazilian_Flora_Online_v.393.285"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp8","Brazilian_Flora_Online_v.393.285"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp9","Brazilian_Flora_Online_v.393.285"
"2.1","Savanna - Dry","","Resident","Suitable","sp9","Brazilian_Flora_Online_v.393.285"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp9","Brazilian_Flora_Online_v.393.285"
"4.5","Grassland - Subtropical/Tropical Dry","","Resident","Suitable","sp9","IUCN_Red_List_v.2022-2"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp10","Brazilian_Flora_Online_v.393.285"
"3.5","Shrubland – Subtropical/tropical dry","Yes","Resident","Suitable","sp11","Brazilian_Flora_Online_v.393.285"
"1.5","Forest - Subtropical/Tropical Dry","","Resident","Suitable","sp11","IUCN_Red_List_v.2022-2"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp12","Brazilian_Flora_Online_v.393.285"
"1.5","Forest - Subtropical/Tropical Dry","","Resident","Suitable","sp12","IUCN_Red_List_v.2022-2"
"2.1","Savanna - Dry","","Resident","Suitable","sp12","IUCN_Red_List_v.2022-2"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp13","Brazilian_Flora_Online_v.393.285"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp14","Brazilian_Flora_Online_v.393.285"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp15","Brazilian_Flora_Online_v.393.285"
"2.1","Savanna - Dry","","Resident","Suitable","sp15","Brazilian_Flora_Online_v.393.285"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp16","Brazilian_Flora_Online_v.393.285"
"2.1","Savanna - Dry","","Resident","Suitable","sp16","Brazilian_Flora_Online_v.393.285"
