"PlantGrowthForms.PlantGrowthFormsSubfield.PlantGrowthFormsLookup","PlantGrowthForms.PlantGrowthFormsSubfield.PlantGrowthFormsName","internal_taxon_id"
"TL","Tree - large","sp1"
"TS","Tree - small","sp2"
"TS","Tree - small","sp3"
"TL","Tree - large","sp4"
"TL","Tree - large","sp5"
"TS","Tree - small","sp6"
"TL","Tree - large","sp7"
"TS","Tree - small","sp8"
"TL","Tree - large","sp9"
"TS","Tree - small","sp10"
"TS","Tree - small","sp11"
"SL","Shrub - large","sp12"
"SL","Shrub - large","sp13"
"TS","Tree - small","sp14"
"SL","Shrub - large","sp15"
"SL","Shrub - large","sp16"
"SL","Shrub - large","sp17"
"SL","Shrub - large","sp18"
"SL","Shrub - large","sp19"
"SL","Shrub - large","sp20"
"TS","Tree - small","sp21"
"SL","Shrub - large","sp22"
"TS","Tree - small","sp23"
"SL","Shrub - large","sp24"
"TS","Tree - small","sp25"
"TS","Tree - small","sp26"
"TS","Tree - small","sp27"
"TL","Tree - large","sp28"
"TS","Tree - small","sp29"
"TS","Tree - small","sp30"
"TS","Tree - small","sp31"
"TL","Tree - large","sp32"
"TL","Tree - large","sp33"
"SL","Shrub - large","sp34"
"SL","Shrub - large","sp35"
"TS","Tree - small","sp36"
"TS","Tree - small","sp37"
"TL","Tree - large","sp38"
"TS","Tree - small","sp39"
"TS","Tree - small","sp40"
"TS","Tree - small","sp41"
"TS","Tree - small","sp42"
"TS","Tree - small","sp43"
"TS","Tree - small","sp44"
"T","Tree - size unknown","sp45"
"TS","Tree - small","sp46"
"TS","Tree - small","sp47"
"SL","Shrub - large","sp48"
"TS","Tree - small","sp49"
"T","Tree - size unknown","sp50"
"TS","Tree - small","sp51"
"TS","Tree - small","sp52"
"TS","Tree - small","sp53"
"TS","Tree - small","sp54"
"SL","Shrub - large","sp55"
"TS","Tree - small","sp56"
"TS","Tree - small","sp57"
"SL","Shrub - large","sp58"
"TS","Tree - small","sp59"
"TS","Tree - small","sp60"
"SL","Shrub - large","sp61"
"TS","Tree - small","sp62"
"TS","Tree - small","sp63"
"SL","Shrub - large","sp64"
"SL","Shrub - large","sp65"
"SL","Shrub - large","sp66"
"SL","Shrub - large","sp67"
"SL","Shrub - large","sp68"
"TS","Tree - small","sp69"
"SL","Shrub - large","sp70"
"TS","Tree - small","sp71"
"SL","Shrub - large","sp72"
"TS","Tree - small","sp73"
"SL","Shrub - large","sp74"
"SL","Shrub - large","sp75"
"TS","Tree - small","sp76"
"SL","Shrub - large","sp77"
"TS","Tree - small","sp78"
"TS","Tree - small","sp79"
"TS","Tree - small","sp80"
"TL","Tree - large","sp81"
"TL","Tree - large","sp82"
"TL","Tree - large","sp83"
"TS","Tree - small","sp84"
"TS","Tree - small","sp85"
"T","Tree - size unknown","sp86"
"TS","Tree - small","sp87"
"TL","Tree - large","sp88"
"TS","Tree - small","sp89"
"TS","Tree - small","sp90"
"T","Tree - size unknown","sp91"
"TL","Tree - large","sp92"
"SL","Shrub - large","sp93"
"TS","Tree - small","sp94"
"TL","Tree - large","sp95"
"TL","Tree - large","sp96"
"TS","Tree - small","sp97"
"TL","Tree - large","sp98"
"TL","Tree - large","sp99"
"TL","Tree - large","sp100"
"TS","Tree - small","sp101"
"TL","Tree - large","sp102"
"TL","Tree - large","sp103"
"TL","Tree - large","sp104"
"TL","Tree - large","sp105"
"TS","Tree - small","sp106"
"TS","Tree - small","sp107"
"SL","Shrub - large","sp108"
"TS","Tree - small","sp109"
"TS","Tree - small","sp110"
"TS","Tree - small","sp111"
"TS","Tree - small","sp112"
"TS","Tree - small","sp113"
"TS","Tree - small","sp114"
"TS","Tree - small","sp115"
"TS","Tree - small","sp116"
"SL","Shrub - large","sp117"
"TS","Tree - small","sp118"
"TS","Tree - small","sp119"
"SL","Shrub - large","sp120"
"TS","Tree - small","sp121"
"SL","Shrub - large","sp122"
"TL","Tree - large","sp123"
"TS","Tree - small","sp124"
"TS","Tree - small","sp125"
"TS","Tree - small","sp126"
"SL","Shrub - large","sp127"
"TS","Tree - small","sp128"
"TS","Tree - small","sp129"
"TS","Tree - small","sp130"
"TS","Tree - small","sp131"
"TL","Tree - large","sp132"
"TS","Tree - small","sp133"
"TS","Tree - small","sp134"
"SL","Shrub - large","sp135"
"TS","Tree - small","sp136"
"TS","Tree - small","sp137"
"TL","Tree - large","sp138"
"SL","Shrub - large","sp139"
"SL","Shrub - large","sp140"
"TS","Tree - small","sp141"
"TL","Tree - large","sp142"
"TL","Tree - large","sp143"
"TS","Tree - small","sp144"
"TS","Tree - small","sp145"
"PT","Fern","sp146"
"PT","Fern","sp147"
"PT","Fern","sp148"
"PT","Fern","sp149"
"TS","Tree - small","sp150"
"TS","Tree - small","sp151"
"TL","Tree - large","sp152"
"TS","Tree - small","sp153"
"TL","Tree - large","sp154"
"TL","Tree - large","sp155"
"TL","Tree - large","sp156"
"TS","Tree - small","sp157"
"SL","Shrub - large","sp158"
"TS","Tree - small","sp159"
"TL","Tree - large","sp160"
"TL","Tree - large","sp161"
"TS","Tree - small","sp162"
"TS","Tree - small","sp163"
"TL","Tree - large","sp164"
"TS","Tree - small","sp165"
"TS","Tree - small","sp166"
"TS","Tree - small","sp167"
"T","Tree - size unknown","sp168"
"TL","Tree - large","sp169"
"TL","Tree - large","sp170"
"TL","Tree - large","sp171"
"TL","Tree - large","sp172"
"TL","Tree - large","sp173"
"TL","Tree - large","sp174"
"TS","Tree - small","sp175"
"TL","Tree - large","sp176"
"TS","Tree - small","sp177"
"SL","Shrub - large","sp178"
"SL","Shrub - large","sp179"
"TS","Tree - small","sp180"
"TL","Tree - large","sp181"
"TS","Tree - small","sp182"
"TL","Tree - large","sp183"
"TS","Tree - small","sp184"
"TL","Tree - large","sp185"
"TL","Tree - large","sp186"
"TS","Tree - small","sp187"
"SL","Shrub - large","sp188"
"TS","Tree - small","sp189"
"TS","Tree - small","sp190"
