"PlantGrowthForms.PlantGrowthFormsSubfield.PlantGrowthFormsName","PlantGrowthForms.PlantGrowthFormsSubfield.PlantGrowthFormsLookup","internal_taxon_id","source.info"
"Tree - large","TL","sp1","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp2","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp3","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp4","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp5","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp6","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp7","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp8","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp8","IUCN_Red_List_v.2022-2"
"Tree - large","TL","sp9","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp10","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp11","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp11","IUCN_Red_List_v.2022-2"
"Shrub - large","SL","sp12","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp13","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp14","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp15","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp16","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp17","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp18","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp18","IUCN_Red_List_v.2022-2"
"Shrub - large","SL","sp19","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp20","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp21","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp22","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp23","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp24","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp25","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp26","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp27","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp28","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp29","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp30","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp31","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp32","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp33","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp34","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp35","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp36","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp37","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp38","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp38","IUCN_Red_List_v.2022-2"
"Tree - small","TS","sp39","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp40","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp40","IUCN_Red_List_v.2022-2"
"Tree - small","TS","sp41","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp41","IUCN_Red_List_v.2022-2"
"Tree - small","TS","sp42","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp42","IUCN_Red_List_v.2022-2"
"Tree - small","TS","sp43","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp44","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp45","IUCN_Red_List_v.2022-2"
"Shrub - large","SL","sp45","IUCN_Red_List_v.2022-2"
"Tree - small","TS","sp46","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp47","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp47","IUCN_Red_List_v.2022-2"
"Shrub - large","SL","sp48","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp49","Brazilian_Flora_Online_v.393.285"
"Tree - size unknown","T","sp50","Brazilian_Flora_Online_v.393.285"
"Shrub - size unknown","S","sp50","IUCN_Red_List_v.2022-2"
"Tree - small","TS","sp51","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp52","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp53","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp54","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp55","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp56","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp57","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp58","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp59","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp60","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp61","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp62","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp63","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp64","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp65","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp66","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp67","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp68","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp69","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp70","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp71","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp72","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp72","IUCN_Red_List_v.2022-2"
"Tree - small","TS","sp73","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp74","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp75","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp76","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp77","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp78","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp79","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp80","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp81","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp82","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp82","IUCN_Red_List_v.2022-2"
"Tree - large","TL","sp83","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp84","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp85","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp86","IUCN_Red_List_v.2022-2"
"Tree - small","TS","sp86","IUCN_Red_List_v.2022-2"
"Tree - large","TL","sp86","IUCN_Red_List_v.2022-2"
"Tree - small","TS","sp87","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp88","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp89","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp89","IUCN_Red_List_v.2022-2"
"Tree - small","TS","sp90","Brazilian_Flora_Online_v.393.285"
"Tree - size unknown","T","sp91","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp92","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp93","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp94","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp95","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp96","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp97","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp98","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp99","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp100","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp101","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp102","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp103","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp104","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp105","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp106","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp107","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp107","IUCN_Red_List_v.2022-2"
"Shrub - large","SL","sp108","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp109","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp110","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp111","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp112","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp112","IUCN_Red_List_v.2022-2"
"Tree - small","TS","sp113","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp114","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp115","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp116","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp116","IUCN_Red_List_v.2022-2"
"Shrub - large","SL","sp117","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp118","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp119","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp120","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp121","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp122","Brazilian_Flora_Online_v.393.285"
"Tree - large","TL","sp123","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp124","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp125","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp126","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp127","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp128","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp129","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp130","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp131","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp131","IUCN_Red_List_v.2022-2"
"Tree - large","TL","sp132","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp133","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp134","Brazilian_Flora_Online_v.393.285"
"Shrub - large","SL","sp135","Brazilian_Flora_Online_v.393.285"
"Tree - small","TS","sp136","Brazilian_Flora_Online_v.393.285"
