"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName"
"","","","sp1","Pithecellobium auriculatum Benth.","Benth.","Pithecellobium auriculatum"
"","","","sp3","Abarema obovata (Benth.) Barneby & J.W.Grimes","(Benth.) Barneby & J.W.Grimes","Abarema obovata"
"","","","sp3","Pithecellobium lusorium (Vell.) Benth.","(Vell.) Benth.","Pithecellobium lusorium"
"","","","sp3","Inga brachystachya DC.","DC.","Inga brachystachya"
"","","","sp4","Inga cochleata Willd.","Willd.","Inga cochleata"
"","","","sp5","Abarema cochliocarpos (Gomes) Barneby & J.W.Grimes","(Gomes) Barneby & J.W.Grimes","Abarema cochliocarpos"
"","","","sp5","Pithecolobium cochliocarpum (Gomes) J.F.Macbr.","(Gomes) J.F.Macbr.","Pithecolobium cochliocarpum"
"","","","sp5","Pithecolobium auaremotemo Mart.","Mart.","Pithecolobium auaremotemo"
"","","","sp5","Mimosa cochliacarpos Gomes","Gomes","Mimosa cochliacarpos"
"","","","sp6","Pithecellobium filamentosum Benth.","Benth.","Pithecellobium filamentosum"
"","","","sp7","Acacia jupunba Willdenow","Willdenow","Acacia jupunba"
"","","","sp8","Pithecellobium laetum (Poepp. & Endl.) Benth.","(Poepp. & Endl.) Benth.","Pithecellobium laetum"
"","","","sp8","Inga laeta Benth.","Benth.","Inga laeta"
"","","","sp9","Pithecellobium langsdorffii Benth.","Benth.","Pithecellobium langsdorffii"
"","","","sp11","Pithecellobium turbinatum Benth.","Benth.","Pithecellobium turbinatum"
"","","","sp13","Abatia tomentosa Mart. ex Eichler","Mart. ex Eichler","Abatia tomentosa"
"","","","sp13","Abatia brasiliensis Baillon","Baillon","Abatia brasiliensis"
"","","","sp13","Raleighia americana Gardner","Gardner","Raleighia americana"
"","","","sp14","Abutilon molle (Ortega) Sweet","(Ortega) Sweet","Abutilon molle"
"var.","Pax & K.Hoffm.","angustifolia","sp16","Acalypha brasiliensis var. angustifolia Pax & K.Hoffm.","","Acalypha brasiliensis"
"var.","Müll.Arg.","asterotricha","sp16","Acalypha brasiliensis var. asterotricha Müll.Arg.","","Acalypha brasiliensis"
"var.","Müll.Arg.","brevipes","sp16","Acalypha brasiliensis var. brevipes Müll.Arg.","","Acalypha brasiliensis"
"var.","(Müll.Arg.) Müll.Arg.","cordata","sp16","Acalypha brasiliensis var. cordata (Müll.Arg.) Müll.Arg.","","Acalypha brasiliensis"
"var.","Müll.Arg.","glabrata","sp16","Acalypha brasiliensis var. glabrata Müll.Arg.","","Acalypha brasiliensis"
"var.","Müll.Arg.","longipes","sp16","Acalypha brasiliensis var. longipes Müll.Arg.","","Acalypha brasiliensis"
"var.","Müll.Arg.","maxima","sp16","Acalypha brasiliensis var. maxima Müll.Arg.","","Acalypha brasiliensis"
"var.","(Müll.Arg.) Müll.Arg.","obtusa","sp16","Acalypha brasiliensis var. obtusa (Müll.Arg.) Müll.Arg.","","Acalypha brasiliensis"
"","","","sp17","Acalypha agrestis Morong ex Britton","Morong ex Britton","Acalypha agrestis"
"","","","sp17","Acalypha amphigyne Moore","Moore","Acalypha amphigyne"
"","","","sp17","Acalypha apicalis N.E.Br.","N.E.Br.","Acalypha apicalis"
"var.","(Morong ex Britton) Chodat & Hassl.","agrestis","sp17","Acalypha communis var. agrestis (Morong ex Britton) Chodat & Hassl.","","Acalypha communis"
"var.","Chodat & Hassl.","guaranitica","sp17","Acalypha communis var. guaranitica Chodat & Hassl.","","Acalypha communis"
"var.","(Spreng.) Müll.Arg.","hirta","sp17","Acalypha communis var. hirta (Spreng.) Müll.Arg.","","Acalypha communis"
"var.","Pax & K.Hoffm.","hirtiformis","sp17","Acalypha communis var. hirtiformis Pax & K.Hoffm.","","Acalypha communis"
"var.","Müll.Arg.","hispida","sp17","Acalypha communis var. hispida Müll.Arg.","","Acalypha communis"
"var.","Müll.Arg.","intermedia","sp17","Acalypha communis var. intermedia Müll.Arg.","","Acalypha communis"
"var.","Müll.Arg.","obscura","sp17","Acalypha communis var. obscura Müll.Arg.","","Acalypha communis"
"var.","Müll.Arg.","pallida","sp17","Acalypha communis var. pallida Müll.Arg.","","Acalypha communis"
"var.","Müll.Arg.","puberula","sp17","Acalypha communis var. puberula Müll.Arg.","","Acalypha communis"
"var.","Griseb.","rotundata","sp17","Acalypha communis var. rotundata Griseb.","","Acalypha communis"
"var.","Pax & K.Hoffm.","salicifolia","sp17","Acalypha communis var. salicifolia Pax & K.Hoffm.","","Acalypha communis"
"var.","Pax & K.Hoffm.","saltensis","sp17","Acalypha communis var. saltensis Pax & K.Hoffm.","","Acalypha communis"
"var.","Müll.Arg.","tomentella","sp17","Acalypha communis var. tomentella Müll.Arg.","","Acalypha communis"
"var.","Müll.Arg.","tomentosa","sp17","Acalypha communis var. tomentosa Müll.Arg.","","Acalypha communis"
"","","","sp17","Acalypha cordobensis Müll.Arg.","Müll.Arg.","Acalypha cordobensis"
"var.","Griseb.","rotundata","sp17","Acalypha cordobensis var. rotundata Griseb.","","Acalypha cordobensis"
"","","","sp17","Acalypha cordoviensis Müll.Arg.","Müll.Arg.","Acalypha cordoviensis"
"","","","sp17","Acalypha hirta Spreng.","Spreng.","Acalypha hirta"
"","","","sp17","Acalypha humilis Pax & K.Hoffm.","Pax & K.Hoffm.","Acalypha humilis"
"","","","sp17","Acalypha montevidensis Klotzsch ex Pax & K.Hoffm.","Klotzsch ex Pax & K.Hoffm.","Acalypha montevidensis"
"","","","sp17","Acalypha paraguariensis Chodat & Hassl.","Chodat & Hassl.","Acalypha paraguariensis"
"","","","sp17","Acalypha pilifera Klotzsch ex Baill.","Klotzsch ex Baill.","Acalypha pilifera"
"","","","sp17","Acalypha urticoides Klotzsch ex Baill.","Klotzsch ex Baill.","Acalypha urticoides"
"","","","sp17","Acalypha variabilis Klotzsch ex Baill.","Klotzsch ex Baill.","Acalypha variabilis"
"var.","Baill.","albescens","sp17","Acalypha variabilis var. albescens Baill.","","Acalypha variabilis"
"var.","Baill.","angustifolia","sp17","Acalypha variabilis var. angustifolia Baill.","","Acalypha variabilis"
