"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName","source.info"
"","","","sp1","Pithecellobium auriculatum Benth.","Benth.","Pithecellobium auriculatum","Brazilian_Flora_Online_v.393.285"
"","","","sp3","Abarema obovata (Benth.) Barneby & J.W.Grimes","(Benth.) Barneby & J.W.Grimes","Abarema obovata","Brazilian_Flora_Online_v.393.285"
"","","","sp3","Pithecellobium lusorium (Vell.) Benth.","(Vell.) Benth.","Pithecellobium lusorium","Brazilian_Flora_Online_v.393.285"
"","","","sp3","Inga brachystachya DC.","DC.","Inga brachystachya","Brazilian_Flora_Online_v.393.285"
"","","","sp4","Inga cochleata Willd.","Willd.","Inga cochleata","Brazilian_Flora_Online_v.393.285"
"","","","sp5","Abarema cochliocarpos (Gomes) Barneby & J.W.Grimes","(Gomes) Barneby & J.W.Grimes","Abarema cochliocarpos","Brazilian_Flora_Online_v.393.285"
"","","","sp5","Pithecolobium cochliocarpum (Gomes) J.F.Macbr.","(Gomes) J.F.Macbr.","Pithecolobium cochliocarpum","Brazilian_Flora_Online_v.393.285"
"","","","sp5","Pithecolobium auaremotemo Mart.","Mart.","Pithecolobium auaremotemo","Brazilian_Flora_Online_v.393.285"
"","","","sp5","Mimosa cochliacarpos Gomes","Gomes","Mimosa cochliacarpos","Brazilian_Flora_Online_v.393.285"
"","","","sp6","Pithecellobium filamentosum Benth.","Benth.","Pithecellobium filamentosum","Brazilian_Flora_Online_v.393.285"
"","","","sp7","Acacia jupunba Willdenow","Willdenow","Acacia jupunba","Brazilian_Flora_Online_v.393.285"
"","","","sp8","Pithecellobium laetum (Poepp. & Endl.) Benth.","(Poepp. & Endl.) Benth.","Pithecellobium laetum","Brazilian_Flora_Online_v.393.285"
"","","","sp8","Inga laeta Benth.","Benth.","Inga laeta","Brazilian_Flora_Online_v.393.285"
"","","","sp9","Pithecellobium langsdorffii Benth.","Benth.","Pithecellobium langsdorffii","Brazilian_Flora_Online_v.393.285"
"","","","sp11","Pithecellobium turbinatum Benth.","Benth.","Pithecellobium turbinatum","Brazilian_Flora_Online_v.393.285"
"","","","sp13","Abatia tomentosa Mart. ex Eichler","Mart. ex Eichler","Abatia tomentosa","Brazilian_Flora_Online_v.393.285"
"","","","sp13","Abatia brasiliensis Baillon","Baillon","Abatia brasiliensis","Brazilian_Flora_Online_v.393.285"
"","","","sp13","Raleighia americana Gardner","Gardner","Raleighia americana","Brazilian_Flora_Online_v.393.285"
"","","","sp14","Abutilon molle (Ortega) Sweet","(Ortega) Sweet","Abutilon molle","Brazilian_Flora_Online_v.393.285"
"var.","Pax & K.Hoffm.","angustifolia","sp16","Acalypha brasiliensis var. angustifolia Pax & K.Hoffm.","","Acalypha brasiliensis","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","asterotricha","sp16","Acalypha brasiliensis var. asterotricha Müll.Arg.","","Acalypha brasiliensis","Brazilian_Flora_Online_v.393.285"
