"scientificName","UTEndUse.UTEndUseSubfield.UTEndUseName","UTEndUse.UTEndUseSubfield.UTEndUseLookup","UTEndUse.UTEndUseSubfield.international","UTEndUse.UTEndUseSubfield.national","UTEndUse.UTEndUseSubfield.other","UTEndUse.UTEndUseSubfield.subsistence","internal_taxon_id","source.info"
"Abarema laeta","Medicine - human & veterinary","3","","","","true","sp8","IUCN_Red_List_v.2022-2"
"Acosmium lentiscifolium","Construction or structural materials","9","false","false","","false","sp33","IUCN_Red_List_v.2022-2"
"Acrocomia aculeata","Pets/display animals, horticulture","13","false","true","","true","sp38","TreeCo_database_v.4.1"
"Acrocomia aculeata","Food - human","1","false","true","","true","sp38","TreeCo_database_v.4.1"
"Acrocomia aculeata","Food - animal","2","","","","","sp38","IUCN_Red_List_v.2022-2"
"Aiouea glaziovii","Construction or structural materials","9","false","false","","false","sp83","IUCN_Red_List_v.2022-2"
"Aiphanes horrida","Pets/display animals, horticulture","13","false","false","","false","sp90","TreeCo_database_v.4.1"
"Albizia pedicellaris","Construction or structural materials","9","true","false","","false","sp99","TreeCo_database_v.4.1"
"Albizia pedicellaris","Construction or structural materials","9","false","true","","false","sp99","TreeCo_database_v.4.1"
"Albizia pedicellaris","Construction or structural materials","9","false","true","","false","sp99","TreeCo_database_v.4.1"
"Albizia polycephala","Construction or structural materials","9","false","false","","false","sp100","IUCN_Red_List_v.2022-2"
"Alchornea triplinervia","Construction or structural materials","9","true","false","","false","sp105","TreeCo_database_v.4.1"
"Alchornea triplinervia","Medicine - human & veterinary","3","","","","true","sp105","IUCN_Red_List_v.2022-2"
"Alchornea triplinervia","Pets/display animals, horticulture","13","","","","","sp105","IUCN_Red_List_v.2022-2"
"Allamanda blanchetii","Pets/display animals, horticulture","13","false","false","","false","sp122","TreeCo_database_v.4.1"
"Aloysia virgata","Medicine - human & veterinary","3","","","","true","sp141","IUCN_Red_List_v.2022-2"
"Alsophila capensis","Pets/display animals, horticulture","13","false","false","","false","sp146","TreeCo_database_v.4.1"
"Amburana cearensis","Construction or structural materials","9","true","false","","false","sp155","TreeCo_database_v.4.1"
"Amburana cearensis","Construction or structural materials","9","false","true","","false","sp155","TreeCo_database_v.4.1"
"Amburana cearensis","Construction or structural materials","9","false","true","","false","sp155","TreeCo_database_v.4.1"
"Anacardium humile","Food - human","1","false","true","","true","sp158","TreeCo_database_v.4.1"
"Anacardium occidentale","Fibre","8","true","false","","false","sp159","TreeCo_database_v.4.1"
"Anacardium occidentale","Manufacturing chemicals","5","true","false","","false","sp159","TreeCo_database_v.4.1"
"Anacardium occidentale","Food - human","1","true","true","","true","sp159","TreeCo_database_v.4.1"
