"taxon_id","language","name"
"sp5","Portuguese","Barbatimão"
"sp5","Portuguese","Bordão-De-Velho"
"sp13","Portuguese","Marmeleiro"
"sp16","Portuguese","Tapa-Buraco"
"sp19","Portuguese","Maria Preta"
"sp29","Portuguese","Sombra-De-Touro"
"sp30","Portuguese","Goiaba Do Campo, Goiabeira Do Campo"
"sp30","Portuguese","Araçazeira Do Campo"
"sp30","Portuguese","Goiabeira Serrana, Goiabeira Da Serra"
"sp30","Portuguese","Goiabeira Do Mato"
"sp30","Portuguese","Araçá Do Rio Grande"
"sp30","Spanish","Goyabo, Goyabo Del Pais"
"sp30","English","Pineapple Guava, Feijoa"
"sp33","Portuguese","Cabo De Lança"
"sp34","Portuguese","Fruta-De-Sabiá"
"sp34","Portuguese","Mariana"
"sp34","Portuguese","Marianeira"
"sp35","Portuguese","Lombo-Preto"
"sp36","Portuguese","Murta"
"sp36","Portuguese","Osso-De-Burro"
"sp41","Portuguese","Macaúba"
"sp41","Portuguese","Mucajá"
"sp41","Portuguese","Coco-Babão"
"sp42","Portuguese","Macaíba"
"sp44","Portuguese","Marfim Branco"
"sp44","Portuguese","Pau De Teiu"
"sp46","Portuguese","Barreiro, Branquinho E Laranjeira-Do-Mato"
"sp46","Portuguese","Guamirim, Laranjeira-Brava, Laranjeira-Do-Mato"
"sp46","Portuguese","Limoeiro, Pau-Rainha"
"sp46","Portuguese","Canela-De-Veado, Feicassé, Laranjeira-Brava"
"sp48","Portuguese","Canela-De-Veado-Comum"
"sp49","Portuguese","Branquilho"
"sp50","Portuguese","Marfim"
"sp50","Portuguese","Marfim-Branco"
"sp50","Portuguese","Caranguinha-Do-Mato"
"sp83","Portuguese","Amarelao"
"sp83","Portuguese","Cervejinha"
"sp83","Portuguese","Imbu D'anta"
"sp83","Portuguese","Kangwaruhumyra"
"sp83","Portuguese","Marfim"
"sp83","Portuguese","Marfim De Veado"
"sp83","Portuguese","Pau Marfim"
"sp83","Portuguese","Pau D'alho Do Campo"
"sp83","Portuguese","Perobinha"
"sp83","Portuguese","Quina De Veado"
"sp83","Portuguese","Quina Doce"
