"internal_taxon_id","Name_submitted","family","genus","species.correct","taxon.rank","life.form.reflora","habitat.reflora","vegetation.type.reflora","ordem.spp","establishment","habito","life.form","MaxHeight","GF","wsg","ecol.group","SeedMass_g","dispersal.syndrome"
"sp1","Abarema auriculata","Fabaceae","Abarema","Abarema auriculata","species","Arbusto|Árvore","Terrícola","Campinarana|Floresta de Terra Firme",1,"native","tree","Woody tree (Tree)",15,"large_tree",0.578571037083333,"unknown",0.229852847846154,NA
"sp2","Abarema barnebyana","Fabaceae","Abarema","Abarema barnebyana","species","Árvore","Terrícola","Floresta Estacional Semidecidual|Restinga",2,"native","tree","Woody tree (Tree or shrub)",8.6,"small_tree",0.578571037083333,"early_secondary",0.229852847846154,"zoochoric"
"sp3","Abarema brachystachya","Fabaceae","Abarema","Abarema brachystachya","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",3,"native","tree","Woody tree (Tree)",12,"small_tree",0.537852445,"unknown",0.229852847846154,"zoochoric"
"sp4","Abarema cochleata","Fabaceae","Abarema","Abarema cochleata","species","Árvore","Terrícola","Área Antrópica|Campinarana|Floresta de Terra Firme|Savana Amazônica",4,"native","tree","Woody tree (Tree)",25,"large_tree",0.578571037083333,"unknown",0.229852847846154,NA
"sp5","Abarema cochliacarpos","Fabaceae","Abarema","Abarema cochliacarpos","species","Árvore","Terrícola","Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga",5,"native","tree","Woody tree (Tree)",30,"large_tree",0.578571037083333,"early_secondary",0.229852847846154,"zoochoric"
"sp6","Abarema filamentosa","Fabaceae","Abarema","Abarema filamentosa","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila Mista|Restinga",6,"native","tree","Woody tree (Tree)",15,"large_tree",0.578571037083333,"early_secondary",0.229852847846154,"zoochoric"
"sp7","Abarema jupunba","Fabaceae","Abarema","Abarema jupunba","species","Árvore","Terrícola",NA,7,"native","tree","Woody tree (Tree)",34.5,"large_tree",0.585142857142857,"pioneer",0.464615384615385,"zoochoric"
"sp8","Abarema laeta","Fabaceae","Abarema","Abarema laeta","species","Árvore","Terrícola","Floresta de Terra Firme",8,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.578571037083333,"unknown",0.229852847846154,NA
"sp9","Abarema langsdorffii","Fabaceae","Abarema","Abarema langsdorffii","species","Arbusto|Árvore","Terrícola","Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)",9,"native","tree","Woody tree (Tree)",21,"large_tree",0.513,"early_secondary",0.04951667,"zoochoric"
"sp10","Abarema limae","Fabaceae","Abarema","Abarema limae","species","Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",10,"native","tree","Woody tree (Tree)",8,"small_tree",0.578571037083333,"late_secondary",0.229852847846154,"autochoric"
"sp11","Abarema turbinata","Fabaceae","Abarema","Abarema turbinata","species","Arbusto|Árvore","Terrícola","Restinga",11,"native","tree","Woody tree (Tree or shrub)",8,"small_tree",0.578571037083333,"unknown",0.229852847846154,"zoochoric"
"sp12","Abarema villosa","Fabaceae","Abarema","Abarema villosa","species","Arbusto|Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",12,"native","tree","Woody tree (Tree or shrub)",4,"large_shrub",0.578571037083333,"unknown",0.229852847846154,NA
"sp13","Abatia americana","Salicaceae","Abatia","Abatia americana","species","Arbusto","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",13,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.638241,"unknown",NA,NA
"sp14","Abutilon grandifolium","Malvaceae","Abutilon","Abutilon grandifolium","species","Arbusto","Terrícola","Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",14,"native","shrub","Woody tree (Tree or shrub)",5,"small_tree",0.431993485211382,"unknown",0.0032,NA
"sp15","Abutilon ramiflorum","Malvaceae","Abutilon","Abutilon ramiflorum","species","Arbusto","Terrícola","Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)",15,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.431993485211382,"unknown",0.0108523014074074,NA
"sp16","Acalypha brasiliensis","Euphorbiaceae","Acalypha","Acalypha brasiliensis","species","Arbusto|Subarbusto","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos",16,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.3,"unknown",0.0016601442,NA
"sp17","Acalypha communis","Euphorbiaceae","Acalypha","Acalypha communis","species","Arbusto|Erva|Subarbusto","Terrícola","Caatinga (stricto sensu)|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Vegetação Sobre Afloramentos Rochosos",17,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.3,"unknown",0.0016601442,"autochoric"
"sp18","Acalypha cuneata","Euphorbiaceae","Acalypha","Acalypha cuneata","species","Arbusto|Árvore","Terrícola","Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)",18,"native","tree","Woody tree (Shrub or treelet)",4,"large_shrub",0.3,"unknown",0.0016601442,NA
