"internal_taxon_id","Name_submitted","family","genus","species.correct","taxon.rank","life.form.reflora","habitat.reflora","vegetation.type.reflora","ordem.spp","establishment","habito","life.form","MaxHeight","GF","wsg","ecol.group","SeedMass_g","dispersal.syndrome","str.match","GL","DBH","p.est","p.ci","N","dbh.crit","p"
"sp1","Abarema auriculata","Fabaceae","Abarema","Abarema auriculata","species","Arbusto|Árvore","Terrícola","Campinarana|Floresta de Terra Firme",1,"native","tree","Woody tree (Tree)",15,"large_tree",0.578571037083333,"unknown",0.229852847846154,NA,"unknown_large_tree",60,12.5,0.416,"0.3966-0.4353",NA,NA,NA
"sp2","Abarema barnebyana","Fabaceae","Abarema","Abarema barnebyana","species","Árvore","Terrícola","Floresta Estacional Semidecidual|Restinga",2,"native","tree","Woody tree (Tree or shrub)",8.6,"small_tree",0.578571037083333,"early_secondary",0.229852847846154,"zoochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
"sp3","Abarema brachystachya","Fabaceae","Abarema","Abarema brachystachya","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",3,"native","tree","Woody tree (Tree)",12,"small_tree",0.537852445,"unknown",0.229852847846154,"zoochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",6,NA,NA
"sp4","Abarema cochleata","Fabaceae","Abarema","Abarema cochleata","species","Árvore","Terrícola","Área Antrópica|Campinarana|Floresta de Terra Firme|Savana Amazônica",4,"native","tree","Woody tree (Tree)",25,"large_tree",0.578571037083333,"unknown",0.229852847846154,NA,"unknown_large_tree",60,12.5,0.416,"0.3966-0.4353",NA,NA,NA
"sp5","Abarema cochliacarpos","Fabaceae","Abarema","Abarema cochliacarpos","species","Árvore","Terrícola","Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga",5,"native","tree","Woody tree (Tree)",30,"large_tree",0.578571037083333,"early_secondary",0.229852847846154,"zoochoric","early_secondary_large_tree",50,12.5,0.4485,"0.4152-0.4817",1,12.5,1
"sp6","Abarema filamentosa","Fabaceae","Abarema","Abarema filamentosa","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila Mista|Restinga",6,"native","tree","Woody tree (Tree)",15,"large_tree",0.578571037083333,"early_secondary",0.229852847846154,"zoochoric","early_secondary_large_tree",50,12.5,0.4485,"0.4152-0.4817",5,12.5,0.4
"sp7","Abarema jupunba","Fabaceae","Abarema","Abarema jupunba","species","Árvore","Terrícola",NA,7,"native","tree","Woody tree (Tree)",34.5,"large_tree",0.585142857142857,"pioneer",0.464615384615385,"zoochoric","pioneer_large_tree",30,10,0.5931,"0.5224-0.6637",NA,NA,NA
"sp8","Abarema laeta","Fabaceae","Abarema","Abarema laeta","species","Árvore","Terrícola","Floresta de Terra Firme",8,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.578571037083333,"unknown",0.229852847846154,NA,"unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp9","Abarema langsdorffii","Fabaceae","Abarema","Abarema langsdorffii","species","Arbusto|Árvore","Terrícola","Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)",9,"native","tree","Woody tree (Tree)",21,"large_tree",0.513,"early_secondary",0.04951667,"zoochoric","early_secondary_large_tree",50,12.5,0.4485,"0.4152-0.4817",127,12.5,0.464566929133858
"sp10","Abarema limae","Fabaceae","Abarema","Abarema limae","species","Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",10,"native","tree","Woody tree (Tree)",8,"small_tree",0.578571037083333,"late_secondary",0.229852847846154,"autochoric","late_secondary_small_tree",50,9,0.4143,"0.3494-0.4792",NA,NA,NA
