"Name_submitted","refID_tax","source","link","lifeform","origin","group_renato","obs","uses","UTEndUseLookup","UTEndUseName","international","national","other","subsistence","internal_taxon_id"
"Vachellia farnesiana",NA,"https://en.wikipedia.org/wiki/Vachellia_farnesiana","https://en.wikipedia.org/wiki/Vachellia_farnesiana","shrub","pantropical","cultivated?","perfume","fodder",2,NA,"false","false",NA,"true","sp4787"
"Vachellia farnesiana",NA,"https://en.wikipedia.org/wiki/Vachellia_farnesiana","https://en.wikipedia.org/wiki/Vachellia_farnesiana","shrub","pantropical","cultivated?","perfume","essential_oils",6,NA,"false","false",NA,"false","sp4787"
"Vachellia farnesiana",NA,"https://en.wikipedia.org/wiki/Vachellia_farnesiana","https://en.wikipedia.org/wiki/Vachellia_farnesiana","shrub","pantropical","cultivated?","perfume","medicinal",3,NA,"false","false",NA,"true","sp4787"
"Vachellia farnesiana",NA,"https://en.wikipedia.org/wiki/Vachellia_farnesiana","https://en.wikipedia.org/wiki/Vachellia_farnesiana","shrub","pantropical","cultivated?","perfume","resins_gums",5,NA,"false","false",NA,"false","sp4787"
"Hura crepitans",NA,"Sistema Nacional de Informações Florestais","http://snif.florestal.gov.br/pt-br/especies-florestais","tree","Brazil",NA,"Especies madeireiras de interesse comercial: lista com algumas das especies madeireiras mais comercializadas no Brasil, elaborada pela Equipe de Anatomia do Laboratório de Produtos Florestais do Serviço Florestal Brasileiro,  em 2010.","timber",9,NA,"false","true",NA,"false","sp2110"
"Hura crepitans",NA,"Mark, J., Newton, A.C, Oldfield, S. & Rivers, M. (2014). The International Timber Trade: A Working List of Commercial Timber Tree Species.  Botanic Gardens Conservation International, Richmond, UK. 56p.","https://www.bgci.org/resources/bgci-tools-and-resources/a-working-list-of-commercial-timber-tree-species/","tree",NA,NA,"list provided by GTA. Note: I haven’t updated it for taxonomy so there might be some issues","timber",9,NA,"true","false",NA,"false","sp2110"
"Hura crepitans",NA,"Brazilian Woods database","http://sistemas.florestal.gov.br/madeirasdobrasil","tree","Brazil",NA,NA,"timber",9,NA,"false","true",NA,"false","sp2110"
"Schizolobium parahyba",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree",NA,NA,"Ornamental: A spectacular fast-growing tree popularly cultivated as an ornamental, especially beautiful in flower with masses of yellow gold blossoms. | Shade or shelter: Guapuruvu is an important shade tree. | Nitrogen fixing: No reports of nodulation are given for guapuruvu. | Timber: Wood with a low specific gravity of0.28-0.35 g/cu cm The timber is rarely utilized, possibly because of its repulsive smell when fresh. Wood not durable and resistant to insect attack. Quamwood is a potential source of paper pulp and plywood. | The tree can provide fuelwood. | A number of amino acids are found in the seeds, however, a seed chymotrypsin inhibitor is also reported.","timber",9,NA,"true","false",NA,"false","sp4197"
"Schizolobium parahyba",NA,"Mark, J., Newton, A.C, Oldfield, S. & Rivers, M. (2014). The International Timber Trade: A Working List of Commercial Timber Tree Species.  Botanic Gardens Conservation International, Richmond, UK. 56p.","https://www.bgci.org/resources/bgci-tools-and-resources/a-working-list-of-commercial-timber-tree-species/","tree",NA,NA,"list provided by GTA. Note: I haven’t updated it for taxonomy so there might be some issues","timber",9,NA,"true","false",NA,"false","sp4197"
"Schizolobium parahyba",NA,"Brazilian Woods database","http://sistemas.florestal.gov.br/madeirasdobrasil","tree","Brazil",NA,NA,"timber",9,NA,"false","true",NA,"false","sp4197"
"Schizolobium parahyba",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree",NA,NA,"Ornamental: A spectacular fast-growing tree popularly cultivated as an ornamental, especially beautiful in flower with masses of yellow gold blossoms. | Shade or shelter: Guapuruvu is an important shade tree. | Nitrogen fixing: No reports of nodulation are given for guapuruvu. | Timber: Wood with a low specific gravity of0.28-0.35 g/cu cm The timber is rarely utilized, possibly because of its repulsive smell when fresh. Wood not durable and resistant to insect attack. Quamwood is a potential source of paper pulp and plywood. | The tree can provide fuelwood. | A number of amino acids are found in the seeds, however, a seed chymotrypsin inhibitor is also reported.","ornamental",13,NA,"true","false",NA,"false","sp4197"
"Schizolobium parahyba",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree",NA,NA,"Ornamental: A spectacular fast-growing tree popularly cultivated as an ornamental, especially beautiful in flower with masses of yellow gold blossoms. | Shade or shelter: Guapuruvu is an important shade tree. | Nitrogen fixing: No reports of nodulation are given for guapuruvu. | Timber: Wood with a low specific gravity of0.28-0.35 g/cu cm The timber is rarely utilized, possibly because of its repulsive smell when fresh. Wood not durable and resistant to insect attack. Quamwood is a potential source of paper pulp and plywood. | The tree can provide fuelwood. | A number of amino acids are found in the seeds, however, a seed chymotrypsin inhibitor is also reported.","fuel",7,NA,"true","false",NA,"false","sp4197"
"Schizolobium parahyba",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree",NA,NA,"Ornamental: A spectacular fast-growing tree popularly cultivated as an ornamental, especially beautiful in flower with masses of yellow gold blossoms. | Shade or shelter: Guapuruvu is an important shade tree. | Nitrogen fixing: No reports of nodulation are given for guapuruvu. | Timber: Wood with a low specific gravity of0.28-0.35 g/cu cm The timber is rarely utilized, possibly because of its repulsive smell when fresh. Wood not durable and resistant to insect attack. Quamwood is a potential source of paper pulp and plywood. | The tree can provide fuelwood. | A number of amino acids are found in the seeds, however, a seed chymotrypsin inhibitor is also reported.","food",1,NA,"true","false",NA,"true","sp4197"
"Schizolobium parahyba",NA,"Coradin, L; Siminski, A.; Reis, A. (eds.) 2011. Espécies nativas da flora brasileira de valor econômico atual ou potencial: plantas para o futuro – Região Sul. – Brasília: MMA. 934p.",NA,"tree","Brazil",NA,"timber","timber",9,NA,"false","true",NA,"false","sp4197"
"Swietenia macrophylla",NA,"wikipedia","https://en.wikipedia.org/wiki/Swietenia_macrophylla","tree","neotropical","cultivated",NA,"timber",9,NA,"false","false",NA,"false","sp4550"
"Swietenia macrophylla",NA,"Brazilian Woods database","http://sistemas.florestal.gov.br/madeirasdobrasil","tree","Brazil",NA,NA,"timber",9,NA,"false","true",NA,"false","sp4550"
"Swietenia macrophylla",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Ornamental: Planted as a lawn tree in peninsular Malaysia. | Shade or shelter: S. macrophylla is used as a shade tree, for example, for young plantations of dipterocarps. | Medicine: Various medicinal uses of parts of the tree are reported from Central America. | Gum or resin: A gum is produced from cuts in the bark for markets in Bombay, India, it is marketed in both pure form and mixed with other gums. | Timber: The high value attached to S. macrophylla wood in the international markets is well known. The heartwood is red-brown in appearance. The density of the wood of plantation-grown trees is often somewhat less than that of trees from the forest in the natural area of distribution and weighs 485-840 kg/m? at 12% mc. The wood has been used in interior panelling, joinery work, turnery, furniture, plywood and heavy construction work. Veneer quality is limited by colour variation, wavy grain, pin knots and pinhole borer damage. | Lipids: An oil that might be of some commercial value can be extracted from the seed kernels. | S. macrophylla has been used in reforestation projects and has proved to be suitable in areas not protected from grazing.","resins_gums",5,NA,"true","false",NA,"false","sp4550"
"Swietenia macrophylla",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Ornamental: Planted as a lawn tree in peninsular Malaysia. | Shade or shelter: S. macrophylla is used as a shade tree, for example, for young plantations of dipterocarps. | Medicine: Various medicinal uses of parts of the tree are reported from Central America. | Gum or resin: A gum is produced from cuts in the bark for markets in Bombay, India, it is marketed in both pure form and mixed with other gums. | Timber: The high value attached to S. macrophylla wood in the international markets is well known. The heartwood is red-brown in appearance. The density of the wood of plantation-grown trees is often somewhat less than that of trees from the forest in the natural area of distribution and weighs 485-840 kg/m? at 12% mc. The wood has been used in interior panelling, joinery work, turnery, furniture, plywood and heavy construction work. Veneer quality is limited by colour variation, wavy grain, pin knots and pinhole borer damage. | Lipids: An oil that might be of some commercial value can be extracted from the seed kernels. | S. macrophylla has been used in reforestation projects and has proved to be suitable in areas not protected from grazing.","timber",9,NA,"true","false",NA,"false","sp4550"
"Swietenia macrophylla",NA,"Mark, J., Newton, A.C, Oldfield, S. & Rivers, M. (2014). The International Timber Trade: A Working List of Commercial Timber Tree Species.  Botanic Gardens Conservation International, Richmond, UK. 56p.","https://www.bgci.org/resources/bgci-tools-and-resources/a-working-list-of-commercial-timber-tree-species/","tree",NA,NA,"list provided by GTA. Note: I haven’t updated it for taxonomy so there might be some issues","timber",9,NA,"true","false",NA,"false","sp4550"
"Swietenia macrophylla",NA,"Agroforestree database: This database It is intended to help field workers and researchers in selecting appropriate species for agroforestry systems and technologies. This project has been funded by the British Department for International Development (DFID, the European Union and the World Agroforestry Centre (ICRAF).","http://old.worldagroforestry.org/treedb","tree","native from Brazil",NA,"Ornamental: Planted as a lawn tree in peninsular Malaysia. | Shade or shelter: S. macrophylla is used as a shade tree, for example, for young plantations of dipterocarps. | Medicine: Various medicinal uses of parts of the tree are reported from Central America. | Gum or resin: A gum is produced from cuts in the bark for markets in Bombay, India, it is marketed in both pure form and mixed with other gums. | Timber: The high value attached to S. macrophylla wood in the international markets is well known. The heartwood is red-brown in appearance. The density of the wood of plantation-grown trees is often somewhat less than that of trees from the forest in the natural area of distribution and weighs 485-840 kg/m? at 12% mc. The wood has been used in interior panelling, joinery work, turnery, furniture, plywood and heavy construction work. Veneer quality is limited by colour variation, wavy grain, pin knots and pinhole borer damage. | Lipids: An oil that might be of some commercial value can be extracted from the seed kernels. | S. macrophylla has been used in reforestation projects and has proved to be suitable in areas not protected from grazing.","medicinal",3,NA,"true","false",NA,"true","sp4550"
