"validName","name","speciesName","speciesAuthor","infraType","infrarankAuthor","infrarankName"
"Abarema auriculata","Pithecellobium auriculatum","Pithecellobium auriculatum","Benth.",NA,NA,NA
"Abarema brachystachya","Abarema obovata","Abarema obovata","(Benth.) Barneby & J.W.Grimes",NA,NA,NA
"Abarema brachystachya","Pithecellobium lusorium","Pithecellobium lusorium","(Vell.) Benth.",NA,NA,NA
"Abarema brachystachya","Inga brachystachya","Inga brachystachya","DC.",NA,NA,NA
"Abarema cochleata","Inga cochleata","Inga cochleata","Willd.",NA,NA,NA
"Abarema cochliacarpos","Abarema cochliocarpos","Abarema cochliocarpos","(Gomes) Barneby & J.W.Grimes",NA,NA,NA
"Abarema cochliacarpos","Pithecolobium cochliocarpum","Pithecolobium cochliocarpum","(Gomes) J.F.Macbr.",NA,NA,NA
"Abarema cochliacarpos","Pithecolobium auaremotemo","Pithecolobium auaremotemo","Mart.",NA,NA,NA
"Abarema cochliacarpos","Mimosa cochliacarpos","Mimosa cochliacarpos","Gomes",NA,NA,NA
"Abarema filamentosa","Pithecellobium filamentosum","Pithecellobium filamentosum","Benth.",NA,NA,NA
"Abarema jupunba","Acacia jupunba","Acacia jupunba","Willdenow",NA,NA,NA
"Abarema laeta","Pithecellobium laetum","Pithecellobium laetum","(Poepp. & Endl.) Benth.",NA,NA,NA
"Abarema laeta","Inga laeta","Inga laeta","Benth.",NA,NA,NA
"Abarema langsdorffii","Pithecellobium langsdorffii","Pithecellobium langsdorffii","Benth.",NA,NA,NA
"Abarema turbinata","Pithecellobium turbinatum","Pithecellobium turbinatum","Benth.",NA,NA,NA
"Abatia americana","Abatia tomentosa","Abatia tomentosa","Mart. ex Eichler",NA,NA,NA
"Abatia americana","Abatia brasiliensis","Abatia brasiliensis","Baillon",NA,NA,NA
"Abatia americana","Raleighia americana","Raleighia americana","Gardner",NA,NA,NA
"Abutilon grandifolium","Abutilon molle","Abutilon molle","(Ortega) Sweet",NA,NA,NA
"Acalypha brasiliensis","Acalypha brasiliensis var. angustifolia","Acalypha brasiliensis",NA,"var.","Pax & K.Hoffm.","angustifolia"
"Acalypha brasiliensis","Acalypha brasiliensis var. asterotricha","Acalypha brasiliensis",NA,"var.","Müll.Arg.","asterotricha"
"Acalypha brasiliensis","Acalypha brasiliensis var. brevipes","Acalypha brasiliensis",NA,"var.","Müll.Arg.","brevipes"
"Acalypha brasiliensis","Acalypha brasiliensis var. cordata","Acalypha brasiliensis",NA,"var.","(Müll.Arg.) Müll.Arg.","cordata"
"Acalypha brasiliensis","Acalypha brasiliensis var. glabrata","Acalypha brasiliensis",NA,"var.","Müll.Arg.","glabrata"
"Acalypha brasiliensis","Acalypha brasiliensis var. longipes","Acalypha brasiliensis",NA,"var.","Müll.Arg.","longipes"
"Acalypha brasiliensis","Acalypha brasiliensis var. maxima","Acalypha brasiliensis",NA,"var.","Müll.Arg.","maxima"
"Acalypha brasiliensis","Acalypha brasiliensis var. obtusa","Acalypha brasiliensis",NA,"var.","(Müll.Arg.) Müll.Arg.","obtusa"
"Acalypha communis","Acalypha agrestis","Acalypha agrestis","Morong ex Britton",NA,NA,NA
"Acalypha communis","Acalypha amphigyne","Acalypha amphigyne","Moore",NA,NA,NA
"Acalypha communis","Acalypha apicalis","Acalypha apicalis","N.E.Br.",NA,NA,NA
"Acalypha communis","Acalypha communis var. agrestis","Acalypha communis",NA,"var.","(Morong ex Britton) Chodat & Hassl.","agrestis"
"Acalypha communis","Acalypha communis var. guaranitica","Acalypha communis",NA,"var.","Chodat & Hassl.","guaranitica"
"Acalypha communis","Acalypha communis var. hirta","Acalypha communis",NA,"var.","(Spreng.) Müll.Arg.","hirta"
"Acalypha communis","Acalypha communis var. hirtiformis","Acalypha communis",NA,"var.","Pax & K.Hoffm.","hirtiformis"
