"taxon_id","kingdom","phylum","classname","ordername","family","genus","species","taxonomicAuthority","Redlist_id","TaxonomicReference","TaxonomicNotes.value"
"sp1","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abarema","Abarema auriculata","(Benth.) Barneby & J.W.Grimes","145688533","More taxonomic information on this species can be found at: http://servicos.jbrj.gov.br/flora/search/Abarema_auriculata. According to Tropicos (www.tropicos.org), this species was published in: Mem. New York Bot. Gard. 74(1): 62 (1996).","This taxon is accepted and is taken as being correct by the Brazilian Flora 2020 (http://floradobrasil.jbrj.gov.br)."
"sp2","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abarema","Abarema barnebyana","Iganci & M.P.Morim",NA,"More taxonomic information on this species can be found at: http://servicos.jbrj.gov.br/flora/search/Abarema_barnebyana. According to Tropicos (www.tropicos.org), this species was published in: Kew Bull. 64(2): 272–274, 276, f. 2 (2009).","This taxon is accepted and is taken as being correct by the Brazilian Flora 2020 (http://floradobrasil.jbrj.gov.br)."
"sp3","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abarema","Abarema brachystachya","(DC.) Barneby & J.W.Grimes",NA,"More taxonomic information on this species can be found at: http://servicos.jbrj.gov.br/flora/search/Abarema_brachystachya. According to Tropicos (www.tropicos.org), this species was published in: Mem. New York Bot. Gard. 74(1): 91 (1996).","This taxon is accepted and is taken as being correct by the Brazilian Flora 2020 (http://floradobrasil.jbrj.gov.br)."
"sp4","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abarema","Abarema cochleata","(Willd.) Barneby & J.W.Grimes","62465","More taxonomic information on this species can be found at: http://servicos.jbrj.gov.br/flora/search/Abarema_cochleata. According to Tropicos (www.tropicos.org), this species was published in: Mem. New York Bot. Gard. 74(1): 83 (1996).","This taxon is accepted and is taken as being correct by the Brazilian Flora 2020 (http://floradobrasil.jbrj.gov.br)."
"sp5","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abarema","Abarema cochliacarpos","(Gomes) Barneby & J.W.Grimes",NA,"More taxonomic information on this species can be found at: http://servicos.jbrj.gov.br/flora/search/Abarema_cochliacarpos. According to Tropicos (www.tropicos.org), this species was published in: Mem. New York Bot. Gard. 74(1): 94 (1996).","This taxon is accepted and is taken as being correct by the Brazilian Flora 2020 (http://floradobrasil.jbrj.gov.br)."
"sp6","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abarema","Abarema filamentosa","(Benth.) Pittier","36558","More taxonomic information on this species can be found at: http://servicos.jbrj.gov.br/flora/search/Abarema_filamentosa. According to Tropicos (www.tropicos.org), this species was published in: Trab. Mus. Comercial Venezuela 2: 86 (1927).","This taxon is accepted and is taken as being correct by the Brazilian Flora 2020 (http://floradobrasil.jbrj.gov.br)."
"sp7","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abarema","Abarema jupunba","(Willd.) Britton & Killip","144254416","More taxonomic information on this species can be found at: http://servicos.jbrj.gov.br/flora/search/Abarema_jupunba. According to Tropicos (www.tropicos.org), this species was published in: Ann. New York Acad. Sci. 35(3): 126 (1936).","This taxon is accepted and is taken as being correct by the Brazilian Flora 2020 (http://floradobrasil.jbrj.gov.br)."
"sp8","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abarema","Abarema laeta","(Benth.) Barneby & J.W.Grimes","22484074","More taxonomic information on this species can be found at: http://servicos.jbrj.gov.br/flora/search/Abarema_laeta. According to Tropicos (www.tropicos.org), this species was published in: Mem. New York Bot. Gard. 74(1): 79 (1996).","This taxon is accepted and is taken as being correct by the Brazilian Flora 2020 (http://floradobrasil.jbrj.gov.br)."
"sp9","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abarema","Abarema langsdorffii","(Benth.) Barneby & J.W.Grimes",NA,"More taxonomic information on this species can be found at: http://servicos.jbrj.gov.br/flora/search/Abarema_langsdorffii. According to Tropicos (www.tropicos.org), this species was published in: Mem. New York Bot. Gard. 74(1): 95 (1996).","This taxon is accepted and is taken as being correct by the Brazilian Flora 2020 (http://floradobrasil.jbrj.gov.br)."
"sp10","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abarema","Abarema limae","Iganci & M.P.Morim",NA,"More taxonomic information on this species can be found at: http://servicos.jbrj.gov.br/flora/search/Abarema_limae. According to Tropicos (www.tropicos.org), this species was published in: Kew Bull. 64(2): 276, f. 3 (2009).","This taxon is accepted and is taken as being correct by the Brazilian Flora 2020 (http://floradobrasil.jbrj.gov.br)."
