"family","species","endemism.level.1","endemism.level.2","endemic","endemic.BR"
"Fabaceae","Abarema auriculata",2.631579,2.702703,"occasional","not_endemic"
"Fabaceae","Abarema barnebyana",100,100,"endemic","endemic"
"Fabaceae","Abarema brachystachya",95.780591,95.412844,"endemic","endemic"
"Fabaceae","Abarema cochleata",0.754717,0.790514,"occasional","endemic"
"Fabaceae","Abarema cochliacarpos",86.965377,86.582809,"endemic","endemic"
"Fabaceae","Abarema filamentosa",99.395161,99.390244,"endemic","endemic"
"Fabaceae","Abarema jupunba",9,9.392265,"occasional","not_endemic"
"Fabaceae","Abarema laeta",0.900901,0.925926,"occasional","not_endemic"
"Fabaceae","Abarema langsdorffii",100,100,"endemic","endemic"
"Fabaceae","Abarema limae",100,100,"endemic","endemic"
"Fabaceae","Abarema turbinata",100,100,"endemic","endemic"
"Fabaceae","Abarema villosa",48.275862,48.275862,"widespread_sparse","endemic"
"Salicaceae","Abatia americana",99.415205,99.047619,"endemic","endemic"
"Malvaceae","Abutilon grandifolium",7.246377,4.255319,"occasional","not_endemic"
"Malvaceae","Abutilon ramiflorum",25.342466,14.150943,"widespread_sparse","not_endemic"
"Euphorbiaceae","Acalypha brasiliensis",84.409449,86.290323,"widespread_common","not_endemic"
"Euphorbiaceae","Acalypha communis",39.280125,25.503356,"widespread_sparse","not_endemic"
"Euphorbiaceae","Acalypha cuneata",3.807391,3.476246,"occasional","not_endemic"
"Euphorbiaceae","Acalypha diversifolia",0.917431,1.036096,"occasional","not_endemic"
"Euphorbiaceae","Acalypha gracilis",85.383244,83.773585,"widespread_common","endemic"
"Euphorbiaceae","Acalypha macrostachya",0.497925,0.371575,"occasional","not_endemic"
"Euphorbiaceae","Acalypha multicaulis",32.512315,27.508091,"widespread_sparse","not_endemic"
"Euphorbiaceae","Acalypha villosa",3.00158,3.278689,"occasional","endemic"
"Polygalaceae","Acanthocladus brasiliensis",92.753623,94.545455,"endemic","endemic"
"Polygalaceae","Acanthocladus dichromus",36.486486,29.508197,"widespread_sparse","not_endemic"
"Polygalaceae","Acanthocladus pulcherrimus",100,100,"endemic","endemic"
"Polygalaceae","Acanthocladus santosii",100,100,"endemic","endemic"
"Santalaceae","Acanthosyris paulo-alvinii",100,100,"widespread_common","endemic"
"Santalaceae","Acanthosyris spinescens",NA,NA,"not_endemic","not_endemic"
"Myrtaceae","Accara elegans",76.136364,76.136364,"widespread_common","endemic"
"Achatocarpaceae","Achatocarpus hasslerianus",100,100,"endemic",NA
"Achatocarpaceae","Achatocarpus praecox",NA,NA,"not_endemic","not_endemic"
"Fabaceae","Acosmium diffusissimum",66.666667,66.666667,"widespread_common","endemic"
"Fabaceae","Acosmium lentiscifolium",97.810219,97.709924,"endemic","endemic"
"Asteraceae","Acritopappus confertus",51.149425,47.770701,"widespread_sparse","endemic"
"Asteraceae","Acritopappus connatifolius",75,75,"widespread_common","endemic"
"Asteraceae","Acritopappus heterolepis",63.333333,61.403509,"widespread_common","endemic"
"Asteraceae","Acritopappus prunifolius",45.454545,45.454545,"widespread_sparse","endemic"
"Arecaceae","Acrocomia aculeata",10.037175,12.643678,"occasional","not_endemic"
"Arecaceae","Acrocomia intumescens",93.333333,85.714286,"endemic","endemic"
"Poaceae","Actinocladum verticillatum",5.625,5.625,"occasional","not_endemic"
"Euphorbiaceae","Actinostemon appendiculatus",100,100,"endemic","endemic"
"Euphorbiaceae","Actinostemon concepcionis",50,50.561798,"widespread_common","not_endemic"
"Euphorbiaceae","Actinostemon concolor",80.493537,78.543307,"widespread_common","not_endemic"
"Euphorbiaceae","Actinostemon echinatus",100,100,"endemic","endemic"
"Euphorbiaceae","Actinostemon klotzschii",88.192771,89.265537,"endemic","not_endemic"
"Euphorbiaceae","Actinostemon roseliae",100,100,"endemic","endemic"
"Euphorbiaceae","Actinostemon verticillatus",93.040293,93.061224,"endemic","endemic"
"Euphorbiaceae","Adelia membranifolia",33.333333,31.578947,"widespread_sparse","not_endemic"
"Bignoniaceae","Adenocalymma subsessilifolium",100,100,"endemic","endemic"
"Euphorbiaceae","Adenophaedra megalophylla",95.833333,100,"endemic","not_endemic"
"Lamiaceae","Aegiphila australis",100,100,"endemic","endemic"
"Lamiaceae","Aegiphila brachiata",81.403509,69.18239,"widespread_common","not_endemic"
"Lamiaceae","Aegiphila fluminensis",99.130435,98.734177,"endemic","endemic"
"Lamiaceae","Aegiphila graveolens",88.571429,88.571429,"endemic","endemic"
"Lamiaceae","Aegiphila integrifolia",46.998536,42.291221,"widespread_sparse","not_endemic"
"Lamiaceae","Aegiphila laevis",7.619048,16,"widespread_sparse","not_endemic"
"Lamiaceae","Aegiphila luschnathii",100,100,"endemic","endemic"
"Lamiaceae","Aegiphila mediterranea",92.592593,93.181818,"endemic","not_endemic"
"Lamiaceae","Aegiphila novofriburgensis",100,100,"endemic","endemic"
"Lamiaceae","Aegiphila obducta",98.159509,98.630137,"endemic","endemic"
"Lamiaceae","Aegiphila pernambucensis",94.202899,94.871795,"endemic","endemic"
"Lamiaceae","Aegiphila racemosa",17.948718,17.117117,"widespread_sparse","not_endemic"
"Lamiaceae","Aegiphila riedeliana",63.636364,63.636364,"endemic","endemic"
"Lamiaceae","Aegiphila verticillata",42.100098,43.611794,"widespread_sparse","not_endemic"
"Lamiaceae","Aegiphila vitelliniflora",55.555556,54.243542,"widespread_common","not_endemic"
"Malpighiaceae","Aenigmatanthera lasiandra",0.843882,0.858369,"occasional","not_endemic"
"Fabaceae","Aeschynomene ciliata",22.047244,24.778761,"widespread_sparse","not_endemic"
"Fabaceae","Aeschynomene sensitiva",18.503937,18.500797,"widespread_sparse","not_endemic"
"Ericaceae","Agarista coriifolia",52.459016,48.447205,"widespread_sparse","endemic"
"Ericaceae","Agarista eucalyptoides",51.428571,47.916667,"widespread_sparse","not_endemic"
"Ericaceae","Agarista glaberrima",42.176871,40.714286,"widespread_sparse","endemic"
