familia,nome cient­fico,autor,categoria,crit?rio,avaliador,revisor,justificativa,data da avaliacao,link,bioma
ACANTHACEAE,Aphelandra espirito-santensis,Profice & Wassh.,EN,B1ab(iii),Julia Caram Sfair,Tainan Messina,"Como o ep¡teto espec¡fico sugere, ? uma esp‚cie endˆmica do Esp¡rito Santo, ocorre no munic¡pio de Linhares e, portanto, com distribui‡Æo restrita (EOO=495,65 kmì). S’o conhecidas quatro subpopula?„es, interpretadas como situa?„es de amea?as distintas. Todas as coletas foram feitas em unidades de conserva‡Æo, mas as ÿreas protegidas est’o sujeitas a amea?as e ao decl¡nio cont¡nuo da qualidade de hÿbitat. A Reserva Biol½gica de Sooretama, por exemplo, tem como amea?as mais severas os inc?ndios de origem antr½pica e as esp‚cies ex½ticas invasoras. Portanto, A. espirito-santensis foi considerada ""Em perigo"" (EN).",3/14/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Aphelandra%20espirito-santensis,AtlanticForest
ACANTHACEAE,Aphelandra gigantea,(Rizzini) Profice,LC,,Julia Caram Sfair,Tainan Messina,"tamb‚m conhecida como Crista-de-Galinha, a esp‚cie possui ampla distribui‡Æo (EOO=54.858,58kmì) e ? encontrada nos estados de Esp¡rito Santo, Minas Gerais e Bahia. N’o hÿ amea?as registradas para a esp‚cie, que ocorre na Reserva Florestal de Bananal do Norte, ES. Dessa maneira, a esp‚cie ? considerada com baixo risco de extin‡Æo. Entretanto, apesar de possuir diversas coletas, as subpopula?„es podem estar severamente fragmentadas, demandando estudos para se verificar o estado de conserva‡Æo de cada subpopula‡Æo.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Aphelandra%20gigantea,AtlanticForest
ACANTHACEAE,Aphelandra hirta,(Klotzsch) Wassh.,LC,,Julia Caram Sfair,Tainan Messina,"A. hirta possui ampla distribui‡Æo (EOO = 99.587,830kmì), ocorrendo de maneira descont¡nua ao longo da floresta ombr½fila densa atlŸntica. Encontrada em pelo menos quatro unidades de conserva‡Æo (SNUC). Dessa maneira, a esp‚cie ? considerada como pouco amea?ada de extin‡Æo (LC). Entretanto a esp‚cie ocorre em ÿreas que sofreram grande perda de habitat, o que n’o descarta futuros estudos para se verificar o estado de conserva‡Æo da esp‚cie.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Aphelandra%20hirta,AtlanticForest
ACANTHACEAE,Aphelandra longiflora,(Lindl.) Profice,LC,,Julia Caram Sfair,Tainan Messina,"esp‚cie de ampla distribui‡Æo e ? encontrada em diversas unidades de conserva‡Æo (SNUC) do Brasil. Novos estudos devem ser feitos com o objetivo de estudar o atual estado de conserva‡Æo de subpopula?„es disjuntas, localizadas no Estado do Cearÿ, ao sul da Amaz?nia e na ilha de Maraj½.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Aphelandra%20longiflora,Amazonia|AtlanticForest|Cerrado
ACANTHACEAE,Aphelandra margaritae,E.Morren,VU,B1ab(iii),Julia Caram Sfair,Tainan Messina,"Apesar de amplamente coletada e de ocorrer em pelo menos tr?s unidades de conserva‡Æo (SNUC), essa esp‚cie tem uma distribui‡Æo relativamente restrita (EOO=7.147,62 kmì). Al?m disso, sua limitada capacidade de dispers’o resulta em uma estrutura populacional severamente fragmentada. Aphelandra margaritae ocorre em ÿreas de Floresta Ombr½fila Densa, fitofisionomia que sofreu grande perda de hÿbitat nos œltimos 30 anos, e que ainda estÿ sujeita ao decl¡nio cont¡nuo de qualidade de hÿbitat. O munic¡pio de Itagua?u, por exemplo, perdeu 1,5% de florestas somente entre 2008 e 2010. Portanto, A. margaritae foi considerada ""Vulnerÿvel"" (VU).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Aphelandra%20margaritae,AtlanticForest
ACANTHACEAE,Aphelandra maximiliana,(Nees) Benth.,EN,B1ab(iii),Julia Caram Sfair,Tainan Messina,"Aphelandra maximiliana ? encontrada apenas em ÿreas de Floresta Ombr½fila Montana do Estado do Esp¡rito Santo, e tem EOO de 1.961,93 kmì. Apesar de amplamente coletada, a esp‚cie apresenta distribui‡Æo restrita. Sua limitada capacidade de dispers’o sugere uma estrutura populacional severamente fragmentada. Al?m disso, a esp‚cie estÿ sujeita ao decl¡nio cont¡nuo da qualidade de hÿbitat. O munic¡pio de Santa Leopoldina, por exemplo, teve uma redu‡Æo de 2% em suas florestas somente entre 2008 e 2010, evidenciando perda de hÿbitat. Dessa maneira, A. maximiliana ? considerada uma esp‚cie ""Em perigo"" (EN).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Aphelandra%20maximiliana,AtlanticForest
ACANTHACEAE,Aphelandra nitida,Nees & Mart.,LC,,Julia Caram Sfair,Tainan Messina,"O habitat de ?A. nitida ser a Floresta AtlŸntica Ombr½fila Densa presente no litoral, vegeta‡Æo que tem sofrido desmatamento intenso. Entretanto, a esp‚cie possui ampla distribui‡Æo e ocorre em algumas unidades de conserva‡Æo (SNUC). A. nitida tamb‚m possui pelo menos uma subpopula‡Æo abundante (APA Costa de Itacar?, BA), indicando que a esp‚cie pode ser relativamente frequente nos locais onde ocorre.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Aphelandra%20nitida,AtlanticForest
ACANTHACEAE,Aphelandra prismatica,(Vell.) Hiern,LC,,Julia Caram Sfair,Tainan Messina," uma esp‚cie amplamente distribu¡da que, apesar de ocorrer em ÿrea com intensa press’o antr½pica, tamb‚m ocorre em vÿrias unidades de conserva‡Æo (SNUC).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Aphelandra%20prismatica,AtlanticForest
ACANTHACEAE,Aphelandra schottiana,(Nees) Profice,LC,,Julia Caram Sfair,Tainan Messina," uma esp‚cie t¡pica de Mata AtlŸntica, encontrada em diferentes fisionomias. Apesar de haver ind¡cios que as subpopula?„es s’o pequenas, a esp‚cie possui ampla distribui‡Æo e ocorre em pelo menos cinco unidades de conserva‡Æo (SNUC).",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Aphelandra%20schottiana,AtlanticForest
ACANTHACEAE,Aphelandra squarrosa,Nees,LC,,Julia Caram Sfair,Tainan Messina,"Planta arbustiva ornamental e endˆmica do Brasil, encontrada em floresta estacional semidec¡dua e floresta ombr½fila na Mata AtlŸntica.  amplamente distribu¡da (EOO=53.618,950 kmì) e encontrada em pelo menos cinco unidades de conserva‡Æo (SNUC). N’o hÿ amea?as registradas para a esp‚cie. Dessa maneira, A. squarrosa ? considerada como ""Menos preocupante"" (LC) com rela‡Æo ao risco de extin‡Æo.",04/04/2012,http://cncflora.jbrj.gov.br/portal/pt-br/profile/Aphelandra%20squarrosa,AtlanticForest
