"GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup","GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName","GeneralHabitats.GeneralHabitatsSubfield.majorImportance","GeneralHabitats.GeneralHabitatsSubfield.season","GeneralHabitats.GeneralHabitatsSubfield.suitability","internal_taxon_id"
1.6,NA,NA,"resident","Suitable","sp1"
3.5,NA,NA,"resident","Suitable","sp1"
1.6,NA,NA,"resident","Suitable","sp2"
3.5,NA,NA,"resident","Suitable","sp2"
3.5,NA,NA,"resident","Suitable","sp3"
NA,NA,NA,"resident","Suitable","sp3"
1.6,NA,NA,"resident","Suitable","sp4"
3.5,NA,NA,"resident","Suitable","sp4"
NA,NA,NA,"resident","Suitable","sp4"
NA,NA,NA,"resident","Suitable","sp4"
1.6,NA,NA,"resident","Suitable","sp5"
2.1,NA,NA,"resident","Suitable","sp5"
3.5,NA,NA,"resident","Suitable","sp5"
NA,NA,NA,"resident","Suitable","sp5"
3.5,NA,NA,"resident","Suitable","sp6"
NA,NA,NA,"resident","Suitable","sp6"
1.6,NA,NA,"resident","Suitable","sp7"
1.6,NA,NA,"resident","Suitable","sp8"
2.1,NA,NA,"resident","Suitable","sp9"
4.7,NA,NA,"resident","Suitable","sp9"
NA,NA,NA,"resident","Suitable","sp9"
1.6,NA,NA,"resident","Suitable","sp10"
NA,NA,NA,"resident","Suitable","sp10"
3.5,NA,NA,"resident","Suitable","sp11"
1.6,NA,NA,"resident","Suitable","sp12"
NA,NA,NA,"resident","Suitable","sp12"
1.6,NA,NA,"resident","Suitable","sp13"
1.6,NA,NA,"resident","Suitable","sp14"
NA,NA,NA,"resident","Suitable","sp14"
2.1,NA,NA,"resident","Suitable","sp15"
NA,NA,NA,"resident","Suitable","sp15"
1.6,NA,NA,"resident","Suitable","sp16"
2.1,NA,NA,"resident","Suitable","sp16"
NA,NA,NA,"resident","Suitable","sp16"
NA,NA,NA,"resident","Suitable","sp16"
1.5,NA,NA,"resident","Suitable","sp17"
1.6,NA,NA,"resident","Suitable","sp17"
2.1,NA,NA,"resident","Suitable","sp17"
NA,NA,NA,"resident","Suitable","sp17"
1.6,NA,NA,"resident","Suitable","sp18"
NA,NA,NA,"resident","Suitable","sp18"
1.6,NA,NA,"resident","Suitable","sp19"
2.1,NA,NA,"resident","Suitable","sp19"
NA,NA,NA,"resident","Suitable","sp19"
1.6,NA,NA,"resident","Suitable","sp20"
NA,NA,NA,"resident","Suitable","sp20"
1.6,NA,NA,"resident","Suitable","sp21"
NA,NA,NA,"resident","Suitable","sp21"
1.6,NA,NA,"resident","Suitable","sp22"
2.1,NA,NA,"resident","Suitable","sp22"
NA,NA,NA,"resident","Suitable","sp22"
NA,NA,NA,"resident","Suitable","sp22"
1.5,NA,NA,"resident","Suitable","sp23"
1.6,NA,NA,"resident","Suitable","sp23"
2.1,NA,NA,"resident","Suitable","sp23"
NA,NA,NA,"resident","Suitable","sp23"
1.6,NA,NA,"resident","Suitable","sp24"
1.6,NA,NA,"resident","Suitable","sp25"
2.1,NA,NA,"resident","Suitable","sp25"
1.6,NA,NA,"resident","Suitable","sp26"
1.6,NA,NA,"resident","Suitable","sp27"
2.1,NA,NA,"resident","Suitable","sp28"
1.5,NA,NA,"resident","Suitable","sp29"
1.6,NA,NA,"resident","Suitable","sp29"
2.1,NA,NA,"resident","Suitable","sp29"
2.1,NA,NA,"resident","Suitable","sp30"
4.7,NA,NA,"resident","Suitable","sp30"
1.6,NA,NA,"resident","Suitable","sp31"
1.5,NA,NA,"resident","Suitable","sp32"
2.1,NA,NA,"resident","Suitable","sp32"
1.5,NA,NA,"resident","Suitable","sp33"
1.6,NA,NA,"resident","Suitable","sp33"
NA,NA,NA,"resident","Suitable","sp33"
3.5,NA,NA,"resident","Suitable","sp34"
NA,NA,NA,"resident","Suitable","sp34"
4.7,NA,NA,"resident","Suitable","sp35"
4.7,NA,NA,"resident","Suitable","sp36"
2.1,NA,NA,"resident","Suitable","sp37"
4.7,NA,NA,"resident","Suitable","sp37"
NA,NA,NA,"resident","Suitable","sp37"
1.6,NA,NA,"resident","Suitable","sp38"
2.1,NA,NA,"resident","Suitable","sp38"
NA,NA,NA,"resident","Suitable","sp38"
NA,NA,NA,"resident","Suitable","sp38"
1.6,NA,NA,"resident","Suitable","sp39"
NA,NA,NA,"resident","Suitable","sp40"
NA,NA,NA,"resident","Suitable","sp40"
1.6,NA,NA,"resident","Suitable","sp41"
2.1,NA,NA,"resident","Suitable","sp41"
NA,NA,NA,"resident","Suitable","sp41"
1.6,NA,NA,"resident","Suitable","sp42"
2.1,NA,NA,"resident","Suitable","sp42"
3.5,NA,NA,"resident","Suitable","sp42"
NA,NA,NA,"resident","Suitable","sp42"
NA,NA,NA,"resident","Suitable","sp42"
1.6,NA,NA,"resident","Suitable","sp43"
1.6,NA,NA,"resident","Suitable","sp44"
NA,NA,NA,"resident","Suitable","sp44"
NA,NA,NA,"resident","Suitable","sp45"
NA,NA,NA,"resident","Suitable","sp45"
1.6,NA,NA,"resident","Suitable","sp46"
1.5,NA,NA,"resident","Suitable","sp47"
NA,NA,NA,"resident","Suitable","sp47"
1.6,NA,NA,"resident","Suitable","sp48"
NA,NA,NA,"resident","Suitable","sp48"
1.6,NA,NA,"resident","Suitable","sp49"
3.5,NA,NA,"resident","Suitable","sp50"
1.5,NA,NA,"resident","Suitable","sp51"
1.6,NA,NA,"resident","Suitable","sp51"
NA,NA,NA,"resident","Suitable","sp51"
NA,NA,NA,"resident","Suitable","sp51"
1.6,NA,NA,"resident","Suitable","sp52"
NA,NA,NA,"resident","Suitable","sp52"
1.6,NA,NA,"resident","Suitable","sp53"
3.5,NA,NA,"resident","Suitable","sp53"
