species.correct
Adenophaedra megalophylla
Aiouea montana
Alchornea sidifolia
Allophylus guaraniticus
Annona maritima
Ateleia glazioveana
Ateleia venezuelensis
Athenaea fasciculata
Azara uruguayensis
Baccharis longiattenuata
Baccharis montana
Baccharis semiserrata
Balfourodendron riedelianum
Bastardiopsis densiflora
Bathysa australis
Bauhinia affinis
Bernardia pulchella
Bougainvillea praecox
Butia odorata
Calliandra foliolosa
Campomanesia guaviroba
Campomanesia xanthocarpa
Cariniana ianeirensis
Casearia lasiophylla
Casearia obliqua
Chrysophyllum gonocarpum
Citharexylum myrianthum
Citronella paniculata
Cleidion tricoccum
Conchocarpus longifolius
Conchocarpus rubrus
Cordia ecalyculata
Coussarea contracta
Dahlstedtia muehlbergiana
Dahlstedtia pinnata
Dalbergia foliolosa
Dalbergia frutescens
Daphnopsis racemosa
Daphnopsis sellowiana
Diatenopteryx sorbifolia
Drimys brasiliensis
Erythrina falcata
Erythroxylum argentinum
Erythroxylum coelophlebium
Escallonia bifida
Esenbeckia febrifuga
Esenbeckia grandiflora
Eugenia burkartiana
Eugenia excelsa
Eugenia ramboi
Euterpe edulis
Ficus adhatodifolia
Ficus clusiifolia
Ficus duartei
Ficus luschnathiana
Ficus mariae
Guapira obtusata
Guapira opposita
Gymnanthes edwalliana
Handroanthus pulcherrimus
Hennecartia omphalandra
Ilex brevicuspis
Ilex diospyroides
Ilex dumosa
Ilex paraguariensis
Inga virescens
Ixora venulosa
Jacaranda micrantha
Kaunia rufescens
Leandra carassana
Leandra cuneata
Leandra melastomoides
Leandra regnellii
Licania hoehnei
Lithraea brasiliensis
Machaerium stipitatum
Manihot grahamii
Matayba elaeagnoides
Miconia cinerascens
Miconia collatata
Miconia petropolitana
Miconia pusilliflora
Miconia staminea
Mimosa flocculosa
Monteverdia evonymoides
Muellera campestris
Myrceugenia euosma
Myrceugenia glaucescens
Myrcia oblongata
Myrcianthes gigantea
Myrciaria tenella
Myriocarpa stipitata
Myrocarpus frondosus
Myrrhinium atropurpureum
Myrsine balansae
Myrsine gardneriana
Myrsine loefgrenii
Myrsine parvifolia
Myrsine umbellata
Neea verticillata
Ocotea puberula
Ocotea spectabilis
Palicourea octocuspis
Phytolacca dioica
Picramnia parvifolia
Picrasma crenata
Pilocarpus pennatifolius
Pimenta pseudocaryophyllus
Pisonia ambigua
Plinia peruviana
Poecilanthe parviflora
Pouteria gallifructa
Prunus myrtifolia
Psidium cattleyanum
Psychotria suterella
Qualea cryptantha
Quararibea turbinata
Randia ferox
Rauia resinosa
Rauvolfia sellowii
Rhamnidium glabrum
Schinus engleri
Schinus ferox
Schinus terebinthifolia
Scyphonychium multiflorum
Senegalia recurva
Senna affinis
Sessea regnellii
Simira pikia
Sloanea lasiocoma
Sloanea multiflora
Sloanea obtusifolia
Solanum pseudoquina
Sophora tomentosa
Sorocea bonplandii
Strychnos brasiliensis
Styrax acuminatus
Styrax glabratus
Styrax leprosus
Symplocos celastrinea
Symplocos tenuifolia
Symplocos uniflora
Tabebuia stenocalyx
Talisia coriacea
Tetrorchidium dusenii
Trichilia pallens
Vernonanthura densiflora
Xylosma ciliatifolia
Xylosma pseudosalzmannii
