"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName"
NA,NA,NA,"sp1","Pithecellobium auriculatum Benth.","Benth.","Pithecellobium auriculatum"
NA,NA,NA,"sp3","Abarema obovata (Benth.) Barneby & J.W.Grimes","(Benth.) Barneby & J.W.Grimes","Abarema obovata"
NA,NA,NA,"sp3","Pithecellobium lusorium (Vell.) Benth.","(Vell.) Benth.","Pithecellobium lusorium"
NA,NA,NA,"sp3","Inga brachystachya DC.","DC.","Inga brachystachya"
NA,NA,NA,"sp4","Inga cochleata Willd.","Willd.","Inga cochleata"
NA,NA,NA,"sp5","Abarema cochliocarpos (Gomes) Barneby & J.W.Grimes","(Gomes) Barneby & J.W.Grimes","Abarema cochliocarpos"
NA,NA,NA,"sp5","Pithecolobium cochliocarpum (Gomes) J.F.Macbr.","(Gomes) J.F.Macbr.","Pithecolobium cochliocarpum"
NA,NA,NA,"sp5","Pithecolobium auaremotemo Mart.","Mart.","Pithecolobium auaremotemo"
NA,NA,NA,"sp5","Mimosa cochliacarpos Gomes","Gomes","Mimosa cochliacarpos"
NA,NA,NA,"sp6","Pithecellobium filamentosum Benth.","Benth.","Pithecellobium filamentosum"
NA,NA,NA,"sp7","Acacia jupunba Willdenow","Willdenow","Acacia jupunba"
NA,NA,NA,"sp8","Pithecellobium laetum (Poepp. & Endl.) Benth.","(Poepp. & Endl.) Benth.","Pithecellobium laetum"
NA,NA,NA,"sp8","Inga laeta Benth.","Benth.","Inga laeta"
NA,NA,NA,"sp9","Pithecellobium langsdorffii Benth.","Benth.","Pithecellobium langsdorffii"
NA,NA,NA,"sp11","Pithecellobium turbinatum Benth.","Benth.","Pithecellobium turbinatum"
NA,NA,NA,"sp13","Abatia tomentosa Mart. ex Eichler","Mart. ex Eichler","Abatia tomentosa"
NA,NA,NA,"sp13","Abatia brasiliensis Baillon","Baillon","Abatia brasiliensis"
NA,NA,NA,"sp13","Raleighia americana Gardner","Gardner","Raleighia americana"
NA,NA,NA,"sp14","Abutilon molle (Ortega) Sweet","(Ortega) Sweet","Abutilon molle"
"var.","Pax & K.Hoffm.","angustifolia","sp16","Acalypha brasiliensis var. angustifolia Pax & K.Hoffm.",NA,"Acalypha brasiliensis"
"var.","Müll.Arg.","asterotricha","sp16","Acalypha brasiliensis var. asterotricha Müll.Arg.",NA,"Acalypha brasiliensis"
"var.","Müll.Arg.","brevipes","sp16","Acalypha brasiliensis var. brevipes Müll.Arg.",NA,"Acalypha brasiliensis"
"var.","(Müll.Arg.) Müll.Arg.","cordata","sp16","Acalypha brasiliensis var. cordata (Müll.Arg.) Müll.Arg.",NA,"Acalypha brasiliensis"
"var.","Müll.Arg.","glabrata","sp16","Acalypha brasiliensis var. glabrata Müll.Arg.",NA,"Acalypha brasiliensis"
"var.","Müll.Arg.","longipes","sp16","Acalypha brasiliensis var. longipes Müll.Arg.",NA,"Acalypha brasiliensis"
"var.","Müll.Arg.","maxima","sp16","Acalypha brasiliensis var. maxima Müll.Arg.",NA,"Acalypha brasiliensis"
"var.","(Müll.Arg.) Müll.Arg.","obtusa","sp16","Acalypha brasiliensis var. obtusa (Müll.Arg.) Müll.Arg.",NA,"Acalypha brasiliensis"
NA,NA,NA,"sp17","Acalypha agrestis Morong ex Britton","Morong ex Britton","Acalypha agrestis"
NA,NA,NA,"sp17","Acalypha amphigyne Moore","Moore","Acalypha amphigyne"
NA,NA,NA,"sp17","Acalypha apicalis N.E.Br.","N.E.Br.","Acalypha apicalis"
"var.","(Morong ex Britton) Chodat & Hassl.","agrestis","sp17","Acalypha communis var. agrestis (Morong ex Britton) Chodat & Hassl.",NA,"Acalypha communis"
"var.","Chodat & Hassl.","guaranitica","sp17","Acalypha communis var. guaranitica Chodat & Hassl.",NA,"Acalypha communis"
"var.","(Spreng.) Müll.Arg.","hirta","sp17","Acalypha communis var. hirta (Spreng.) Müll.Arg.",NA,"Acalypha communis"
"var.","Pax & K.Hoffm.","hirtiformis","sp17","Acalypha communis var. hirtiformis Pax & K.Hoffm.",NA,"Acalypha communis"
"var.","Müll.Arg.","hispida","sp17","Acalypha communis var. hispida Müll.Arg.",NA,"Acalypha communis"
"var.","Müll.Arg.","intermedia","sp17","Acalypha communis var. intermedia Müll.Arg.",NA,"Acalypha communis"
"var.","Müll.Arg.","obscura","sp17","Acalypha communis var. obscura Müll.Arg.",NA,"Acalypha communis"
"var.","Müll.Arg.","pallida","sp17","Acalypha communis var. pallida Müll.Arg.",NA,"Acalypha communis"
"var.","Müll.Arg.","puberula","sp17","Acalypha communis var. puberula Müll.Arg.",NA,"Acalypha communis"
"var.","Griseb.","rotundata","sp17","Acalypha communis var. rotundata Griseb.",NA,"Acalypha communis"
"var.","Pax & K.Hoffm.","salicifolia","sp17","Acalypha communis var. salicifolia Pax & K.Hoffm.",NA,"Acalypha communis"
"var.","Pax & K.Hoffm.","saltensis","sp17","Acalypha communis var. saltensis Pax & K.Hoffm.",NA,"Acalypha communis"
"var.","Müll.Arg.","tomentella","sp17","Acalypha communis var. tomentella Müll.Arg.",NA,"Acalypha communis"
"var.","Müll.Arg.","tomentosa","sp17","Acalypha communis var. tomentosa Müll.Arg.",NA,"Acalypha communis"
NA,NA,NA,"sp17","Acalypha cordobensis Müll.Arg.","Müll.Arg.","Acalypha cordobensis"
"var.","Griseb.","rotundata","sp17","Acalypha cordobensis var. rotundata Griseb.",NA,"Acalypha cordobensis"
NA,NA,NA,"sp17","Acalypha cordoviensis Müll.Arg.","Müll.Arg.","Acalypha cordoviensis"
NA,NA,NA,"sp17","Acalypha hirta Spreng.","Spreng.","Acalypha hirta"
NA,NA,NA,"sp17","Acalypha humilis Pax & K.Hoffm.","Pax & K.Hoffm.","Acalypha humilis"
NA,NA,NA,"sp17","Acalypha montevidensis Klotzsch ex Pax & K.Hoffm.","Klotzsch ex Pax & K.Hoffm.","Acalypha montevidensis"
NA,NA,NA,"sp17","Acalypha paraguariensis Chodat & Hassl.","Chodat & Hassl.","Acalypha paraguariensis"
NA,NA,NA,"sp17","Acalypha pilifera Klotzsch ex Baill.","Klotzsch ex Baill.","Acalypha pilifera"
NA,NA,NA,"sp17","Acalypha urticoides Klotzsch ex Baill.","Klotzsch ex Baill.","Acalypha urticoides"
NA,NA,NA,"sp17","Acalypha variabilis Klotzsch ex Baill.","Klotzsch ex Baill.","Acalypha variabilis"
"var.","Baill.","albescens","sp17","Acalypha variabilis var. albescens Baill.",NA,"Acalypha variabilis"
"var.","Baill.","angustifolia","sp17","Acalypha variabilis var. angustifolia Baill.",NA,"Acalypha variabilis"
"var.","Baill.","elliptica","sp17","Acalypha variabilis var. elliptica Baill.",NA,"Acalypha variabilis"
"var.","Baill.","longifolia","sp17","Acalypha variabilis var. longifolia Baill.",NA,"Acalypha variabilis"
"var.","Baill.","urticoides","sp17","Acalypha variabilis var. urticoides Baill.",NA,"Acalypha variabilis"
NA,NA,NA,"sp17","Acalypha virgata Vell.","Vell.","Acalypha virgata"
NA,NA,NA,"sp18","Acalypha prunifolia Nees & Mart.","Nees & Mart.","Acalypha prunifolia"
NA,NA,NA,"sp18","Acalypha castaneifolia Poepp. ex Pax & K.Hoffm.","Poepp. ex Pax & K.Hoffm.","Acalypha castaneifolia"
"var.","Müll.Arg.","genuina","sp18","Acalypha cuneata var. genuina Müll.Arg.",NA,"Acalypha cuneata"
"var.","(Benth.) Müll.Arg.","obovata","sp18","Acalypha cuneata var. obovata (Benth.) Müll.Arg.",NA,"Acalypha cuneata"
NA,NA,NA,"sp18","Acalypha eggersii Pax","Pax","Acalypha eggersii"
NA,NA,NA,"sp18","Acalypha longifolia Baill.","Baill.","Acalypha longifolia"
NA,NA,NA,"sp18","Acalypha obovata Benth.","Benth.","Acalypha obovata"
"var.","(Poepp.) J.F.Macbr.","cuneata","sp18","Acalypha obovata var. cuneata (Poepp.) J.F.Macbr.",NA,"Acalypha obovata"
NA,NA,NA,"sp19","Acalypha betuloides Pav. ex Klotzsch","Pav. ex Klotzsch","Acalypha betuloides"
NA,NA,NA,"sp19","Acalypha billbergiana Klotzsch","Klotzsch","Acalypha billbergiana"
"var.","Britton ex Pax & K.Hoffm.","glabra","sp19","Acalypha callosa var. glabra Britton ex Pax & K.Hoffm.",NA,"Acalypha callosa"
NA,NA,NA,"sp19","Acalypha carpinifolia Poepp. ex Seem.","Poepp. ex Seem.","Acalypha carpinifolia"
"var.","(Poepp. ex Seem.) Müll.Arg.","carpinifolia","sp19","Acalypha diversifolia var. carpinifolia (Poepp. ex Seem.) Müll.Arg.",NA,"Acalypha diversifolia"
"var.","Pax & K.Hoffm.","caloneura","sp19","Acalypha diversifolia var. caloneura Pax & K.Hoffm.",NA,"Acalypha diversifolia"
"var.","Müll.Arg.","genuina","sp19","Acalypha diversifolia var. genuina Müll.Arg.",NA,"Acalypha diversifolia"
"var.","(Kunth) Müll.Arg.","popayanensis","sp19","Acalypha diversifolia var. popayanensis (Kunth) Müll.Arg.",NA,"Acalypha diversifolia"
"var.","Müll.Arg.","squarrosa","sp19","Acalypha diversifolia var. squarrosa Müll.Arg.",NA,"Acalypha diversifolia"
NA,NA,NA,"sp19","Acalypha hartwegiana Benth. ex Baill.","Benth. ex Baill.","Acalypha hartwegiana"
NA,NA,NA,"sp19","Acalypha leptostachya Kunth","Kunth","Acalypha leptostachya"
"var.","(Poepp. ex Seem.) Müll.Arg.","carpinifolia","sp19","Acalypha leptostachya var. carpinifolia (Poepp. ex Seem.) Müll.Arg.",NA,"Acalypha leptostachya"
"var.","Müll.Arg.","genuina","sp19","Acalypha leptostachya var. genuina Müll.Arg.",NA,"Acalypha leptostachya"
"var.","(Kunth) Müll.Arg.","popayanensis","sp19","Acalypha leptostachya var. popayanensis (Kunth) Müll.Arg.",NA,"Acalypha leptostachya"
NA,NA,NA,"sp19","Acalypha microgyna Poepp.","Poepp.","Acalypha microgyna"
NA,NA,NA,"sp19","Acalypha panamensis Klotzsch","Klotzsch","Acalypha panamensis"
NA,NA,NA,"sp19","Acalypha popayanensis Kunth","Kunth","Acalypha popayanensis"
NA,NA,NA,"sp19","Acalypha salicioides Rusby","Rusby","Acalypha salicioides"
NA,NA,NA,"sp19","Acalypha samydifolia Poepp.","Poepp.","Acalypha samydifolia"
NA,NA,NA,"sp19","Acalypha tabascensis Lundell","Lundell","Acalypha tabascensis"
NA,NA,NA,"sp19","Acalypha ulmifolia Benth.","Benth.","Acalypha ulmifolia"
NA,NA,NA,"sp20","Acalypha divaricata Baill.","Baill.","Acalypha divaricata"
"var.","Glaz.","leptostachya","sp20","Acalypha diversifolia var. leptostachya Glaz.",NA,"Acalypha diversifolia"
"var.","(Baill.) Pax & K.Hoffm.","divaricata","sp20","Acalypha gracilis var. divaricata (Baill.) Pax & K.Hoffm.",NA,"Acalypha gracilis"
"var.","Müll.Arg.","fruticulosa","sp20","Acalypha gracilis var. fruticulosa Müll.Arg.",NA,"Acalypha gracilis"
"var.","Müll.Arg.","genuina","sp20","Acalypha gracilis var. genuina Müll.Arg.",NA,"Acalypha gracilis"
"var.","Müll.Arg.","pubescens","sp20","Acalypha gracilis var. pubescens Müll.Arg.",NA,"Acalypha gracilis"
NA,NA,NA,"sp20","Acalypha striolata Lingelsh.","Lingelsh.","Acalypha striolata"
NA,NA,NA,"sp21","Acalypha amplifolia Rusby","Rusby","Acalypha amplifolia"
NA,NA,NA,"sp21","Acalypha callosa Benth.","Benth.","Acalypha callosa"
NA,NA,NA,"sp21","Acalypha cancana Müll.Arg.","Müll.Arg.","Acalypha cancana"
NA,NA,NA,"sp21","Acalypha caucana Müll.Arg.","Müll.Arg.","Acalypha caucana"
NA,NA,NA,"sp21","Acalypha caudata Kunth","Kunth","Acalypha caudata"
NA,NA,NA,"sp21","Acalypha cucullata Poir.","Poir.","Acalypha cucullata"
NA,NA,NA,"sp21","Acalypha fertilis Standl. & L.O.Williams","Standl. & L.O.Williams","Acalypha fertilis"
NA,NA,NA,"sp21","Acalypha foliosa Rusby","Rusby","Acalypha foliosa"
NA,NA,NA,"sp21","Acalypha heterodonta Müll.Arg.","Müll.Arg.","Acalypha heterodonta"
"var.","Müll.Arg.","hirsuta","sp21","Acalypha heterodonta var. hirsuta Müll.Arg.",NA,"Acalypha heterodonta"
"var.","Müll.Arg.","psilocarpa","sp21","Acalypha heterodonta var. psilocarpa Müll.Arg.",NA,"Acalypha heterodonta"
"var.","Müll.Arg.","psiloclada","sp21","Acalypha heterodonta var. psiloclada Müll.Arg.",NA,"Acalypha heterodonta"
"var.","Müll.Arg.","trichoclada","sp21","Acalypha heterodonta var. trichoclada Müll.Arg.",NA,"Acalypha heterodonta"
NA,NA,NA,"sp21","Acalypha hicksii L.Riley","L.Riley","Acalypha hicksii"
NA,NA,NA,"sp21","Acalypha hirsutissima Willd.","Willd.","Acalypha hirsutissima"
NA,NA,NA,"sp21","Acalypha lehmanniana Pax","Pax","Acalypha lehmanniana"
NA,NA,NA,"sp21","Acalypha macrophylla Kunth","Kunth","Acalypha macrophylla"
"var.","Müll.Arg.","genuina","sp21","Acalypha macrostachya var. genuina Müll.Arg.",NA,"Acalypha macrostachya"
"var.","(Willd.) Müll.Arg.","hirsutissima","sp21","Acalypha macrostachya var. hirsutissima (Willd.) Müll.Arg.",NA,"Acalypha macrostachya"
"var.","(Kunth) Müll.Arg.","macrophylla","sp21","Acalypha macrostachya var. macrophylla (Kunth) Müll.Arg.",NA,"Acalypha macrostachya"
"var.","Müll.Arg.","puberula","sp21","Acalypha macrostachya var. puberula Müll.Arg.",NA,"Acalypha macrostachya"
"var.","(Kunth) Müll.Arg.","sidaefolia","sp21","Acalypha macrostachya var. sidaefolia (Kunth) Müll.Arg.",NA,"Acalypha macrostachya"
"var.","(Poepp.) Müll.Arg.","tristis","sp21","Acalypha macrostachya var. tristis (Poepp.) Müll.Arg.",NA,"Acalypha macrostachya"
NA,NA,NA,"sp21","Acalypha neogranatensis Müll.Arg.","Müll.Arg.","Acalypha neogranatensis"
NA,NA,NA,"sp21","Acalypha obtusifolia Pax & K.Hoffm.","Pax & K.Hoffm.","Acalypha obtusifolia"
NA,NA,NA,"sp21","Acalypha piperoides Klotzsch ex Pax & K.Hoffm.","Klotzsch ex Pax & K.Hoffm.","Acalypha piperoides"
NA,NA,NA,"sp21","Acalypha pittieri Pax & K.Hoffm.","Pax & K.Hoffm.","Acalypha pittieri"
NA,NA,NA,"sp21","Acalypha seemannii Klotzsch","Klotzsch","Acalypha seemannii"
NA,NA,NA,"sp21","Acalypha sidaefolia Kunth","Kunth","Acalypha sidaefolia"
NA,NA,NA,"sp21","Acalypha tarapotensis Müll.Arg.","Müll.Arg.","Acalypha tarapotensis"
