"Redlist_id","TaxonomicNotes.value","classname","family","genus","infraType","infra_authority","infra_name","internal_taxon_id","kingdom","ordername","phylum","species","taxonomicAuthority"
145688533,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Barneby, R.C. & Grimes, J.W. 1996. Mem. New York Bot. Gard.,74: 1-292. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp1","Plantae","Fabales","Tracheophyta","auriculata","(Benth.) Barneby & J.W.Grimes"
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Iganci, J.R.V. & Morim, M.P. 2009. Three new species of Abarema Pittier (Leguminosae, Mimosoideae) from south-eastern Brazil,Kew Bulletin, 64(2): 271-277. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp2","Plantae","Fabales","Tracheophyta","barnebyana","Iganci & M.P.Morim"
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Barneby, R.C. & Grimes, J.W. 1996. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp3","Plantae","Fabales","Tracheophyta","brachystachya","(DC.) Barneby & J.W.Grimes"
62465,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Mem. New York Bot. Gard. 74(1): 83, 1996. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp4","Plantae","Fabales","Tracheophyta","cochleata","(Willd.) Barneby & J.W.Grimes"
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Barneby, R.C. & Grimes, J.W. 1996. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp5","Plantae","Fabales","Tracheophyta","cochliacarpos","(Gomes) Barneby & J.W.Grimes"
36558,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Barneby, R.C. & Grimes, J.W. 1996. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp6","Plantae","Fabales","Tracheophyta","filamentosa","(Benth.) Pittier"
144254416,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Ann. New York Acad. Sci. 35(3): 126, 1936. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).
A Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br) fornece a seguinte descrição para essa espécie: Foliólulos planos.","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp7","Plantae","Fabales","Tracheophyta","jupunba","(Willd.) Britton & Killip"
22484074,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Barneby, R.C. & Grimes, J.W. 1996. Mem. New York Bot. Gard.,74: 1-292. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).
A Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br) fornece a seguinte descrição para essa espécie: Pulvínulos 1,5-3 mm; muitas nervuras secundárias paralelas ascendentes; corola das flores periféricas 4,5-7 mm; tudo do androceu 2-4,5 mm.","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp8","Plantae","Fabales","Tracheophyta","laeta","(Benth.) Barneby & J.W.Grimes"
177828213,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Barneby, R.C. & Grimes, J.W. 1996. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp9","Plantae","Fabales","Tracheophyta","langsdorffii","(Benth.) Barneby & J.W.Grimes"
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Iganci, J.R.V. & Morim, M.P. 2009. Three new species of Abarema Pittier (Leguminosae, Mimosoideae) from south-eastern Brazil,Kew Bulletin, 64(2): 271-277. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp10","Plantae","Fabales","Tracheophyta","limae","Iganci & M.P.Morim"
36559,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Barneby, R.C. & Grimes, J.W. 1996. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp11","Plantae","Fabales","Tracheophyta","turbinata","(Benth.) Barneby & J.W.Grimes"
177828133,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Iganci, J.R.V. & Morim, M.P. 2009. Three new species of Abarema Pittier (Leguminosae, Mimosoideae) from south-eastern Brazil,Kew Bulletin, 64(2): 271-277. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Fabaceae","Abarema",NA,NA,NA,"sp12","Plantae","Fabales","Tracheophyta","villosa","Iganci & M.P.Morim"
NA,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Fl. Bras. 13(1): 510, 1871. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Salicaceae","Abatia",NA,NA,NA,"sp13","Plantae","Malpighiales","Tracheophyta","americana","(Gardner) Eichler"
NA,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Hort. Brit. 53, 1826. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Malvaceae","Abutilon",NA,NA,NA,"sp14","Plantae","Malvales","Tracheophyta","grandifolium","(Willd.) Sweet"
NA,"De acordo com Tropicos (www.tropicos.org), esta espécie foi descrita em: Fl. Bras. Merid. (quarto ed.) 1(5): 199, 1825 [1827]. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Malvaceae","Abutilon",NA,NA,NA,"sp15","Plantae","Malvales","Tracheophyta","ramiflorum","A.St.-Hil."
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Linnaea,34: 37,1865. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).
A Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br) fornece a seguinte descrição para essa espécie: Arbusto o subarbusto de 0,5–1 m de altura, monoico; ramas jóvenes con indumento más o menos denso de diminutos pelos estrellados de 0,1–0,3 mm de diámetro, a veces también con pelos largos más o menos abundantes, glabrescentes. Estípulas de 1,5–2 mm de largo, triangular-lanceoladas, hispidulosas, con pelos estrellados y algunos pelos glandulares en el margen. Pecíolos delgados de (2,5–)4–7(–10) de largo, con indumento similar al de las ramas jóvenes. Láminas foliares muy variables en forma y tamaño, de (4–)6–11(–12,5) × (2,5–)4–7(–8) cm, de anchamente ovado-lanceoladas a elíptico-lanceoladas, membranáceas; base de subcordada a redondeada; ápice acuminado, a veces, largamente acuminado con acumen agudo; margen de dentado a crenado-dentado, dientes obtusos con el ápice ligeramente calloso; haz subglabro, con algunos pelos estrellados sobre los nervios; envés con indumento más o menos denso de pelos estrellados, más abundantes sobre los nervios; nerviación palmeada o pinni-palmeada, con 5 nervios en la base y 9–10 pares de nervios secundarios. Inflorescencias espiciformes, de 3–4 cm de largo, axilares, bisexuales, con flores femeninas en posición proximal y flores masculinas en posición distal; raquis con indumento similar al de las ramas jóvenes. Segmento masculino de hasta 5 cm de largo, flores en glomérulos. Segmento femenino de 0,5–1 cm de largo, con 2–5 brácteas; brácteas acrescentes, reniformes o subtriangular-reniformes, de 2 × 3 mm, con pelos estrellados y pelos glandulares en la cara adaxial, y con pelos estrellados dispersos en la cara abaxial, margen oscuramente dentado, con pelos glandulares y glándulas sésiles; flores solitarias. Flores femeninas sésiles; cáliz con tres sépalos de c. 1 mm de largo, triangular lanceolados, hispidulosos; ovario densamente híspido; es­tilos libres en la base, de 3 mm de largo, ramificados, con pelos estrellados. Cápsulas de 2–2,5 mm de diámetro, papilosas, con pelos estrellados; estilos persistentes.","Magnoliopsida","Euphorbiaceae","Acalypha",NA,NA,NA,"sp16","Plantae","Malpighiales","Tracheophyta","brasiliensis","Müll.Arg."
NA,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Linnaea,34: 23,1865. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Euphorbiaceae","Acalypha",NA,NA,NA,"sp17","Plantae","Malpighiales","Tracheophyta","communis","Müll.Arg."
151967094,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Nov. Gen. Sp. Pl.,3: 22,1841. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Euphorbiaceae","Acalypha",NA,NA,NA,"sp18","Plantae","Malpighiales","Tracheophyta","cuneata","Poepp."
150117801,"De acordo com a Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br), esta espécie foi descrita em: Pl. Hort. Schoenbr.,2: 63; t. 244,1797. O nome desta espécie é considerado como correto e aceito por: Flora do Brasil 2020 (http://floradobrasil.jbrj.gov.br).","Magnoliopsida","Euphorbiaceae","Acalypha",NA,NA,NA,"sp19","Plantae","Malpighiales","Tracheophyta","diversifolia","Jacq."
